appid,name,english,developer,c_publisher,Platf,required_age,G;steamspy_tags,achievements,P.R.,negative_ratings,average_playtime,M.P.,owners
320,Half-Life 2: Deathmatch,1,Valve,Valve,windows;mac;linux,0,Action;Action;FPS;Multiplayer,0,6020,787,311,32,10000000-20000000
340,Half-Life 2: Lost Coast,1,Valve,Valve,windows;mac;linux,0,Action;FPS;Action;Singleplayer,0,5783,1020,46,29,10000000-20000000
360,Half-Life Deathmatch: Source,1,Valve,Valve,windows;mac;linux,0,Action;Action;FPS;Multiplayer,0,1362,473,102,81,5000000-10000000
380,Half-Life 2: Episode One,1,Valve,Valve,windows;mac;linux,0,Action;FPS;Action;Sci-fi,13,7908,517,281,184,5000000-10000000
400,Portal,1,Valve,Valve,windows;mac;linux,0,Action;Puzzle;First-Person;Singleplayer,15,51801,1080,288,137,10000000-20000000
420,Half-Life 2: Episode Two,1,Valve,Valve,windows;mac;linux,0,Action;FPS;Action;Sci-fi,22,13902,696,354,301,5000000-10000000
440,Team Fortress 2,1,Valve,Valve,windows;mac;linux,0,Action;Free to Play;Free to Play;Multiplayer;FPS,520,515879,34036,8495,623,20000000-50000000
500,Left 4 Dead,1,Valve,Valve,windows;mac,0,Action;Zombies;Co-op;FPS,73,17951,948,897,278,5000000-10000000
550,Left 4 Dead 2,1,Valve,Valve,windows;mac;linux,0,Action;Zombies;Co-op;FPS,70,251789,8418,1615,566,10000000-20000000
570,Dota 2,1,Valve,Valve,windows;mac;linux,0,Action;Free to Play;Strategy;Free to Play;MOBA;Strategy,0,863507,142079,23944,801,100000000-200000000
620,Portal 2,1,Valve,Valve,windows;mac;linux,0,Action;Adventure;Puzzle;Co-op;First-Person,51,138220,1891,1102,520,10000000-20000000
630,Alien Swarm,1,Valve,Valve,windows,0,Action;Free to Play;Co-op;Action,66,17435,941,371,83,2000000-5000000
730,Counter-Strike: Global Offensive,1,Valve;Hidden Path Entertainment,Valve,windows;mac;linux,0,Action;Free to Play;FPS;Multiplayer;Shooter,167,2644404,402313,22494,6502,50000000-100000000
1002,Rag Doll Kung Fu,1,Mark Healey,Mark Healey,windows,0,Indie;Indie;Fighting;Multiplayer,0,40,17,0,0,20000-50000
1200,Red Orchestra: Ostfront 41-45,1,Tripwire Interactive,Tripwire Interactive,windows;mac;linux,0,Action;World War II;Action;FPS,44,1562,223,232,258,500000-1000000
1250,Killing Floor,1,Tripwire Interactive,Tripwire Interactive,windows;mac;linux,0,Action;FPS;Zombies;Co-op,285,53710,2649,1328,306,2000000-5000000
1300,SiN Episodes: Emergence,1,Ritual Entertainment,Ritual Entertainment,windows,0,Action;Action;FPS;Cyberpunk,0,468,61,0,0,100000-200000
1500,Darwinia,1,Introversion Software,Introversion Software,windows;mac;linux,0,Indie;Strategy;Strategy;Indie;RTS,0,472,158,182,273,500000-1000000
1510,Uplink,1,Introversion Software,Introversion Software,windows;mac;linux,0,Indie;Strategy;Hacking;Indie;Strategy,0,1602,152,65,77,500000-1000000
1520,DEFCON,1,Introversion Software,Introversion Software,windows;mac;linux,0,Indie;Strategy;Strategy;Indie;Multiplayer,22,2057,344,80,119,500000-1000000
1530,Multiwinia,1,Introversion Software,Introversion Software,windows;mac,0,Indie;Indie;RTS;Strategy,12,368,75,121,224,500000-1000000
1600,Dangerous Waters,1,Sonalysts,Strategy First,windows,0,Strategy;Strategy;Simulation;Naval,0,140,44,0,0,50000-100000
1610,Space Empires IV Deluxe,1,Malfador Machinations,Strategy First,windows,0,Strategy;Strategy;4X;Sci-fi,0,112,26,0,0,50000-100000
1630,Disciples II: Rise of the Elves,1,Strategy First,Strategy First,windows,0,Strategy;Strategy;Turn-Based Strategy;Fantasy,0,451,108,0,0,100000-200000
1640,Disciples II: Gallean's Return,1,Strategy First,Strategy First,windows,0,Strategy;Turn-Based Strategy;Strategy;Classic,0,490,152,9,12,100000-200000
1670,Iron Warriors: T - 72 Tank Command,1,Strategy First,Strategy First,windows,0,Strategy;Simulation;Strategy;Tanks,0,137,102,0,0,20000-50000
1690,Space Empires V,1,Malfador Machinations,Strategy First,windows,0,Strategy;Strategy;4X;Space,0,191,85,35,35,50000-100000
1700,Arx Fatalis,1,Arkane Studios,Arkane Studios,windows,0,RPG;RPG;First-Person;Classic,0,671,106,11,21,100000-200000
1840,Source Filmmaker,1,Valve,Valve,windows,0,Animation & Modeling;Video Production;Animation & Modeling;Video Production;Free to Play,0,15083,1111,239,77,1000000-2000000
1900,Earth 2160,1,Reality Pump Studios,Topware Interactive;ACE,windows;mac;linux,0,Strategy;Strategy;RTS;Sci-fi,0,498,238,405,414,1000000-2000000
1930,Two Worlds Epic Edition,1,Reality Pump Studios,Topware Interactive,windows;mac;linux,0,RPG;RPG;Open World;Fantasy,0,2656,1055,484,422,1000000-2000000
2100,Dark Messiah of Might & Magic,1,Arkane Studios,Ubisoft,windows,0,Action;RPG;RPG;Action;First-Person,0,4386,316,634,700,1000000-2000000
2200,Quake III Arena,1,id Software,id Software,windows,0,Action;FPS;Action;Classic,0,1362,66,123,103,200000-500000
2210,Quake IV,1,RavenSoft / id Software,Bethesda Softworks,windows,18,Action;FPS;Action;Shooter,0,891,171,36,32,200000-500000
2270,Wolfenstein 3D,1,id Software,Bethesda-Softworks,windows,0,Action;FPS;Classic;Action,0,1773,87,69,110,200000-500000
2280,Ultimate Doom,1,id Software,id Software,windows,0,Action;Classic;FPS;Action,0,3705,257,125,179,500000-1000000
2290,Final DOOM,1,id Software,id Software,windows,0,Action;FPS;Action;Classic,0,573,82,120,114,200000-500000
2300,DOOM II,1,id Software,id Software,windows,0,Action;Classic;FPS;Action,0,2517,182,90,78,500000-1000000
2310,QUAKE,1,id Software,id Software,windows,0,Action;FPS;Classic;Action,0,2618,136,167,189,200000-500000
2320,QUAKE II,1,id Software,id Software,windows,0,Action;FPS;Action;Classic,0,1369,107,291,349,200000-500000
2330,QUAKE II Mission Pack: The Reckoning,1,Xatrix Entertainment,id Software,windows,0,Action;Action;FPS;Classic,0,65,12,32,32,200000-500000
2340,QUAKE II Mission Pack: Ground Zero,1,Rogue Entertainment,id Software,windows,0,Action;Action;FPS;Shooter,0,54,33,1,1,200000-500000
2350,QUAKE III: Team Arena,1,id Software,id Software,windows,0,Action;Action;FPS;Competitive,0,108,31,0,0,200000-500000
2360,HeXen: Beyond Heretic,1,Raven Software,id Software,windows,0,Action;Action;FPS;Classic,0,249,26,50,50,200000-500000
2370,HeXen: Deathkings of the Dark Citadel,1,Raven Software,id Software,windows,0,Action;Action;FPS;Classic,0,57,20,0,0,100000-200000
2390,Heretic: Shadow of the Serpent Riders,1,Raven Software,id Software,windows,0,Action;Classic;Action;FPS,0,417,29,0,0,200000-500000
2400,The Ship: Murder Party,1,Outerlight Ltd.,Blazing Griffin Ltd.,windows,0,Action;Indie;RPG;Multiplayer;Indie;Action,0,4819,792,233,239,1000000-2000000
2450,Bloody Good Time,1,Outerlight Ltd.,Ubisoft,windows,0,Action;Action;Multiplayer;FPS,12,662,204,193,193,100000-200000
2500,Shadowgrounds,1,Frozenbyte,Frozenbyte,windows;mac,0,Action;Action;Sci-fi;Top-Down Shooter,0,973,248,186,258,500000-1000000
2520,Gumboy - Crazy Adventures™,1,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",windows,0,Casual;Indie;Casual;Indie;Singleplayer,0,52,46,0,0,50000-100000
2590,Alpha Prime,1,Black Element,Bohemia Interactive,windows,0,Action;Action;FPS;Sci-fi,0,610,523,0,0,200000-500000
2600,Vampire: The Masquerade - Bloodlines,1,Troika Games,Activision,windows,0,Action;RPG;Vampire;Cult Classic,0,6161,362,350,202,500000-1000000
2610,GUN™,1,Neversoft,Activision,windows,0,Action;Western;Action;Open World,0,740,87,462,889,50000-100000
2620,Call of Duty®,1,Infinity Ward,Activision,windows,0,Action;FPS;World War II;Action,0,1555,117,545,849,200000-500000
2630,Call of Duty® 2,1,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),windows;mac,0,Action;Action;World War II;FPS,0,2434,236,750,1041,200000-500000
2640,Call of Duty: United Offensive,1,Gray Matter Studios,Activision,windows,0,Action;Action;World War II;FPS,0,490,97,0,0,200000-500000
2710,Act of War: Direct Action,1,Eugen Systems,THQ Nordic,windows,0,Action;Action;Strategy;RTS,0,180,33,0,0,20000-50000
2720,ThreadSpace: Hyperbol,1,Iocaine Studios,Atari,windows,0,Action;Indie;Strategy;Strategy;Action;Indie,0,31,9,0,0,20000-50000
2780,ARMA: Combat Operations,1,Bohemia Interactive,Bohemia Interactive,windows,0,Action;Action;Simulation;Shooter,0,145,77,0,0,20000-50000
2800,X2: The Threat,1,Egosoft,Egosoft,windows,0,Strategy;Space;Strategy;Simulation,0,212,50,732,732,200000-500000
2810,X3: Reunion,1,Egosoft,Egosoft,windows;mac;linux,0,Strategy;Space;Simulation;Strategy,0,282,113,831,1232,200000-500000
2820,X3: Terran Conflict,1,Egosoft,Egosoft,windows;mac;linux,0,Action;Simulation;Strategy;Space;Simulation;Sci-fi,33,1633,272,972,1273,500000-1000000
2840,X: Beyond the Frontier,1,Egosoft,Egosoft,windows,0,Simulation;Strategy;Simulation;Space;Strategy,0,142,48,648,648,200000-500000
2850,X: Tension,1,Egosoft,Egosoft,windows,0,Simulation;Strategy;Simulation;Strategy;Space,0,57,18,13,13,20000-50000
2870,X Rebirth,1,Egosoft,Egosoft,windows;mac;linux,0,Action;Simulation;Space;Simulation;Sci-fi,69,2832,4032,1744,3386,200000-500000
2900,688(I) Hunter/Killer,1,Sonalysts,Strategy First,windows,0,Strategy;Strategy;Simulation;Naval,0,52,17,0,0,20000-50000
2910,Fleet Command,1,Sonalysts,Strategy First,windows,0,Strategy;Strategy;Simulation;Naval,0,127,31,0,0,50000-100000
2920,Sub Command,1,Sonalysts,Strategy First,windows,0,Strategy;Strategy;Simulation;Naval,0,33,14,0,0,20000-50000
2990,FlatOut 2™,1,Bugbear Entertainment,Strategy First,windows,0,Racing;Racing;Destruction;Multiplayer,0,5438,343,293,351,500000-1000000
3010,Xpand Rally,1,Techland,Techland,windows,0,Racing;Racing;Multiplayer,0,139,39,939,939,20000-50000
3020,Call of Juarez™,1,Techland,Techland Publishing,windows,0,Action;Western;Action;FPS,0,793,198,46,60,100000-200000
3050,Xpand Rally Xtreme,1,Techland,Techland,windows,0,Racing;Racing;Offroad;Simulation,0,71,36,0,0,20000-50000
3130,Men of War: Red Tide,1,1C Entertainment,1C Entertainment;1C-SoftClub,windows,0,Strategy;Strategy;World War II;RTS,0,294,69,0,0,200000-500000
3170,King's Bounty: Armored Princess,1,Katauri Interactive,1C Entertainment,windows;mac,0,RPG;Strategy;RPG;Turn-Based Strategy;Strategy,0,482,53,1422,1429,200000-500000
3230,Genesis Rising,1,Metamorf,THQ Nordic,windows,0,Strategy;Strategy;Space;Sci-fi,0,30,94,0,0,20000-50000
3260,Safecracker: The Ultimate Puzzle Adventure,1,Kheops Studio,HandyGames,windows,0,Adventure;Casual;Puzzle;Adventure;Casual,0,256,172,1,1,50000-100000
3270,Painkiller Overdose,1,Mindware Studios,THQ Nordic,windows,0,Action;Action;FPS;Shooter,0,429,137,270,270,200000-500000
3330,Zuma Deluxe,1,"PopCap Games, Inc.","PopCap Games, Inc.",windows;mac,0,Casual;Casual;Match 3;Puzzle,0,437,37,267,267,100000-200000
3410,Heavy Weapon Deluxe,1,"PopCap Games, Inc.","PopCap Games, Inc.",windows,0,Casual;Casual;Arcade;Action,0,71,28,0,0,20000-50000
3480,Peggle Deluxe,1,"PopCap Games, Inc.","PopCap Games, Inc.",windows;mac,0,Casual;Casual;Puzzle;Arcade,0,1106,66,214,254,200000-500000
3483,Peggle Extreme,1,"PopCap Games, Inc.","PopCap Games, Inc.",windows,0,Casual;Casual;Puzzle;Free to Play,0,707,58,1,1,200000-500000
3490,Venice Deluxe,1,"Retro64, Inc.","PopCap Games, Inc.",windows,0,Casual;Casual,0,10,2,0,0,20000-50000
3500,Mystery P.I.™ - The Lottery Ticket,1,SpinTop Games,"PopCap Games, Inc.",windows,0,Casual;Casual;Hidden Object,0,10,3,0,0,20000-50000
3510,Amazing Adventures The Lost Tomb™,1,SpinTop Games,"PopCap Games, Inc.",windows,0,Casual;Casual;Hidden Object;Puzzle,0,21,8,0,0,20000-50000
3520,Mystery P.I.™ - The Vegas Heist,1,SpinTop Games,"PopCap Games, Inc.",windows,0,Casual;Casual;Hidden Object,0,11,5,0,0,20000-50000
3530,Amazing Adventures Around the World,1,SpinTop Games,"PopCap Games, Inc.",windows,0,Casual;Casual;Hidden Object;Puzzle,0,23,7,0,0,20000-50000
3540,Peggle™ Nights,1,"PopCap Games, Inc.","PopCap Games, Inc.",windows;mac,0,Casual;Casual;Puzzle;Singleplayer,0,368,24,237,237,200000-500000
3560,Bejeweled Twist,1,"PopCap Games, Inc.","PopCap Games, Inc.",windows,0,Strategy;Casual;Casual;Strategy;Match 3,0,98,18,0,0,20000-50000
3570,Mystery P.I.™ - The New York Fortune,1,SpinTop Games,"PopCap Games, Inc.",windows,0,Casual;Casual;Hidden Object,0,8,5,0,0,20000-50000
3580,The Wizard's Pen™,1,"PopCap Games, Inc.","PopCap Games, Inc.",windows,0,Casual;Casual;Hidden Object,0,15,3,0,0,20000-50000
3590,Plants vs. Zombies GOTY Edition,1,"PopCap Games, Inc.","PopCap Games, Inc.",windows;mac,0,Strategy;Tower Defense;Zombies;Strategy,21,14630,454,480,374,1000000-2000000
3600,Escape Rosecliff Island,1,SpinTop Games,"PopCap Games, Inc.",windows;mac,0,Casual;Casual;Hidden Object;Puzzle,0,97,57,0,0,50000-100000
3610,Mystery P.I. - Lost in Los Angeles,1,SpinTop Games,"PopCap Games, Inc.",windows,0,Casual;Casual;Hidden Object,0,8,3,0,0,20000-50000
3620,Zuma's Revenge!,1,"PopCap Games, Inc.","PopCap Games, Inc.",windows,0,Action;Casual;Casual;Action;Match 3,14,435,28,0,0,100000-200000
3700,Sniper Elite,1,Rebellion,Rebellion,windows,0,Action;Action;Sniper;Stealth,0,1181,377,262,371,500000-1000000
3710,Judge Dredd: Dredd vs. Death,1,Rebellion,Rebellion,windows,0,Action;Action;FPS;First-Person,0,559,79,8,8,50000-100000
3720,Evil Genius,1,Elixir Studios,Rebellion,windows,0,Strategy;Base-Building;Strategy;Villain Protagonist,0,1847,95,287,318,200000-500000
3730,Aliens versus Predator Classic 2000,1,Rebellion,Rebellion,windows,0,Action;FPS;Action;Classic,0,1434,219,20,24,200000-500000
3800,Advent Rising,1,GlyphX Games,Majesco Entertainment,windows,0,Action;Action;Sci-fi;Story Rich,0,260,71,0,0,50000-100000
3810,BloodRayne,1,Terminal Reality,Majesco Entertainment,windows,0,Action;Action;Vampire;Female Protagonist,0,369,110,111,111,50000-100000
3820,BloodRayne 2,1,Terminal Reality,Majesco Entertainment,windows,0,Action;Action;Vampire;Female Protagonist,0,259,103,771,771,50000-100000
3830,Psychonauts,1,Double Fine Productions,Double Fine Productions,windows;mac;linux,0,Action;Platformer;Comedy;Adventure,37,8204,456,491,232,2000000-5000000
3900,Sid Meier's Civilization® IV,1,Firaxis Games,2K,windows;mac,0,Strategy;Strategy;Turn-Based Strategy;Turn-Based,0,1394,129,49,64,1000000-2000000
3910,Sid Meier's Civilization® III Complete,1,Firaxis Games,2K,windows,0,Strategy;Strategy;Turn-Based Strategy;Turn-Based,0,2578,405,1166,13,2000000-5000000
3920,Sid Meier's Pirates!,1,Firaxis Games,2K,windows,0,RPG;Pirates;Open World;RPG,0,2641,193,296,436,500000-1000000
3960,Shattered Union,1,PopTop,2K,windows,0,Strategy;Strategy;Turn-Based Strategy,0,39,49,0,0,20000-50000
3980,CivCity: Rome,1,FireFly Studios;Firaxis Games,2K,windows,0,Strategy;Strategy;City Builder;Simulation,0,184,65,0,0,50000-100000
3990,Civilization IV®: Warlords,1,Firaxis Games,2K,windows;mac,0,Strategy;Strategy;Turn-Based;4X,0,121,20,0,0,1000000-2000000
4000,Garry's Mod,1,Facepunch Studios,Valve,windows;mac;linux,0,Indie;Simulation;Sandbox;Multiplayer;Funny,29,363721,16433,12422,1875,10000000-20000000
4100,Poker Superstars II,1,Funkitron,Funkitron,windows,0,Casual;Strategy;Indie;Card Game,0,4,5,0,0,0-20000
4230,RACE - The WTCC Game,1,SimBin,SimBin,windows,0,Racing;Racing;Simulation,0,119,43,0,0,200000-500000
4290,RACE: Caterham Expansion,1,SimBin,SimBin,windows,0,Racing;Racing;Simulation,0,4,2,0,0,0-20000
4300,RoboBlitz,1,Naked Sky Entertainment,Naked Sky Entertainment,windows,0,Action;Indie;Action;Indie;Puzzle,0,43,14,78,78,20000-50000
4420,Silverfall,1,Monte Cristo,Focus Home Interactive,windows,0,RPG;RPG;Hack and Slash;Action RPG,0,57,36,0,0,20000-50000
4460,City Life 2008,1,Monte Cristo,Focus Home Interactive,windows,0,Simulation;Strategy;Simulation;Strategy;City Builder,0,77,41,0,0,20000-50000
4470,Silverfall: Earth Awakening,1,Monte Cristo,Focus Home Interactive,windows,0,RPG;RPG;Hack and Slash;Action RPG,0,31,17,0,0,20000-50000
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,1,GSC Game World,GSC Game World,windows,0,Action;RPG;Atmospheric;Post-apocalyptic;Open World,0,11039,570,493,360,1000000-2000000
4520,Full Spectrum Warrior,1,Pandemic Studios,THQ Nordic,windows,0,Action;Strategy;Strategy;Action;Tactical,0,106,60,124,244,100000-200000
4530,Full Spectrum Warrior: Ten Hammers,1,Pandemic Studios,THQ Nordic,windows,0,Action;Strategy;Strategy;Action;Tactical,0,76,38,1,1,100000-200000
4560,Company of Heroes - Legacy Edition,1,Relic Entertainment,SEGA,windows,18,Violent;Action;Strategy;Strategy;RTS;World War II,0,4772,320,175,186,2000000-5000000
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",1,Relic Entertainment,SEGA,windows,16,Strategy;Strategy;Warhammer 40K;RTS,0,3485,206,309,340,1000000-2000000
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",1,Relic Entertainment,SEGA,windows,16,Strategy;Strategy;Warhammer 40K;RTS,0,2849,133,543,620,1000000-2000000
4700,Total War: MEDIEVAL II – Definitive Edition,1,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),windows;mac;linux,0,Strategy;Strategy;Medieval;Historical,0,10270,605,469,361,2000000-5000000
4720,Condemned: Criminal Origins,1,Monolith,SEGA,windows,18,Action;Horror;Action;Atmospheric,0,1243,221,312,312,200000-500000
4760,Rome: Total War™ - Collection,1,CREATIVE ASSEMBLY,SEGA,windows,0,Strategy;Strategy;Historical;Rome,0,7806,562,897,1192,1000000-2000000
4770,Rome: Total War™ - Alexander,1,The Creative Assembly,SEGA,windows,0,Strategy;Strategy;RTS;Historical,0,331,131,33,33,500000-1000000
4780,Medieval II: Total War™ Kingdoms,1,The Creative Assembly;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),windows;mac;linux,0,Strategy;Strategy;Medieval;Historical,0,585,30,0,0,200000-500000
4800,Heroes of Annihilated Empires,1,GSC Game World,GSC Game World,windows,0,Strategy;Strategy;RTS;RPG,0,259,46,0,0,50000-100000
4850,Cossacks: Back to War,1,GSC Game World,GSC World Publishing,windows,0,Strategy;Strategy;RTS;Classic,0,1081,143,1134,1208,100000-200000
4870,Cossacks: Art of War,1,GSC Game World,GSC World Publishing,windows,0,Strategy;Strategy;RTS;Historical,0,102,22,0,0,100000-200000
4880,Cossacks: European Wars,1,GSC Game World,GSC World Publishing,windows,0,Strategy;Strategy;RTS;Historical,0,170,66,1,1,100000-200000
4890,Cossacks II: Battle for Europe,1,GSC Game World,GSC World Publishing,windows,0,Strategy;Strategy;RTS;Historical,0,246,138,71,71,100000-200000
4900,Zen of Sudoku,1,Unknown Worlds Entertainment,Unknown Worlds Entertainment,windows,0,Casual;Indie;Casual;Indie;Puzzle,0,122,17,0,0,0-20000
4920,Natural Selection 2,1,Unknown Worlds Entertainment,Unknown Worlds Entertainment,windows;linux,0,Action;Indie;Strategy;Multiplayer;Strategy;FPS,67,8372,1498,627,253,1000000-2000000
6000,STAR WARS™ Republic Commando™,1,LucasArts,LucasArts;Lucasfilm;Disney Interactive,windows,0,Action;Star Wars;Action;FPS,0,6392,379,369,265,1000000-2000000
6010,Indiana Jones® and the Fate of Atlantis™,1,LucasArts,LucasArts;Lucasfilm;Disney Interactive,windows;mac,0,Adventure;Adventure;Point & Click;Classic,0,597,31,419,804,100000-200000
6020,STAR WARS™ Jedi Knight - Jedi Academy™,1,Raven Software;Aspyr (Mac),LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive,windows;mac,0,Action;Star Wars;Action;Sci-fi,0,5684,330,1254,174,1000000-2000000
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,1,Raven Software;Aspyr (Mac),LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive,windows;mac,0,Action;Star Wars;Action;Classic,0,2020,219,127,180,1000000-2000000
6040,The Dig®,1,LucasArts,LucasArts,windows;mac,0,Adventure;Adventure;Point & Click;Sci-fi,0,575,55,801,801,100000-200000
6060,"Star Wars: Battlefront 2 (Classic, 2005)",1,Pandemic Studios,Lucasfilm;LucasArts;Disney Interactive,windows,0,Action;Star Wars;Action;Multiplayer,0,29149,2425,618,320,2000000-5000000
6080,Thrillville®: Off the Rails™,1,Frontier,LucasArts,windows,0,Action;Adventure;Racing;Simulation;Strategy;Simulation;Strategy;Action,0,272,38,17,17,20000-50000
6090,Armed and Dangerous®,1,Planet Moon Studios,LucasArts;Lucasfilm;Disney Interactive,windows,0,Action;Action;Comedy;Third-Person Shooter,0,115,18,100,100,20000-50000
6120,Shank,1,Klei Entertainment,Klei Entertainment,windows;mac;linux,0,Action;Indie;Action;Indie;Beat 'em up,12,1749,227,255,363,200000-500000
6200,Ghost Master®,1,Sick Puppies,Strategy First,windows,0,Strategy;Strategy;Comedy;Puzzle,0,1025,164,21,21,100000-200000
6210,Vegas: Make It Big™,1,Deepred,Strategy First,windows,0,Strategy;Strategy;Simulation;Management,0,91,33,0,0,20000-50000
6220,FlatOut,1,Bugbear Entertainment,Strategy First,windows,0,Racing;Racing;Destruction;Driving,0,1977,186,78,96,200000-500000
6250,Making History: The Calm & the Storm,1,Muzzy Lane,Strategy First,windows,0,Action;Strategy;Strategy;Action;Grand Strategy,0,460,107,0,0,50000-100000
6270,Ducati World Championship,1,Artematica Entertainment,Strategy First,windows,0,Racing;Racing;Simulation,0,77,100,0,0,20000-50000
6300,Dreamfall: The Longest Journey,1,Funcom,Funcom,windows,0,Adventure;RPG;Adventure;Female Protagonist;Story Rich,0,588,89,20,20,100000-200000
6310,The Longest Journey,1,Funcom,Funcom,windows,0,Action;Adventure;RPG;Adventure;Point & Click;Female Protagonist,0,1152,102,14,19,200000-500000
6370,Bloodline Champions,1,Stunlock Studios,Stunlock Studios,windows,0,Action;Free to Play;Massively Multiplayer;Free to Play;Action;MOBA,0,1365,226,70,102,500000-1000000
6400,Joint Task Force,1,Most Wanted Entertainment,HD Publishing,windows,0,Action;Strategy;Strategy;Action;RTS,0,100,15,0,0,20000-50000
6420,Nexus - The Jupiter Incident,1,Mithis Games;THQ Nordic,HandyGames,windows,0,Indie;Simulation;Strategy;Strategy;Space;Sci-fi,0,474,90,0,0,50000-100000
6510,Lost Planet™: Extreme Condition,1,"CAPCOM Co., Ltd.",Capcom,windows,0,Action;Adventure;Action;Adventure;Third-Person Shooter,0,569,178,74,74,200000-500000
6550,Devil May Cry® 3 Special Edition,1,"CAPCOM Co., Ltd.",Capcom,windows,0,Action;Action;Hack and Slash;Great Soundtrack,0,1462,1052,90,90,200000-500000
6800,Commandos: Behind Enemy Lines,1,Pyro Studios,Kalypso Media Digital,windows,0,Action;Strategy;Stealth;Action,0,1561,213,63,70,500000-1000000
6810,Commandos: Beyond the Call of Duty,1,Pyro Studios,Kalypso Media Digital,windows,0,Action;Action;Strategy;Tactical,0,404,71,12,14,500000-1000000
6830,Commandos 2: Men of Courage,1,Pyro Studios,Kalypso Media Digital,windows,0,Action;Strategy;Tactical;Stealth,0,1333,238,201,302,500000-1000000
6840,Commandos 3: Destination Berlin,1,Pyro Studios,Kalypso Media Digital,windows,0,Action;Strategy;Action;Tactical,0,421,265,14,20,500000-1000000
6850,Hitman 2: Silent Assassin,1,Io-Interactive A/S,Io-Interactive A/S,windows,16,Action;Stealth;Action;Third Person,0,1514,260,63,58,1000000-2000000
6860,Hitman: Blood Money,1,Io-Interactive A/S,Io-Interactive A/S,windows,18,Action;Stealth;Action;Third Person,0,5864,391,435,365,1000000-2000000
6870,Battlestations: Midway,1,Eidos Interactive,Square Enix,windows,0,Action;Action;World War II;Naval,0,316,113,0,0,200000-500000
6880,Just Cause,1,Avalanche Studios,Square Enix,windows,16,Action;Action;Open World;Shooter,0,1732,846,20,25,1000000-2000000
6900,Hitman: Codename 47,1,IO Interactive A/S,IO Interactive A/S,windows,18,Action;Stealth;Action;Classic,0,1186,450,62,43,1000000-2000000
6910,Deus Ex: Game of the Year Edition,1,Ion Storm,Square Enix,windows,16,Action;Cyberpunk;RPG;Stealth,0,6242,347,324,245,1000000-2000000
6920,Deus Ex: Invisible War,1,Ion Storm,Square Enix,windows,16,Action;Cyberpunk;Action;FPS,0,649,433,24,31,500000-1000000
6980,Thief: Deadly Shadows,1,Ion Storm,Square Enix,windows,0,Action;Stealth;Atmospheric;Action,0,1135,210,254,368,500000-1000000
7000,Tomb Raider: Legend,1,Crystal Dynamics,Square Enix,windows,16,Action;Adventure;Adventure;Action;Female Protagonist,0,1656,243,714,725,500000-1000000
