Hours_Worked_Per_Week,Employee_ID,Satisfaction_with_Remote_Work,Physical_Activity,Gender,Arbeitsplatz,Access_to_Mental_Health_Resources,Number_of_Virtual_Meetings,Company_Support_for_Remote_Work,Social_Isolation_Rating,old age,Industrie,be life story equipoise military rating,Productivity_Change,Sleep_Quality
39,EMP0048,Unsatisfied,None,Female,Remote,No,2,4,1,30,Consulting,5,Decrease,Good
29,EMP0049,Neutral,Daily,Female,Onsite,No,9,3,2,22,Healthcare,4,Increase,Poor
37,EMP0050,Satisfied,None,Male,Onsite,No,3,3,1,35,Retail,4,No Change,Average
28,EMP0051,Satisfied,Daily,Non-binary,Onsite,Yes,10,4,5,26,Manufacturing,4,Decrease,Good
31,EMP0052,Satisfied,None,Male,Remote,No,9,1,4,47,Consulting,5,Decrease,Good
26,EMP0053,Satisfied,Daily,Female,Onsite,No,14,2,2,42,Retail,3,Decrease,Good
46,EMP0054,Neutral,None,Prefer not to say,Onsite,Yes,15,1,1,60,Healthcare,2,No Change,Average
55,EMP0055,Satisfied,Daily,Female,Hybrid,Yes,6,1,4,26,Education,1,Decrease,Poor
47,EMP0056,Neutral,Daily,Non-binary,Hybrid,No,12,5,3,30,Education,3,Increase,Good
48,EMP0057,Neutral,None,Male,Remote,Yes,13,5,4,42,IT,5,Increase,Good
49,EMP0058,Satisfied,None,Prefer not to say,Onsite,No,6,3,4,53,IT,5,No Change,Average
51,EMP0059,Unsatisfied,Daily,Prefer not to say,Remote,No,4,3,2,26,Manufacturing,1,Decrease,Average
57,EMP0060,Satisfied,Daily,Prefer not to say,Remote,Yes,13,5,1,26,IT,2,No Change,Poor
33,EMP0061,Unsatisfied,Daily,Non-binary,Hybrid,Yes,14,2,1,25,Consulting,4,No Change,Good
30,EMP0062,Unsatisfied,Daily,Female,Remote,Yes,15,5,5,33,IT,2,Increase,Good
28,EMP0063,Satisfied,None,Non-binary,Hybrid,No,4,2,3,25,Finance,3,No Change,Poor
31,EMP0064,Satisfied,None,Female,Onsite,Yes,15,5,2,22,Healthcare,3,No Change,Good
37,EMP0065,Unsatisfied,None,Prefer not to say,Hybrid,No,0,2,2,60,Healthcare,4,No Change,Good
31,EMP0066,Satisfied,Weekly,Male,Remote,Yes,3,4,4,56,Finance,4,Increase,Poor
46,EMP0067,Satisfied,Daily,Non-binary,Hybrid,No,3,2,3,45,IT,1,Increase,Good
20,EMP0068,Unsatisfied,Weekly,Female,Remote,Yes,6,4,3,60,Education,2,Decrease,Poor
51,EMP0069,Neutral,Daily,Female,Onsite,Yes,8,1,3,32,Manufacturing,2,Decrease,Average
28,EMP0070,Neutral,Daily,Female,Remote,No,13,1,5,25,Finance,2,No Change,Good
39,EMP0071,Satisfied,Weekly,Prefer not to say,Onsite,No,4,1,4,43,Consulting,4,Increase,Average
29,EMP0072,Neutral,Weekly,Prefer not to say,Remote,Yes,13,2,2,50,Consulting,1,No Change,Average
30,EMP0073,Unsatisfied,Weekly,Prefer not to say,Onsite,Yes,14,1,2,28,Retail,5,No Change,Good
53,EMP0074,Neutral,None,Non-binary,Hybrid,Yes,7,1,1,23,IT,3,Decrease,Poor
57,EMP0075,Neutral,Weekly,Prefer not to say,Onsite,No,10,3,3,38,Consulting,2,No Change,Poor
49,EMP0076,Satisfied,None,Male,Onsite,Yes,3,3,4,42,Retail,5,No Change,Good
55,EMP0077,Unsatisfied,Weekly,Non-binary,Onsite,No,8,2,1,31,Consulting,4,No Change,Good
37,EMP0078,Satisfied,Daily,Female,Remote,Yes,10,1,1,28,Healthcare,5,No Change,Average
51,EMP0079,Neutral,Daily,Male,Remote,Yes,5,1,2,29,Manufacturing,2,Increase,Average
21,EMP0080,Unsatisfied,Weekly,Male,Hybrid,No,7,3,4,27,Consulting,5,No Change,Average
21,EMP0081,Satisfied,None,Female,Hybrid,No,10,4,4,54,Education,3,Decrease,Poor
44,EMP0082,Neutral,Daily,Non-binary,Onsite,Yes,9,2,3,42,Finance,4,Increase,Poor
26,EMP0083,Unsatisfied,Weekly,Prefer not to say,Hybrid,Yes,10,2,5,58,Education,3,Increase,Good
43,EMP0084,Unsatisfied,None,Female,Hybrid,Yes,6,3,5,26,Healthcare,4,Increase,Poor
42,EMP0085,Unsatisfied,None,Male,Hybrid,Yes,14,5,2,56,Retail,4,Decrease,Good
44,EMP0086,Unsatisfied,Daily,Male,Hybrid,No,8,4,2,50,Finance,4,No Change,Poor
27,EMP0087,Satisfied,Weekly,Prefer not to say,Onsite,No,0,1,1,55,Manufacturing,1,Decrease,Poor
43,EMP0088,Unsatisfied,Weekly,Prefer not to say,Hybrid,Yes,5,2,2,22,Education,1,Increase,Poor
38,EMP0089,Neutral,None,Female,Remote,Yes,0,2,5,24,Consulting,5,Increase,Poor
38,EMP0090,Unsatisfied,Daily,Prefer not to say,Hybrid,Yes,4,4,5,53,Healthcare,4,Increase,Poor
57,EMP0091,Unsatisfied,Weekly,Female,Onsite,No,4,2,4,57,Retail,4,No Change,Average
60,EMP0092,Satisfied,Weekly,Female,Onsite,No,3,5,3,22,Manufacturing,1,Decrease,Good
29,EMP0093,Satisfied,None,Male,Onsite,No,0,5,3,41,IT,5,Increase,Poor
54,EMP0094,Satisfied,None,Non-binary,Remote,Yes,12,4,2,46,Education,4,Decrease,Average
31,EMP0095,Neutral,Weekly,Non-binary,Onsite,No,11,4,2,60,Education,5,Decrease,Average
54,EMP0096,Satisfied,None,Female,Remote,No,8,3,1,44,Manufacturing,5,Decrease,Good
33,EMP0097,Neutral,Weekly,Male,Hybrid,No,11,5,5,35,Healthcare,1,Decrease,Poor
25,EMP0098,Neutral,Weekly,Male,Hybrid,No,1,3,4,48,IT,4,Increase,Average
21,EMP0099,Satisfied,Daily,Prefer not to say,Onsite,No,15,5,4,31,Healthcare,1,No Change,Good
45,EMP0100,Satisfied,Daily,Male,Hybrid,No,10,4,3,53,IT,2,Decrease,Good
53,EMP0101,Satisfied,None,Prefer not to say,Onsite,No,5,1,5,32,Manufacturing,1,Increase,Poor
46,EMP0102,Neutral,Daily,Prefer not to say,Hybrid,No,12,2,2,33,Consulting,1,Increase,Poor
22,EMP0103,Satisfied,None,Prefer not to say,Hybrid,No,9,4,4,45,IT,4,No Change,Good
60,EMP0104,Satisfied,None,Male,Hybrid,Yes,12,5,4,50,Finance,4,Increase,Good
42,EMP0105,Satisfied,Weekly,Female,Hybrid,Yes,2,3,4,41,Education,4,Decrease,Average
60,EMP0106,Neutral,Daily,Non-binary,Onsite,Yes,2,3,3,43,Healthcare,3,Increase,Good
35,EMP0107,Neutral,Daily,Prefer not to say,Onsite,Yes,14,2,4,29,IT,1,Decrease,Good
44,EMP0108,Satisfied,Weekly,Prefer not to say,Hybrid,No,2,5,2,44,Healthcare,2,Decrease,Poor
50,EMP0109,Satisfied,Weekly,Prefer not to say,Remote,No,2,2,1,50,Healthcare,4,No Change,Poor
22,EMP0110,Neutral,Daily,Male,Remote,No,7,5,1,36,Finance,5,No Change,Good
29,EMP0111,Unsatisfied,Weekly,Female,Hybrid,Yes,13,5,5,34,Education,3,Increase,Average
34,EMP0112,Unsatisfied,Weekly,Male,Remote,No,8,1,5,49,Finance,5,Decrease,Good
30,EMP0113,Satisfied,None,Female,Remote,Yes,7,5,1,45,Retail,1,Increase,Poor
53,EMP0114,Neutral,Daily,Prefer not to say,Onsite,Yes,0,5,1,45,Retail,3,Decrease,Poor
29,EMP0115,Neutral,None,Female,Remote,No,5,3,5,53,Healthcare,2,No Change,Poor
27,EMP0116,Unsatisfied,Weekly,Male,Onsite,Yes,1,3,3,29,Education,3,No Change,Good
44,EMP0117,Satisfied,Daily,Prefer not to say,Onsite,No,14,3,5,34,Finance,3,Increase,Good
42,EMP0118,Satisfied,Daily,Female,Remote,No,13,3,5,58,Education,2,Increase,Good
22,EMP0119,Satisfied,Daily,Female,Hybrid,Yes,4,3,5,38,Manufacturing,2,Increase,Average
34,EMP0120,Unsatisfied,Daily,Prefer not to say,Hybrid,Yes,13,5,2,40,Consulting,2,Decrease,Average
51,EMP0121,Neutral,Daily,Prefer not to say,Onsite,No,13,5,2,45,Manufacturing,2,Decrease,Average
48,EMP0122,Unsatisfied,None,Non-binary,Hybrid,Yes,6,3,2,43,Retail,5,No Change,Good
30,EMP0123,Unsatisfied,None,Male,Onsite,Yes,10,1,3,50,Healthcare,2,No Change,Good
59,EMP0124,Satisfied,Weekly,Prefer not to say,Onsite,Yes,7,5,1,58,Consulting,2,Increase,Average
26,EMP0125,Unsatisfied,Daily,Non-binary,Remote,Yes,14,4,1,42,Manufacturing,2,No Change,Average
60,EMP0126,Unsatisfied,None,Prefer not to say,Hybrid,No,1,4,5,53,Finance,3,Increase,Average
38,EMP0127,Unsatisfied,Daily,Female,Onsite,Yes,2,1,2,36,Retail,2,Decrease,Good
34,EMP0128,Unsatisfied,None,Female,Remote,Yes,0,2,2,51,Finance,5,Decrease,Average
46,EMP0129,Unsatisfied,Daily,Female,Onsite,No,12,2,2,27,Consulting,4,No Change,Poor
35,EMP0130,Unsatisfied,None,Female,Hybrid,Yes,2,3,5,22,Retail,3,Decrease,Average
23,EMP0131,Neutral,Weekly,Female,Remote,No,9,5,5,32,Education,1,No Change,Good
28,EMP0132,Unsatisfied,Weekly,Female,Remote,Yes,15,4,2,32,Manufacturing,5,Increase,Average
57,EMP0133,Neutral,Weekly,Male,Onsite,No,10,2,4,53,Retail,3,No Change,Good
29,EMP0134,Satisfied,Weekly,Non-binary,Hybrid,Yes,4,2,4,26,Manufacturing,1,Decrease,Good
39,EMP0135,Unsatisfied,Weekly,Male,Hybrid,No,1,2,5,60,Finance,4,Increase,Poor
46,EMP0136,Unsatisfied,None,Non-binary,Remote,No,4,5,4,51,IT,5,Increase,Good
26,EMP0137,Neutral,Daily,Male,Remote,No,9,5,4,44,Healthcare,2,No Change,Good
32,EMP0138,Satisfied,Weekly,Non-binary,Remote,Yes,4,5,5,48,IT,4,No Change,Poor
30,EMP0139,Unsatisfied,None,Non-binary,Remote,No,11,5,3,57,Education,3,Increase,Poor
48,EMP0140,Satisfied,Weekly,Non-binary,Hybrid,Yes,3,1,5,49,Education,5,Decrease,Average
44,EMP0141,Satisfied,Weekly,Non-binary,Onsite,Yes,13,5,1,32,Education,1,Decrease,Poor
49,EMP0142,Neutral,None,Female,Hybrid,Yes,15,4,5,49,Healthcare,5,Decrease,Poor
23,EMP0143,Unsatisfied,Weekly,Female,Hybrid,No,0,1,2,23,Manufacturing,5,No Change,Poor
33,EMP0144,Satisfied,Daily,Prefer not to say,Onsite,No,6,2,4,55,Finance,5,No Change,Good
35,EMP0145,Unsatisfied,Daily,Non-binary,Remote,No,15,2,4,47,Education,5,No Change,Average
41,EMP0146,Satisfied,Weekly,Non-binary,Remote,Yes,8,4,4,48,Consulting,3,Decrease,Poor
34,EMP0147,Neutral,Daily,Prefer not to say,Hybrid,No,12,3,4,36,Healthcare,2,Increase,Average
44,EMP0148,Unsatisfied,Daily,Male,Remote,Yes,10,5,1,45,Finance,1,No Change,Average
52,EMP0149,Satisfied,Daily,Female,Onsite,Yes,8,4,3,41,IT,4,Decrease,Good
57,EMP0150,Unsatisfied,Weekly,Male,Onsite,Yes,11,3,1,50,Consulting,2,Decrease,Good
32,EMP0151,Unsatisfied,Weekly,Female,Remote,Yes,15,3,2,41,Consulting,3,Decrease,Average
31,EMP0152,Satisfied,Daily,Female,Remote,No,6,4,3,57,Consulting,4,No Change,Poor
58,EMP0153,Unsatisfied,Weekly,Male,Hybrid,No,15,2,2,30,Healthcare,1,Increase,Poor
26,EMP0154,Unsatisfied,None,Female,Remote,Yes,9,2,2,23,Consulting,1,No Change,Poor
57,EMP0155,Unsatisfied,Weekly,Male,Remote,Yes,5,4,2,30,Consulting,1,No Change,Average
20,EMP0156,Neutral,None,Female,Onsite,No,8,1,4,47,Healthcare,1,Decrease,Good
26,EMP0157,Satisfied,Weekly,Prefer not to say,Hybrid,No,0,2,1,33,Finance,4,Decrease,Average
43,EMP0158,Neutral,Weekly,Male,Hybrid,No,15,3,4,32,Finance,3,No Change,Good
50,EMP0159,Unsatisfied,Daily,Male,Onsite,Yes,14,3,1,43,Manufacturing,3,Increase,Average
52,EMP0160,Satisfied,Weekly,Non-binary,Onsite,No,0,3,2,43,Healthcare,5,Increase,Good
37,EMP0161,Satisfied,None,Female,Hybrid,No,1,1,2,35,IT,4,Decrease,Average
38,EMP0162,Neutral,None,Female,Hybrid,Yes,0,1,4,40,Education,3,No Change,Average
55,EMP0163,Unsatisfied,Weekly,Prefer not to say,Hybrid,No,11,2,1,29,Consulting,1,Increase,Poor
53,EMP0164,Neutral,Weekly,Non-binary,Hybrid,No,14,1,3,24,Manufacturing,1,Increase,Average
20,EMP0165,Neutral,None,Male,Onsite,No,13,1,5,40,Healthcare,1,Increase,Good
46,EMP0166,Neutral,Daily,Female,Hybrid,Yes,1,5,1,22,Manufacturing,2,Increase,Poor
30,EMP0167,Satisfied,None,Non-binary,Onsite,Yes,8,2,3,48,Education,2,No Change,Average
50,EMP0168,Satisfied,Daily,Non-binary,Remote,No,8,3,3,60,Retail,2,No Change,Poor
50,EMP0169,Satisfied,Daily,Prefer not to say,Remote,Yes,13,2,3,34,Healthcare,2,No Change,Average
50,EMP0170,Satisfied,Daily,Prefer not to say,Hybrid,Yes,0,3,5,50,Manufacturing,1,Increase,Poor
23,EMP0171,Neutral,None,Male,Remote,No,7,3,4,38,Retail,1,Increase,Poor
45,EMP0172,Unsatisfied,None,Male,Onsite,No,3,4,3,36,Retail,4,Decrease,Good
25,EMP0173,Satisfied,Weekly,Non-binary,Hybrid,No,4,3,4,35,Finance,1,No Change,Good
36,EMP0174,Neutral,Weekly,Prefer not to say,Remote,Yes,9,4,1,25,Manufacturing,2,Increase,Good
60,EMP0175,Unsatisfied,Daily,Non-binary,Onsite,Yes,3,5,3,34,Education,2,Decrease,Good
35,EMP0176,Satisfied,Daily,Prefer not to say,Remote,Yes,7,4,5,32,Healthcare,3,No Change,Average
55,EMP0177,Satisfied,None,Prefer not to say,Hybrid,No,12,4,5,58,Manufacturing,3,No Change,Good
47,EMP0178,Neutral,Weekly,Female,Onsite,No,10,2,3,40,Finance,1,Decrease,Good
57,EMP0179,Satisfied,None,Female,Hybrid,No,10,4,4,56,Healthcare,4,Increase,Good
22,EMP0180,Unsatisfied,None,Non-binary,Hybrid,Yes,9,1,3,44,Education,2,Decrease,Good
43,EMP0181,Neutral,Daily,Non-binary,Remote,Yes,5,2,5,30,IT,1,Decrease,Poor
45,EMP0182,Unsatisfied,Weekly,Non-binary,Remote,Yes,9,4,4,49,Consulting,5,Decrease,Good
56,EMP0183,Satisfied,Weekly,Male,Onsite,Yes,14,1,4,26,Healthcare,2,Increase,Average
46,EMP0184,Neutral,Daily,Male,Onsite,No,14,2,3,52,IT,3,No Change,Good
60,EMP0185,Neutral,Daily,Prefer not to say,Hybrid,No,0,2,1,24,Manufacturing,5,Decrease,Good
32,EMP0186,Unsatisfied,None,Non-binary,Remote,No,9,1,1,40,Consulting,1,No Change,Average
59,EMP0187,Unsatisfied,Weekly,Non-binary,Hybrid,Yes,13,4,5,57,Manufacturing,5,Decrease,Average
60,EMP0188,Neutral,Daily,Prefer not to say,Onsite,No,13,5,5,23,Consulting,5,No Change,Good
43,EMP0189,Unsatisfied,Weekly,Prefer not to say,Hybrid,No,4,3,2,40,IT,5,No Change,Average
33,EMP0190,Satisfied,None,Male,Remote,Yes,8,2,4,45,Education,1,No Change,Poor
20,EMP0191,Satisfied,Daily,Female,Hybrid,No,14,2,5,46,Finance,3,Decrease,Average
27,EMP0192,Unsatisfied,Weekly,Female,Hybrid,Yes,2,3,4,37,Retail,1,No Change,Poor
43,EMP0193,Unsatisfied,Weekly,Female,Onsite,No,1,2,4,51,Healthcare,5,No Change,Average
23,EMP0194,Neutral,Daily,Male,Onsite,No,12,1,5,52,IT,2,Decrease,Average
29,EMP0195,Neutral,None,Male,Onsite,No,0,4,4,53,Education,1,No Change,Good
47,EMP0196,Neutral,None,Male,Remote,No,0,4,5,39,Education,2,Decrease,Poor
46,EMP0197,Neutral,None,Female,Onsite,Yes,12,5,3,56,Healthcare,1,Increase,Good
40,EMP0198,Neutral,Weekly,Non-binary,Hybrid,Yes,2,4,1,59,Manufacturing,1,Decrease,Average
47,EMP0199,Unsatisfied,Daily,Male,Remote,Yes,0,3,1,28,Retail,4,Decrease,Poor
53,EMP0200,Unsatisfied,Daily,Female,Remote,No,7,2,2,36,Finance,3,Decrease,Average
55,EMP0201,Neutral,Daily,Non-binary,Hybrid,No,14,1,4,45,Education,4,Increase,Average
40,EMP0202,Neutral,Weekly,Male,Remote,No,1,3,2,52,Retail,2,Decrease,Good
28,EMP0203,Satisfied,None,Female,Hybrid,No,8,1,2,55,IT,5,Decrease,Poor
39,EMP0204,Neutral,Weekly,Male,Hybrid,No,14,1,3,58,Consulting,3,No Change,Good
41,EMP0205,Unsatisfied,None,Prefer not to say,Onsite,No,5,2,4,51,IT,5,No Change,Good
21,EMP0206,Satisfied,Daily,Male,Onsite,Yes,3,5,4,52,Finance,5,Increase,Poor
34,EMP0207,Unsatisfied,Daily,Non-binary,Onsite,Yes,11,5,2,54,IT,3,No Change,Good
36,EMP0208,Unsatisfied,Weekly,Male,Remote,No,14,2,5,35,Retail,3,Decrease,Good
32,EMP0209,Satisfied,Weekly,Male,Remote,Yes,2,4,1,39,Manufacturing,4,Decrease,Average
21,EMP0210,Unsatisfied,None,Prefer not to say,Hybrid,No,8,5,3,47,Consulting,2,No Change,Average
56,EMP0211,Satisfied,Daily,Male,Onsite,Yes,3,4,1,49,Manufacturing,5,No Change,Poor
58,EMP0212,Satisfied,None,Prefer not to say,Onsite,No,8,4,2,60,Manufacturing,4,No Change,Poor
35,EMP0213,Satisfied,None,Female,Onsite,No,8,4,2,47,Manufacturing,1,No Change,Good
52,EMP0214,Satisfied,Weekly,Prefer not to say,Hybrid,Yes,3,5,4,27,Healthcare,1,Decrease,Good
33,EMP0215,Neutral,Daily,Prefer not to say,Remote,No,8,4,3,46,Consulting,1,Increase,Average
47,EMP0216,Neutral,None,Non-binary,Remote,No,9,4,1,25,Manufacturing,2,Decrease,Good
56,EMP0217,Satisfied,None,Male,Onsite,No,13,4,4,30,Education,3,Increase,Poor
33,EMP0218,Neutral,Daily,Prefer not to say,Onsite,Yes,4,2,2,38,Education,2,Increase,Average
60,EMP0219,Satisfied,Weekly,Female,Remote,No,9,4,1,56,Education,3,No Change,Average
32,EMP0220,Unsatisfied,Weekly,Male,Hybrid,No,5,1,2,42,Manufacturing,4,No Change,Good
48,EMP0221,Satisfied,None,Prefer not to say,Hybrid,No,9,5,1,42,Retail,5,Decrease,Good
39,EMP0222,Neutral,None,Female,Hybrid,No,6,5,3,30,IT,4,Increase,Average
23,EMP0223,Unsatisfied,Weekly,Male,Onsite,Yes,6,2,5,33,Consulting,3,No Change,Good
38,EMP0224,Satisfied,None,Non-binary,Hybrid,Yes,3,1,4,28,Retail,3,Decrease,Average
30,EMP0225,Unsatisfied,Daily,Non-binary,Remote,No,5,2,2,50,Manufacturing,1,Increase,Average
35,EMP0226,Neutral,Weekly,Male,Onsite,Yes,3,1,3,44,Retail,1,Increase,Good
22,EMP0227,Satisfied,Weekly,Female,Remote,Yes,0,4,4,40,Healthcare,5,Increase,Average
28,EMP0228,Satisfied,Weekly,Male,Onsite,Yes,15,3,3,23,IT,2,Increase,Poor
57,EMP0229,Neutral,Weekly,Female,Onsite,No,4,5,3,30,Consulting,3,Decrease,Good
48,EMP0230,Satisfied,Weekly,Female,Hybrid,Yes,14,1,3,42,Manufacturing,2,Decrease,Good
45,EMP0231,Unsatisfied,Daily,Male,Onsite,No,14,4,5,52,Retail,1,No Change,Average
34,EMP0232,Satisfied,Weekly,Male,Onsite,No,3,2,3,37,Healthcare,4,Decrease,Poor
59,EMP0233,Unsatisfied,Weekly,Prefer not to say,Hybrid,No,9,2,1,28,Manufacturing,5,Decrease,Poor
31,EMP0234,Neutral,Weekly,Prefer not to say,Remote,Yes,6,2,3,31,Consulting,3,Increase,Average
55,EMP0235,Neutral,Daily,Prefer not to say,Onsite,No,12,5,2,23,Retail,4,No Change,Poor
23,EMP0236,Unsatisfied,None,Male,Remote,No,11,4,4,37,Finance,2,No Change,Average
51,EMP0237,Neutral,Weekly,Male,Hybrid,No,7,1,2,25,Healthcare,1,Decrease,Average
32,EMP0238,Satisfied,Daily,Female,Remote,Yes,11,4,1,55,Manufacturing,5,No Change,Average
41,EMP0239,Neutral,Weekly,Non-binary,Remote,Yes,14,1,4,56,IT,5,Increase,Good
46,EMP0240,Neutral,Daily,Prefer not to say,Hybrid,No,10,1,1,51,Manufacturing,1,No Change,Poor
58,EMP0241,Neutral,Weekly,Male,Onsite,No,15,2,3,35,Education,4,No Change,Poor
59,EMP0242,Satisfied,Weekly,Non-binary,Onsite,Yes,13,3,3,22,Manufacturing,2,Increase,Poor
40,EMP0243,Neutral,Weekly,Non-binary,Remote,No,1,4,5,34,Education,1,Decrease,Good
56,EMP0244,Neutral,Weekly,Prefer not to say,Remote,No,3,1,1,37,Retail,2,Decrease,Poor
47,EMP0245,Neutral,Weekly,Prefer not to say,Onsite,Yes,11,3,1,59,Finance,2,No Change,Poor
38,EMP0246,Satisfied,None,Female,Hybrid,Yes,2,3,2,53,IT,2,Increase,Good
59,EMP0247,Neutral,Weekly,Male,Remote,No,12,1,3,38,Healthcare,5,Increase,Average
47,EMP0248,Unsatisfied,None,Male,Onsite,Yes,4,4,2,32,Manufacturing,1,Increase,Poor
49,EMP0249,Neutral,None,Prefer not to say,Remote,No,6,5,5,36,Manufacturing,3,Decrease,Average
20,EMP0250,Satisfied,Weekly,Female,Hybrid,Yes,6,2,4,29,Manufacturing,5,No Change,Poor
50,EMP0251,Satisfied,Weekly,Non-binary,Hybrid,Yes,9,2,2,38,Manufacturing,1,Increase,Good
32,EMP0252,Unsatisfied,Weekly,Male,Hybrid,Yes,0,1,3,32,Education,4,No Change,Good
23,EMP0253,Neutral,Daily,Prefer not to say,Hybrid,Yes,8,3,3,43,IT,3,Increase,Average
22,EMP0254,Unsatisfied,Weekly,Prefer not to say,Remote,No,13,3,3,46,IT,3,Increase,Average
33,EMP0255,Neutral,Daily,Prefer not to say,Hybrid,Yes,11,2,2,42,Education,5,Decrease,Good
32,EMP0256,Unsatisfied,Weekly,Male,Hybrid,Yes,13,5,5,27,Education,3,Decrease,Average
