Job_Role,Industry,Ag,Mental_Health_Condition,Stress_Level,Years_of_Experience,Work_Location,Region,Employee_ID,Number_of_Virtual_Meetings,R_Satisfaction_with_Remote_Work,Work_Life_Balance_Rating,Hours_Worked_Per_Week,Productivity_Change
Sales,IT,24,Anxiety,Low,21,Onsite,Africa,EMP0039,12,Neutral,4,48,No Change
Marketing,Consulting,49,None,High,20,Hybrid,Asia,EMP0040,1,Unsatisfied,3,20,Increase
Data Scientist,IT,30,Burnout,High,22,Remote,Europe,EMP0041,15,Neutral,4,44,Decrease
Project Manager,IT,53,None,Low,14,Onsite,North America,EMP0042,13,Unsatisfied,2,29,No Change
Project Manager,Finance,54,None,High,26,Remote,Europe,EMP0043,6,Unsatisfied,3,58,Increase
Designer,Manufacturing,54,Depression,Medium,12,Remote,Europe,EMP0044,12,Unsatisfied,4,53,No Change
HR,Retail,57,Anxiety,High,13,Remote,South America,EMP0045,6,Neutral,3,23,No Change
Marketing,Retail,32,Burnout,Medium,24,Remote,North America,EMP0046,8,Neutral,2,42,No Change
Data Scientist,Education,33,Burnout,Medium,33,Remote,South America,EMP0047,15,Unsatisfied,1,35,Decrease
Sales,Consulting,30,None,High,4,Remote,Oceania,EMP0048,2,Unsatisfied,5,39,Decrease
HR,Healthcare,22,None,Low,7,Onsite,Africa,EMP0049,9,Neutral,4,29,Increase
Project Manager,Retail,35,Burnout,Medium,11,Onsite,Europe,EMP0050,3,Satisfied,4,37,No Change
HR,Manufacturing,26,Anxiety,High,34,Onsite,Europe,EMP0051,10,Satisfied,4,28,Decrease
Sales,Consulting,47,None,Low,25,Remote,South America,EMP0052,9,Satisfied,5,31,Decrease
Software Engineer,Retail,42,None,Medium,3,Onsite,South America,EMP0053,14,Satisfied,3,26,Decrease
Project Manager,Healthcare,60,Depression,Medium,34,Onsite,Asia,EMP0054,15,Neutral,2,46,No Change
Software Engineer,Education,26,Burnout,Medium,5,Hybrid,Asia,EMP0055,6,Satisfied,1,55,Decrease
Project Manager,Education,30,Anxiety,Low,8,Hybrid,Africa,EMP0056,12,Neutral,3,47,Increase
Software Engineer,IT,42,Depression,Low,14,Remote,Asia,EMP0057,13,Neutral,5,48,Increase
HR,IT,53,None,Low,7,Onsite,South America,EMP0058,6,Satisfied,5,49,No Change
Designer,Manufacturing,26,None,Low,31,Remote,Oceania,EMP0059,4,Unsatisfied,1,51,Decrease
Data Scientist,IT,26,None,Medium,17,Remote,Oceania,EMP0060,13,Satisfied,2,57,No Change
Sales,Consulting,25,Depression,Medium,4,Hybrid,Europe,EMP0061,14,Unsatisfied,4,33,No Change
Sales,IT,33,Depression,Medium,14,Remote,North America,EMP0062,15,Unsatisfied,2,30,Increase
Project Manager,Finance,25,Depression,Medium,20,Hybrid,Asia,EMP0063,4,Satisfied,3,28,No Change
Software Engineer,Healthcare,22,Depression,Medium,5,Onsite,South America,EMP0064,15,Satisfied,3,31,No Change
Data Scientist,Healthcare,60,Burnout,Medium,18,Hybrid,Oceania,EMP0065,0,Unsatisfied,4,37,No Change
HR,Finance,56,Anxiety,Medium,9,Remote,Europe,EMP0066,3,Satisfied,4,31,Increase
Software Engineer,IT,45,Burnout,Medium,6,Hybrid,Oceania,EMP0067,3,Satisfied,1,46,Increase
Marketing,Education,60,None,High,32,Remote,Oceania,EMP0068,6,Unsatisfied,2,20,Decrease
Designer,Manufacturing,32,Anxiety,High,23,Onsite,South America,EMP0069,8,Neutral,2,51,Decrease
Marketing,Finance,25,None,Low,6,Remote,North America,EMP0070,13,Neutral,2,28,No Change
Marketing,Consulting,43,Anxiety,Medium,23,Onsite,North America,EMP0071,4,Satisfied,4,39,Increase
Designer,Consulting,50,Depression,Medium,25,Remote,Oceania,EMP0072,13,Neutral,1,29,No Change
Designer,Retail,28,Burnout,High,15,Onsite,Africa,EMP0073,14,Unsatisfied,5,30,No Change
Software Engineer,IT,23,Anxiety,High,29,Hybrid,Africa,EMP0074,7,Neutral,3,53,Decrease
Project Manager,Consulting,38,Burnout,Medium,35,Onsite,Africa,EMP0075,10,Neutral,2,57,No Change
Marketing,Retail,42,Anxiety,High,27,Onsite,Asia,EMP0076,3,Satisfied,5,49,No Change
HR,Consulting,31,Depression,High,4,Onsite,Europe,EMP0077,8,Unsatisfied,4,55,No Change
Marketing,Healthcare,28,Anxiety,Medium,25,Remote,South America,EMP0078,10,Satisfied,5,37,No Change
Data Scientist,Manufacturing,29,Burnout,High,15,Remote,South America,EMP0079,5,Neutral,2,51,Increase
Project Manager,Consulting,27,Burnout,Low,21,Hybrid,Asia,EMP0080,7,Unsatisfied,5,21,No Change
Data Scientist,Education,54,Burnout,High,5,Hybrid,Asia,EMP0081,10,Satisfied,3,21,Decrease
Software Engineer,Finance,42,Depression,High,33,Onsite,South America,EMP0082,9,Neutral,4,44,Increase
HR,Education,58,Depression,High,32,Hybrid,North America,EMP0083,10,Unsatisfied,3,26,Increase
Project Manager,Healthcare,26,Burnout,High,15,Hybrid,Europe,EMP0084,6,Unsatisfied,4,43,Increase
Designer,Retail,56,None,Low,9,Hybrid,Oceania,EMP0085,14,Unsatisfied,4,42,Decrease
Designer,Finance,50,Burnout,Low,20,Hybrid,Asia,EMP0086,8,Unsatisfied,4,44,No Change
Project Manager,Manufacturing,55,Anxiety,Low,10,Onsite,North America,EMP0087,0,Satisfied,1,27,Decrease
Data Scientist,Education,22,None,Medium,26,Hybrid,Africa,EMP0088,5,Unsatisfied,1,43,Increase
Designer,Consulting,24,Anxiety,High,11,Remote,North America,EMP0089,0,Neutral,5,38,Increase
Marketing,Healthcare,53,Depression,Low,23,Hybrid,Oceania,EMP0090,4,Unsatisfied,4,38,Increase
Data Scientist,Retail,57,Depression,Medium,2,Onsite,Africa,EMP0091,4,Unsatisfied,4,57,No Change
Software Engineer,Manufacturing,22,Burnout,High,9,Onsite,South America,EMP0092,3,Satisfied,1,60,Decrease
Data Scientist,IT,41,Burnout,Medium,31,Onsite,Asia,EMP0093,0,Satisfied,5,29,Increase
Data Scientist,Education,46,Depression,High,34,Remote,Europe,EMP0094,12,Satisfied,4,54,Decrease
Project Manager,Education,60,None,High,11,Onsite,Africa,EMP0095,11,Neutral,5,31,Decrease
Project Manager,Manufacturing,44,Burnout,Low,2,Remote,Asia,EMP0096,8,Satisfied,5,54,Decrease
Data Scientist,Healthcare,35,Burnout,High,31,Hybrid,Africa,EMP0097,11,Neutral,1,33,Decrease
Designer,IT,48,Burnout,Low,32,Hybrid,South America,EMP0098,1,Neutral,4,25,Increase
Data Scientist,Healthcare,31,Burnout,Low,19,Onsite,Asia,EMP0099,15,Satisfied,1,21,No Change
Project Manager,IT,53,None,Medium,12,Hybrid,Africa,EMP0100,10,Satisfied,2,45,Decrease
Designer,Manufacturing,32,Depression,Medium,32,Onsite,Asia,EMP0101,5,Satisfied,1,53,Increase
Sales,Consulting,33,Burnout,High,9,Hybrid,Africa,EMP0102,12,Neutral,1,46,Increase
Sales,IT,45,Burnout,High,3,Hybrid,Africa,EMP0103,9,Satisfied,4,22,No Change
Software Engineer,Finance,50,Depression,High,18,Hybrid,Africa,EMP0104,12,Satisfied,4,60,Increase
Designer,Education,41,Depression,Low,30,Hybrid,Africa,EMP0105,2,Satisfied,4,42,Decrease
Data Scientist,Healthcare,43,Burnout,High,18,Onsite,South America,EMP0106,2,Neutral,3,60,Increase
HR,IT,29,Anxiety,Medium,25,Onsite,South America,EMP0107,14,Neutral,1,35,Decrease
Software Engineer,Healthcare,44,Anxiety,High,27,Hybrid,Europe,EMP0108,2,Satisfied,2,44,Decrease
Software Engineer,Healthcare,50,Burnout,Medium,2,Remote,Oceania,EMP0109,2,Satisfied,4,50,No Change
Data Scientist,Finance,36,Burnout,Low,4,Remote,Asia,EMP0110,7,Neutral,5,22,No Change
Data Scientist,Education,34,Anxiety,High,29,Hybrid,Africa,EMP0111,13,Unsatisfied,3,29,Increase
HR,Finance,49,Burnout,Low,30,Remote,Africa,EMP0112,8,Unsatisfied,5,34,Decrease
Marketing,Retail,45,Depression,Low,10,Remote,Europe,EMP0113,7,Satisfied,1,30,Increase
Data Scientist,Retail,45,None,Low,21,Onsite,Europe,EMP0114,0,Neutral,3,53,Decrease
Designer,Healthcare,53,Anxiety,High,25,Remote,Oceania,EMP0115,5,Neutral,2,29,No Change
Marketing,Education,29,Anxiety,Medium,35,Onsite,South America,EMP0116,1,Unsatisfied,3,27,No Change
Project Manager,Finance,34,Burnout,Medium,5,Onsite,North America,EMP0117,14,Satisfied,3,44,Increase
Data Scientist,Education,58,Burnout,High,25,Remote,Europe,EMP0118,13,Satisfied,2,42,Increase
Data Scientist,Manufacturing,38,Burnout,Medium,1,Hybrid,Europe,EMP0119,4,Satisfied,2,22,Increase
Project Manager,Consulting,40,None,Medium,27,Hybrid,Africa,EMP0120,13,Unsatisfied,2,34,Decrease
Project Manager,Manufacturing,45,Anxiety,High,29,Onsite,South America,EMP0121,13,Neutral,2,51,Decrease
Marketing,Retail,43,Depression,High,18,Hybrid,Europe,EMP0122,6,Unsatisfied,5,48,No Change
Software Engineer,Healthcare,50,Anxiety,High,35,Onsite,Africa,EMP0123,10,Unsatisfied,2,30,No Change
Sales,Consulting,58,None,Low,14,Onsite,North America,EMP0124,7,Satisfied,2,59,Increase
HR,Manufacturing,42,Depression,High,27,Remote,South America,EMP0125,14,Unsatisfied,2,26,No Change
Data Scientist,Finance,53,Burnout,Low,27,Hybrid,South America,EMP0126,1,Unsatisfied,3,60,Increase
Marketing,Retail,36,Burnout,Medium,8,Onsite,North America,EMP0127,2,Unsatisfied,2,38,Decrease
Project Manager,Finance,51,None,High,21,Remote,Europe,EMP0128,0,Unsatisfied,5,34,Decrease
Designer,Consulting,27,Burnout,Medium,15,Onsite,Europe,EMP0129,12,Unsatisfied,4,46,No Change
Sales,Retail,22,None,Low,21,Hybrid,Oceania,EMP0130,2,Unsatisfied,3,35,Decrease
Designer,Education,32,None,Medium,16,Remote,Africa,EMP0131,9,Neutral,1,23,No Change
Marketing,Manufacturing,32,Burnout,Low,26,Remote,Africa,EMP0132,15,Unsatisfied,5,28,Increase
Marketing,Retail,53,None,Medium,4,Onsite,South America,EMP0133,10,Neutral,3,57,No Change
Marketing,Manufacturing,26,None,Low,29,Hybrid,Europe,EMP0134,4,Satisfied,1,29,Decrease
Marketing,Finance,60,None,Medium,2,Hybrid,Oceania,EMP0135,1,Unsatisfied,4,39,Increase
Marketing,IT,51,Burnout,Medium,26,Remote,Oceania,EMP0136,4,Unsatisfied,5,46,Increase
Data Scientist,Healthcare,44,Burnout,High,14,Remote,South America,EMP0137,9,Neutral,2,26,No Change
Sales,IT,48,None,Medium,10,Remote,Oceania,EMP0138,4,Satisfied,4,32,No Change
Data Scientist,Education,57,None,High,34,Remote,North America,EMP0139,11,Unsatisfied,3,30,Increase
Project Manager,Education,49,Anxiety,Low,11,Hybrid,Asia,EMP0140,3,Satisfied,5,48,Decrease
Project Manager,Education,32,Anxiety,High,12,Onsite,Africa,EMP0141,13,Satisfied,1,44,Decrease
Project Manager,Healthcare,49,Burnout,Low,29,Hybrid,Asia,EMP0142,15,Neutral,5,49,Decrease
Designer,Manufacturing,23,None,High,11,Hybrid,Europe,EMP0143,0,Unsatisfied,5,23,No Change
Designer,Finance,55,Burnout,Low,3,Onsite,North America,EMP0144,6,Satisfied,5,33,No Change
HR,Education,47,Anxiety,High,18,Remote,Asia,EMP0145,15,Unsatisfied,5,35,No Change
Marketing,Consulting,48,Depression,Medium,5,Remote,Europe,EMP0146,8,Satisfied,3,41,Decrease
Software Engineer,Healthcare,36,Depression,Low,3,Hybrid,Africa,EMP0147,12,Neutral,2,34,Increase
Designer,Finance,45,Anxiety,Low,14,Remote,North America,EMP0148,10,Unsatisfied,1,44,No Change
Designer,IT,41,Depression,High,10,Onsite,Oceania,EMP0149,8,Satisfied,4,52,Decrease
Designer,Consulting,50,Burnout,Low,17,Onsite,Oceania,EMP0150,11,Unsatisfied,2,57,Decrease
Software Engineer,Consulting,41,Anxiety,High,34,Remote,Oceania,EMP0151,15,Unsatisfied,3,32,Decrease
Designer,Consulting,57,Burnout,Low,20,Remote,Oceania,EMP0152,6,Satisfied,4,31,No Change
Software Engineer,Healthcare,30,Burnout,Medium,29,Hybrid,Africa,EMP0153,15,Unsatisfied,1,58,Increase
Data Scientist,Consulting,23,Depression,Medium,31,Remote,Asia,EMP0154,9,Unsatisfied,1,26,No Change
Software Engineer,Consulting,30,None,Low,17,Remote,North America,EMP0155,5,Unsatisfied,1,57,No Change
Project Manager,Healthcare,47,None,Low,31,Onsite,North America,EMP0156,8,Neutral,1,20,Decrease
Project Manager,Finance,33,None,High,23,Hybrid,South America,EMP0157,0,Satisfied,4,26,Decrease
Data Scientist,Finance,32,Depression,High,21,Hybrid,North America,EMP0158,15,Neutral,3,43,No Change
Designer,Manufacturing,43,Depression,Low,6,Onsite,South America,EMP0159,14,Unsatisfied,3,50,Increase
Software Engineer,Healthcare,43,Burnout,High,14,Onsite,Oceania,EMP0160,0,Satisfied,5,52,Increase
Marketing,IT,35,Anxiety,Medium,34,Hybrid,Africa,EMP0161,1,Satisfied,4,37,Decrease
Data Scientist,Education,40,None,High,24,Hybrid,Africa,EMP0162,0,Neutral,3,38,No Change
Designer,Consulting,29,Depression,High,3,Hybrid,South America,EMP0163,11,Unsatisfied,1,55,Increase
Data Scientist,Manufacturing,24,None,Medium,5,Hybrid,Africa,EMP0164,14,Neutral,1,53,Increase
Software Engineer,Healthcare,40,Burnout,Medium,11,Onsite,Oceania,EMP0165,13,Neutral,1,20,Increase
Software Engineer,Manufacturing,22,Anxiety,Low,10,Hybrid,Africa,EMP0166,1,Neutral,2,46,Increase
Software Engineer,Education,48,Depression,Low,35,Onsite,Africa,EMP0167,8,Satisfied,2,30,No Change
Software Engineer,Retail,60,Anxiety,High,27,Remote,Asia,EMP0168,8,Satisfied,2,50,No Change
HR,Healthcare,34,None,Medium,15,Remote,Europe,EMP0169,13,Satisfied,2,50,No Change
Project Manager,Manufacturing,50,Burnout,Low,10,Hybrid,Europe,EMP0170,0,Satisfied,1,50,Increase
Designer,Retail,38,None,Low,19,Remote,North America,EMP0171,7,Neutral,1,23,Increase
Data Scientist,Retail,36,Depression,Medium,33,Onsite,Europe,EMP0172,3,Unsatisfied,4,45,Decrease
Software Engineer,Finance,35,Burnout,Medium,11,Hybrid,South America,EMP0173,4,Satisfied,1,25,No Change
Designer,Manufacturing,25,None,High,35,Remote,North America,EMP0174,9,Neutral,2,36,Increase
HR,Education,34,None,Low,10,Onsite,Europe,EMP0175,3,Unsatisfied,2,60,Decrease
Project Manager,Healthcare,32,Anxiety,Low,12,Remote,Europe,EMP0176,7,Satisfied,3,35,No Change
Marketing,Manufacturing,58,Depression,Medium,14,Hybrid,North America,EMP0177,12,Satisfied,3,55,No Change
Project Manager,Finance,40,None,Medium,31,Onsite,Europe,EMP0178,10,Neutral,1,47,Decrease
HR,Healthcare,56,None,High,32,Hybrid,South America,EMP0179,10,Satisfied,4,57,Increase
HR,Education,44,None,Medium,17,Hybrid,South America,EMP0180,9,Unsatisfied,2,22,Decrease
Data Scientist,IT,30,Burnout,Medium,22,Remote,Europe,EMP0181,5,Neutral,1,43,Decrease
Marketing,Consulting,49,None,Low,29,Remote,South America,EMP0182,9,Unsatisfied,5,45,Decrease
Designer,Healthcare,26,Burnout,Low,21,Onsite,Europe,EMP0183,14,Satisfied,2,56,Increase
Data Scientist,IT,52,Depression,High,22,Onsite,Africa,EMP0184,14,Neutral,3,46,No Change
HR,Manufacturing,24,Depression,Medium,13,Hybrid,Europe,EMP0185,0,Neutral,5,60,Decrease
Designer,Consulting,40,Depression,Medium,12,Remote,Asia,EMP0186,9,Unsatisfied,1,32,No Change
HR,Manufacturing,57,Anxiety,Medium,11,Hybrid,Oceania,EMP0187,13,Unsatisfied,5,59,Decrease
Software Engineer,Consulting,23,None,High,17,Onsite,Oceania,EMP0188,13,Neutral,5,60,No Change
Data Scientist,IT,40,Burnout,High,35,Hybrid,Oceania,EMP0189,4,Unsatisfied,5,43,No Change
Data Scientist,Education,45,Burnout,Low,15,Remote,North America,EMP0190,8,Satisfied,1,33,No Change
Data Scientist,Finance,46,None,Low,11,Hybrid,Europe,EMP0191,14,Satisfied,3,20,Decrease
Software Engineer,Retail,37,Anxiety,Medium,16,Hybrid,North America,EMP0192,2,Unsatisfied,1,27,No Change
Software Engineer,Healthcare,51,Depression,Medium,4,Onsite,South America,EMP0193,1,Unsatisfied,5,43,No Change
Sales,IT,52,Depression,Medium,29,Onsite,South America,EMP0194,12,Neutral,2,23,Decrease
Data Scientist,Education,53,Burnout,Medium,22,Onsite,Africa,EMP0195,0,Neutral,1,29,No Change
Sales,Education,39,None,Medium,7,Remote,North America,EMP0196,0,Neutral,2,47,Decrease
Designer,Healthcare,56,Anxiety,Low,28,Onsite,Oceania,EMP0197,12,Neutral,1,46,Increase
Marketing,Manufacturing,59,None,Low,13,Hybrid,South America,EMP0198,2,Neutral,1,40,Decrease
Project Manager,Retail,28,Burnout,High,7,Remote,Oceania,EMP0199,0,Unsatisfied,4,47,Decrease
Data Scientist,Finance,36,Burnout,High,3,Remote,South America,EMP0200,7,Unsatisfied,3,53,Decrease
Sales,Education,45,Burnout,Medium,3,Hybrid,Oceania,EMP0201,14,Neutral,4,55,Increase
Sales,Retail,52,Anxiety,Medium,2,Remote,Asia,EMP0202,1,Neutral,2,40,Decrease
Project Manager,IT,55,Depression,Low,32,Hybrid,Asia,EMP0203,8,Satisfied,5,28,Decrease
Sales,Consulting,58,Burnout,Low,18,Hybrid,South America,EMP0204,14,Neutral,3,39,No Change
Software Engineer,IT,51,Burnout,Medium,14,Onsite,Asia,EMP0205,5,Unsatisfied,5,41,No Change
Data Scientist,Finance,52,Burnout,Low,5,Onsite,Oceania,EMP0206,3,Satisfied,5,21,Increase
Project Manager,IT,54,Burnout,Low,12,Onsite,Africa,EMP0207,11,Unsatisfied,3,34,No Change
Designer,Retail,35,Burnout,Low,2,Remote,Europe,EMP0208,14,Unsatisfied,3,36,Decrease
Marketing,Manufacturing,39,Anxiety,High,19,Remote,North America,EMP0209,2,Satisfied,4,32,Decrease
Sales,Consulting,47,Anxiety,Medium,7,Hybrid,Africa,EMP0210,8,Unsatisfied,2,21,No Change
Project Manager,Manufacturing,49,Anxiety,High,31,Onsite,Europe,EMP0211,3,Satisfied,5,56,No Change
Marketing,Manufacturing,60,Burnout,Low,33,Onsite,North America,EMP0212,8,Satisfied,4,58,No Change
Software Engineer,Manufacturing,47,None,High,11,Onsite,Oceania,EMP0213,8,Satisfied,1,35,No Change
Project Manager,Healthcare,27,Anxiety,Low,22,Hybrid,Europe,EMP0214,3,Satisfied,1,52,Decrease
Marketing,Consulting,46,Depression,Low,30,Remote,South America,EMP0215,8,Neutral,1,33,Increase
Software Engineer,Manufacturing,25,Burnout,Medium,22,Remote,Europe,EMP0216,9,Neutral,2,47,Decrease
HR,Education,30,Depression,Medium,11,Onsite,Oceania,EMP0217,13,Satisfied,3,56,Increase
Data Scientist,Education,38,Anxiety,Low,35,Onsite,Europe,EMP0218,4,Neutral,2,33,Increase
HR,Education,56,Anxiety,Low,5,Remote,Asia,EMP0219,9,Satisfied,3,60,No Change
Sales,Manufacturing,42,Burnout,Low,23,Hybrid,South America,EMP0220,5,Unsatisfied,4,32,No Change
Project Manager,Retail,42,None,Medium,18,Hybrid,Oceania,EMP0221,9,Satisfied,5,48,Decrease
HR,IT,30,None,High,20,Hybrid,Asia,EMP0222,6,Neutral,4,39,Increase
Software Engineer,Consulting,33,Anxiety,High,6,Onsite,Asia,EMP0223,6,Unsatisfied,3,23,No Change
Marketing,Retail,28,Anxiety,High,29,Hybrid,Africa,EMP0224,3,Satisfied,3,38,Decrease
Designer,Manufacturing,50,Anxiety,Low,1,Remote,North America,EMP0225,5,Unsatisfied,1,30,Increase
Software Engineer,Retail,44,None,Low,4,Onsite,Africa,EMP0226,3,Neutral,1,35,Increase
Data Scientist,Healthcare,40,None,Medium,6,Remote,South America,EMP0227,0,Satisfied,5,22,Increase
Project Manager,IT,23,Depression,Medium,8,Onsite,Asia,EMP0228,15,Satisfied,2,28,Increase
Marketing,Consulting,30,Burnout,Medium,32,Onsite,Oceania,EMP0229,4,Neutral,3,57,Decrease
HR,Manufacturing,42,Burnout,Low,10,Hybrid,Europe,EMP0230,14,Satisfied,2,48,Decrease
Marketing,Retail,52,Burnout,Medium,7,Onsite,Africa,EMP0231,14,Unsatisfied,1,45,No Change
Marketing,Healthcare,37,Burnout,Low,29,Onsite,Oceania,EMP0232,3,Satisfied,4,34,Decrease
Marketing,Manufacturing,28,Burnout,Low,19,Hybrid,Africa,EMP0233,9,Unsatisfied,5,59,Decrease
Software Engineer,Consulting,31,None,High,18,Remote,Asia,EMP0234,6,Neutral,3,31,Increase
Marketing,Retail,23,Burnout,Low,9,Onsite,Africa,EMP0235,12,Neutral,4,55,No Change
Data Scientist,Finance,37,Burnout,Low,18,Remote,Oceania,EMP0236,11,Unsatisfied,2,23,No Change
HR,Healthcare,25,Depression,Medium,33,Hybrid,Europe,EMP0237,7,Neutral,1,51,Decrease
Software Engineer,Manufacturing,55,Depression,Medium,13,Remote,Europe,EMP0238,11,Satisfied,5,32,No Change
Marketing,IT,56,Depression,Low,4,Remote,North America,EMP0239,14,Neutral,5,41,Increase
Software Engineer,Manufacturing,51,None,Low,24,Hybrid,South America,EMP0240,10,Neutral,1,46,No Change
HR,Education,35,Depression,High,6,Onsite,Oceania,EMP0241,15,Neutral,4,58,No Change
Sales,Manufacturing,22,Burnout,High,2,Onsite,North America,EMP0242,13,Satisfied,2,59,Increase
Project Manager,Education,34,Depression,Medium,10,Remote,Oceania,EMP0243,1,Neutral,1,40,Decrease
Sales,Retail,37,Burnout,High,32,Remote,Europe,EMP0244,3,Neutral,2,56,Decrease
Software Engineer,Finance,59,Anxiety,High,17,Onsite,North America,EMP0245,11,Neutral,2,47,No Change
Project Manager,IT,53,Anxiety,Low,25,Hybrid,South America,EMP0246,2,Satisfied,2,38,Increase
Data Scientist,Healthcare,38,Anxiety,Low,25,Remote,South America,EMP0247,12,Neutral,5,59,Increase
Project Manager,Manufacturing,32,None,Medium,17,Onsite,Oceania,EMP0248,4,Unsatisfied,1,47,Increase
HR,Manufacturing,36,Depression,Medium,17,Remote,Africa,EMP0249,6,Neutral,3,49,Decrease
Project Manager,Manufacturing,29,None,Low,18,Hybrid,Africa,EMP0250,6,Satisfied,5,20,No Change
Project Manager,Manufacturing,38,Anxiety,High,26,Hybrid,South America,EMP0251,9,Satisfied,1,50,Increase
Project Manager,Education,32,Depression,High,21,Hybrid,Oceania,EMP0252,0,Unsatisfied,4,32,No Change
Sales,IT,43,Anxiety,Low,21,Hybrid,Oceania,EMP0253,8,Neutral,3,23,Increase
HR,IT,46,Anxiety,Medium,25,Remote,Africa,EMP0254,13,Unsatisfied,3,22,Increase
Data Scientist,Education,42,Burnout,Medium,4,Hybrid,Africa,EMP0255,11,Neutral,5,33,Decrease
Project Manager,Education,27,Burnout,Medium,25,Hybrid,Oceania,EMP0256,13,Unsatisfied,3,32,Decrease
Marketing,Retail,54,Anxiety,Medium,10,Onsite,Europe,EMP0257,0,Unsatisfied,1,51,Increase
Designer,Healthcare,43,Burnout,Medium,34,Hybrid,Oceania,EMP0258,11,Satisfied,3,49,Decrease
Data Scientist,Education,31,Anxiety,Medium,9,Remote,Oceania,EMP0259,9,Satisfied,1,30,No Change
