owners,appid,price,release_date;name,publisher,required_age,categories,steamspy_tags;genres,achievements,median_playtime
0-20000,817370,0.0,2018-07-29;Marching 5imulator,Marching Simulator,0,Single-player,Early Access;Free to Play;Simulation;Free to Play;Simulation;Early Access,0,0
500O0-100000,289620,14.99,2014-04-11;26Rf_Collapse,Buka Entertainment,0,Single-player;Full controller support;Steam Trading Cards,Action;Adventure;Hack and Slash;Action;Adventure,0,-6893
0-20000,374240,6.99,2015-10-16;Eternal Step,Green Man Gaming Publishing,0,Single-player;Full controller support;Steam Trading Cards;Steam Cloud,Indie;RPG;Action;Action;Adventure;Indie;RPG,0,0
0-20000,584990,12.99,2018-03-14;The Long Reach,cht_Merge Games,0,Single-player;Full controller support,Action;Adventure;Indie;Violent;Gore;Action;Adventure;Indie,15,0
0-20000,860090,0.79,2018-06-02;Erotic Jigsaw Challenge Vol. 1,BarelyEntertainment,0,Single-player;Steam Achievements,Nudity;Sexual Content;Indie;Sexual Content;Nudity;Casual;Indie;Simulation,6,-6337
20000-50000,636100,10.99,2018-01-26;Tesla vs Lovecraft,F_10tons Ltd,0,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;Local Co-Op;Action;Indie;RPG,20,4252
0.200.,543740,9.99,04_2017_08;Msdi3val Story,OddGames,0,Single-player;Steam Achievements,Adventure;Indie;Action;Violent;Gore;Action;Adventure;Indie,7,0
0-20000,525860,3.99,2016-11-09;Garden Wars,Morepork Gemes,0,Single-player;Multi-player;Steam Achievements,Strategy;Indie;Casual;Casual;Indie;Strategy,22,-9825
0-20000,806180,2.09,02_07_2018;Heavens_The_Beyond,Zane Games,0,Single-player;Partial Controller Support;Steam Cloud,Action;Indie;Space;Action;Indie,0,0
O-20000,751740,1.69,2018-03-21;Roller Coasder Egypt VR,NetDinamica,0,Single-player,Action;Adventure;Indie;Action;Adventure;Indie;Simulation,0,0
50000-100000,476460,0.0,2016-08-24;Picross Touch,jgallant,0,Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Casual;Indie;Free to Play;Casual;Free to Play;Indie;Strategy,18,-5024
50000-100000,385380,11.99,20I6-06-03;Planet Centauri,Permadeath,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Trading Cards,Early Access;Sandbox;2D;Action;Adventure;Indie;RPG;Early Access,0,947
0-20000,1022010,3.99,2019-02-18;Oliver's Adventures in the Fairyland,JhdieMax,0,Single-player;Steam Achievements,Indie;Adventure;Action;Action;Adventure;Indie,16,-1841
0-20000,813590,7.19,2018-04-13;Solas and the White Winter,Savepoint Studios,0,Single-player;Steam Achievements;Full controller support,Indie;Adventure;Adventure;Indie,6,0
20000-50000,397160,6.99,08_03_2019;Aurora Dusk: Steam Age,Sylvain Harlaut,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards,Strategy;Indie;RPG;Indie;RPG;Strategy,27,244
0-20000,738920,2.09,2018-01-29;5exy Serial Killer,Disturbing Excitement,0,Single-player;Steam Achievements,Sexual Content;Nudity;Gore;Nudity;Violent;Gore;Action;Adventure,4,1490
0-20000,517990,10.99,2016-09-26;City VR,"Amber Garage, Inc.",0,Single-player,Early Access;Simulation;VR;Simulation;Early Access,0,0
0-20000,387890,0.79,2015-08-03;Uu_Radial Impact,Wgs5_Devin Sherry,0,Single-player,Indie;Casual;Casual;Indie,0,0
0-20000,600990,15.49,2018-09-19;The Gardens Between,The Voxel Agents,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Indie;Adventure;Puzzle;Adventure;Indie,17,186
0.2.,554280,14.99,2018-04-10;Time Carnage VR,Interactive_Wales,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Indie;Violent;Violent;Action;Indie,21,0
0-20000,635670,1.59,2017-05-17;EMPORIUM,Tom Kitchen,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Casual;Indie;Adventure;Gore;Adventure;Casual;Indie,5,0
0-20000,1019150,5.19,2019-02-06;l_Apolune,Lost Astronaut 5tudios,0,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support,Action;Indie;Casual;Action;Casual;Indie,22,0
20000-50000,246920,6.99,2017-12-29;Bombernauts,Eyebrow Interactive,0,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Includes level editor,Action;Indie;Multiplayer;Action;Indie,9,0
50000-100000,790600,0.0,2018-05-15;Stormbound,Kongregate,0,Online Multi-Player;In-App Purchases,Free to Play;Strategy;Card Game;Free to Play;Strategy,17,54
0-20000,880830,1.99,2018-07-04;Cavesweeper,Stylus Software,0,Single-player;Steam Achievements;Steam Leaderboards,Casual;Strategy;Indie;Adventure;Casual;Indie;Strategy,41,0
0-20000,527250,3.99,2.09.23.;VilleTown,Games_Laugical,0,Single-player;Steam Trading Cards,Strategy;Simulation;Indie;Indie;Simulation;Strategy,0,0
0-20000,528770,1.69,2016-11-18;Twixel,Self Published,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Difficult;Action,18,0
0-20000,981550,0.9,2018-12-13;GACHIMUCHI M♂NLY PUZZLE,M♂NLI,0,Single-player;Steam Achievements,Nudity;Indie;Sexual Content;Casual;Indie;Simulation;Strategy,24,0
2000.500.,896160,9.29,2018-12-07;Evil Bank Manager,Hamsters Gaming,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Strategy;Simulation;Indie;Indie;Simulation;Strategy,57,0
50000-100000,759530,0.0,2018-02-02;Ztruckd - 3D Game Creator,Struckd AG,0,Single-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Includes level editor,Early Access;Free to Play;Action;Action;Adventure;Casual;Racing;RPG;Early Access,0,1336
S4_0-20000,873850,4.79,2018-11-14;PA.,Magic Time 5oftware,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Indie;Action;Adventure;Indie,10,0
20000-50000,258590,6.99,2014-04-1I;Adventure Time: Finn and Jake's Epic Quest,Cartoon Network Games,0,Single-player;Steam Achievements;Full controller support,Adventure;Action;Cartoon;Action;Adventure,12,0
100000_50000,890920,0.0,20w8-07-1u;Glitch,Ekrcoaster,0,Single-player,Free to Play;Horror;Indie;Adventure;Casual;Free to Play;Indie;Strategy,10,0
0-20000,653770,1.59,20I7-07-05;The First Time I Died,Ryan Q5ephfn,0,Single-player,Adventure;Indie;RPG;Adventure;Indie;RPG,0,7420
5000000-10000000,550650,0.0,2017-07-28;Black Squad,NS STUDIO,0,Multi-player;Steam Achievements;Steam Trading Cards;In-App Purchases,Early Access;Free to Play;FPS;Action;Free to Play;Early Access,36,42
100000-200000,464340,23.79,2017-11-13;Syberia 3,9_Microids,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Puzzle;Story Rich;Adventure,40,1523
2000.5000.,329630,4.99,2014-11-06;Command HQ,Retroism;Nightdive Studios,0,Single-player,Strategy;Retro;1990's;Strategy,0,5070
0-20000,386390,4.79,2015-10-19;Dad Beat Dads,Stellar Jay Studios,0,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards,Action;Local Multiplayer;Indie;Action,25,0
0-20000,303290,26.99,Z016-04-29;OZMAFIA!!,MangaGamer,0,Single-player;Steam Trading Cards;Steam Cloud,Otome;Visual Novel;Female Protagonist;Adventure,0,0
200000-500000,443940,2.79,201.0.1.;Unknown Battle,RenPen,0,Single-player;Steam Trading Cards,Indie;Action;Adventure;Action;Adventure;Indie,0,376
0-20000,895650,0.79,2018-10-30;Save The Cookie,Chota Games Studio,0,Single-player;Steam Leaderboards,Action;Indie;Casual;Action;Casual;Indie,0,0
200000-50009p,921060,0.0,2018-10-24;Modern Combat 5,Gameloft,0,Single-player;Online Multi-Player;In-App Purchases,Free to Play;Massively Multiplayer;FPS;Action;Free to Play;Massively Multiplayer,54,69
500000-1000000,290300,14.99,201S-10-20;Rebel Galaxy,Double Damage Games,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Space;Sci-fi;Open World;Action;Adventure;Indie;RPG;Simulation,37,6311
0.2.,507030,5.79,2016-11-14;8icyclism EP,Acid Cat,0,Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Racing;Sports;Action;Action;Indie;Racing;Simulation;Sports,13,11
200909-500900,12770,4.99,2009-01-07;Rise of the Argonauts,Codemasters,0,Single-player;Full controller support,RPG;Action;Adventure;RPG,0,147
100000-2000O0,294810,14.99,2014-12-11;BlazBlue: Continuum Shift Extend,"H2 Interactive Co., Ltd.",0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Fighting;Anime;2D Fighter;Action,50,167
0-20000,591470,6.99,2017-02-21;Dark Realm: Queen of Fpames Coll4ctor's Edition,Big Fish Gamed,0,Single-player,Adventure;Casual;Hidden Object;Adventure;Casual,0,0
0-20000,837530,4.79,2918-o4-17;Dark Ghost RPG,G.RU.Ga.,0,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure;RPG;Nudity;Violent;Gore;Action;Adventure;Indie;RPG;Simulation,3,0
0-20000,348980,1.59,19_2015_08;INIT.,Narrow Monolith,0,Single-player;Co-op;Shared/Split Screen;Steam Trading Cards;Partial Controller Support;Steam Cloud;Commentary available,Indie;Action;Casual;Action;Adventure;Casual;Indie;Strategy,0,0
0-20000,740320,0.79,wU_2017-11-24;Djilyaro,HoneyBeeSoftware,0,Single-player;Steam Achievements,Indie;Psychedelic;Indie,0,6087
50.1000.,463530,15.99,2017-12-01;Empires of the Undergrowth,Slug Dizco Studios,0,Single-player,Early Access;Strategy;Simulation;Indie;Simulation;Strategy;Early Access,0,863
0-20000,676480,9.99,2017-09-1S;Jettomero: Hero of the Universe,Ghost Time Games,0,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud;Stats,Indie;Robots;Indie,15,0
0-20000,965450,0.79,2018-q0-3q;On5pace,stariy8419,0,Single-player,Action;Indie;Casual;Action;Casual;Indie,0,0
0-20000,456920,0.0,2016-11-22;Gary the Gull,Limitless Ltd,0,Single-player,Adventure;VR;Adventure,0,0
20000-50000,848350,15.99,2018-12-06;REROLL_Damacy_Katamari,NAMCO_Entertainment_BANDAI,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Casual;Action;Great Soundtrack;Action;Casual,21,105
0-20000,494090,8.99,2018-07-30;Dungeon Girl,Fruitbat Factory,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Anime;Puzzle;Casual,29,0
dY8_0-20000,259640,1.99,2014-01-Z4;Guise Of The Wolf,FUN Creators,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Indie;Werewolves;Adventure;Action;Adventure;Indie,20,0
0-20000,724120,7.19,2018-09-18;Rise:30 Minutes to Extinction,Antarctic Games,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action;Indie;Casual;Action;Casual;Indie,4,0
0-20000,978790,0.0,2018-12-28;Frantic Dimension,PsychoFlux Entertainment,0,Single-player;Partial Controller Support;Steam Leaderboards,Free to Play;Action;Indie;Action;Free to Play;Indie,0,-3926
0-20000,974010,0.0,2018-11-29;Zero spring episode 2,NS,0,Single-player,Adventure;RPG;Indie;Adventure;Indie;RPG,0,0
20000-50000,427860,9.99,2016-03-07;4_The Next World,AAD Provucrikns,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Indie;Adventure;Casual;Indie,37,0
50000-100000,702320,0.0,2017-12-11;Ma.Of.Em.,Gameloft,0,Online Multi-Player;Steam Achievements;In-App Purchases,Free to Play;Strategy;RPG;Free to Play;Massively Multiplayer;RPG;Strategy,87,3
0.200.,370140,10.99,2016-08-29;Sabk_Nebulous,Namazu Studios,0,Single-player;Full controller support;VR Support;Steam Cloud,Indie;Casual;Casual;Indie,11,0
0-20000,769590,0.79,2018-02-23;Play Cube with Uncle Billy,bones,0,Single-player,Casual;Nudity;Indie;Nudity;Casual;Indie;Strategy,0,0
50000-100000,644640,10.99,2018-04-05;Band of Defenderq,Alda Games,0,Single-player;Online Co-op;Steam Achievements;Steam Trading Cards,Action;Gore;Violent;Violent;Gore;Action,45,0
0-20000,811520,0.79,2018-12-20;Infinite Fall,4k_Dexion Games,0,Single-player,Strategy;Indie;Casual;Casual;Indie;Strategy,0,807
7XfK_50000-100000,449000,0.0,2016-03-30;Steno Arcade,For All To Play,0,Single-player;Captions available,Early Access;Free to Play;Indie;Casual;Free to Play;Indie;Early Access,0,1
0-20000,532120,3.99,2017-08-16;Header Goal VR: Being Axel Rix,Codemodeon,0,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Action;Indie;Simulation;Action;Indie;Simulation;Sports,25,0
0-20000,996550,0.79,"2019-01-13;持猫少女凯蒂/Kaidi, armed with a cat",49肆酒,0,Single-player;Steam Achievements,Indie;Casual;Adventure;Adventure;Casual;Indie,23,0
0-20000,862390,27.79,2018-12-20;FlyInside Flight Simulator,6ndu_FlyInside Inc.,0,Single-player;Steam Achievements;Partial Controller Support;Stats,Early Access;Indie;Simulation;Indie;Simulation;Early Access,10,0
500000-1000000,7660,2.99,20O8-09-04;X.COM.Apocal.,4Uy_2K,0,Single-player,Strategy;Turn-Based;Tactical;Strategy,0,18
0-20000,494040,3.99,2017-09-27;PuppetwVR,Expo Virtualis,0,Single-player;Online Multi-Player,Early Access;Indie;Casual;Casual;Indie;Simulation;Early Access,0,0
tyr_0-20000,856190,3.99,201.0.03.;Metori,Ene.Gam.,0,Single-player,Action;Strategy;Indie;Action;Indie;Strategy,0,0
0-20000,513720,0.79,20.0.1.;Archipelago,D.Kiv.,0,Single-player,Strategy;Pirates;Strategy,0,-1710
xMC_0-20000,429480,7.19,2016-10-19;Vision Runner,Snowbit Interactive,0,Single-player;Steam Achievements;Includes level editor,Early Access;Indie;Parkour;Indie;Early Access,5,0
0-20000,1004570,3.99,2019-01-25;blocks,BlueRichter,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Indie;Casual;Strategy;Casual;Indie;Strategy,38,0
0-20000,514500,11.99,2018-10-15;Society_Atomic,Far Road Games,0,Single-player,Early Access;Strategy;Simulation;Simulation;Strategy;Early Access,0,0
0-20000,679780,10.99,2017-08-04;Lemuria: Lost in Space - VR Edition,EJR.,0,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,Action;Adventure;RPG;Action;Adventure;Indie;RPG,21,0
0-20000,916050,9.29,2019-02-14;C.铸.,insienova,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Indie;Adventure;RPG;Adventure;Indie;RPG,13,-5057
100000-200000,723790,0.0,2017-10-13;The Pirate: Plague of the Dead,Home Net Games,0,Single-player;In-App Purchases;Steam Cloud,Free to Play;Action;Pirates;Action;Adventure;Free to Play;Indie;Simulation;Strategy,0,1362
0-20000,359340,6.99,2O17-06-09;M_Pixel Puzzles Mosaics,h_DL Softworks,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie;Strategy;Casual;Indie;Simulation;Sports;Strategy,34,0
0-20000,463320,2.89,2015-04-22;The Sea Eternal,Games_of_Choice,0,Single-player;Steam Achievements;Captions available;Steam Cloud,Indie;Adventure;RPG;Adventure;Indie;RPG,34,0
60000-100000,307340,4.99,Z014-08-15;Olatypus,KISS ltd,0,Single-player;Shared/Split Screen;Steam Trading Cards,Action;Shoot 'Em Up;Local Co-Op;Action,0,267
500000-1000000,219780,14.99,kf_2012-10-29;Divinity II: Developer's Cut,Larian Studios;Focus Home Interactive,0,Single-player,RPG;Fantasy;Open World;RPG,0,70
0.20.,541160,3.99,iWn_2016-10-14;MC Lars: The Video Game,"LLC_Synersteel_Studio,",0,Single-player;Steam Achievements;Partial Controller Support,Action;Indie;Action;Indie,20,0
0-20000,739050,12.39,2018-01-10;Deck Casters,Rock Nano Global,0,Single-player;Online Multi-Player;Steam Achievements;Steam Cloud,Indie;Strategy;Card Game;Indie;Strategy,12,0
0-20000,914290,3.99,2O18-11-09;We.T.Princ.,Eren Aydin,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Casual;Gore;Action;Adventure;Casual,56,0
0.20.,500440,3.99,2.1.2.;Take the Cake,Eben.,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie;Action;Adventure;Indie,6,0
0-Z0000,495580,0.0,201i-10-o2;Fall:_We_Free_For_Divided_Play,KAVA Game Studio,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Workshop;Includes level editor,Strategy;Action;Indie;Action;Free to Play;Indie;Strategy,11,0
200000-500000,259320,3.99,2013-11-01;Heli Tedoes,Topware Interactive,0,Single-player;Shared/Split Screen;Steam Trading Cards;Steam Cloud,Action;Casual;Shoot 'Em Up;Action;Casual,0,273
50000-100000,454180,1.99,2016-06-14;CrazyCars3D,Anea_Dko_Dev,0,Single-player;Multi-player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Simulation;Racing;Action;Action;Adventure;Casual;Indie;Racing;Simulation,9,241
50000-100000,574070,0.0,2.1.08.;Spac3 Wars: Interstellar Empires,ToHeroes Game Studios LLC,0,Online Multi-Player;MMO;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases,Early Access;Free to Play;Massively Multiplayer;Free to Play;Massively Multiplayer;Strategy;Early Access,51,0
0-20000,1043020,1.69,2019-03-19;Dust On Wheels,SelenaJ,0,Single-player,Racing;Action;Action;Racing,0,0
0-20000,588230,7.19,2018-02-27;Beckett,The Secret Experiment,0,Single-player;Steam Achievements,Indie;Adventure;Nudity;Adventure;Indie,18,0
100000-200000,271550,3.99,2014-01-30;T.2.,BumpkinBrothers,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Strategy;Casual;Indie;Strategy,22,275
0-20000,894900,3.99,2018-09-27;Speedy Girls - Dream Team,Night Dreams Studio,0,Single-player;Steam Achievements,Sexual Content;Nudity;Indie;Indie,15,0
0-20000,956000,3.99,2018-11-02;Su Hack,EL TECH,0,Multi-player;Online Multi-Player;Steam Achievements;Steam Leaderboards,Early Access;Strategy;Indie;Indie;Massively Multiplayer;Simulation;Strategy;Early Access,9,0
0-20000,338080,29.99,2015-01-08;A列車で行こう8,Degica,0,Single-player,Simulation;Simulation,0,0
0-20000,776540,0.79,11_01_2018;C9_aMAZE Untouchable,8lender Games,0,Single-player;Steam Achievements,Casual;Indie;Puzzle;Casual;Indie,150,0
20000-50000,348540,7.19,2015-10-22;Divine Slice of Life,Dharker Studio,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Nudity;Indie;Visual Novel;Adventure;Casual;Indie,1,284
0-Z0000,712380,1.69,2017-09-26;Temple Escape,For Kids,0,Single-player;Steam Achievements;Steam Leaderboards,Indie;Casual;Casual;Indie,40,0
20000-5o0o0,347710,6.99,2015-04-28;Perils of Man,Fer4igo Gzmes,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie;Point & Click;Adventure;Indie,14,0
100000-200000,241620,6.99,2013-08-01;Inquisidor,"CINAMAX, s.r.o.",18,Single-player;Steam Trading Cards,RPG;Indie;Isometric;Violent;Gore;Indie;RPG,0,0
0-20000,771690,14.99,2019-02-28;Fimbul,Wild River Games,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Indie;Action;Adventure;Indie,13,0
50000-100000,320400,3.99,eX_2014-12-02;Magnifico,Slitherine Ltd.,0,Single-player;Steam Trading Cards,Strategy;Casual;Board Game;Casual;Strategy,0,6
100000-200000,12500,6.99,2008-01-29;PuzzleQuest: Challenge of the Warlords,"D3Publisher of America, Inc.",0,Single-player;Multi-player;Steam Cloud,Puzzle;Match 3;Casual;Casual,0,52
100000-200000,232970,7.99,2013-05-15;Thunder Wolves,HandyGames,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Leaderboards,Action;Indie;Casual;Action;Casual;Indie,20,0
0-20000,571500,0.0,2016-12-20;Hour_Magic,Wolf In Motion Ltd,0,Single-player,Early Access;Adventure;Simulation;Adventure;Simulation;Early Access,0,0
