appid,name,release_date,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,owners,price
738920,Sexy Serial Killer,2018-01-29,Disturbing Excitement,windows,0,Single-player;Steam Achievements,Nudity;Violent;Gore;Action;Adventure,Sexual Content;Nudity;Gore,4,37,36,0,0-20000,2.09
517990,City VR,2016-09-26,"Amber Garage, Inc.",windows,0,Single-player,Simulation;Early Access,Early Access;Simulation;VR,0,8,6,0,0-20000,10.99
387890,Radial Impact,2015-08-03,Devin Sherry,windows,0,Single-player,Casual;Indie,Indie;Casual,0,0,7,0,0-20000,0.79
600990,The Gardens Between,2018-09-19,The Voxel Agents,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Adventure;Indie,Indie;Adventure;Puzzle,17,252,17,0,0-20000,15.49
554280,Time Carnage VR,2018-04-10,Wales Interactive,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Violent;Action;Indie,Action;Indie;Violent,21,40,10,0,0-20000,14.99
635670,EMPORIUM,2017-05-17,Tom Kitchen,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Gore;Adventure;Casual;Indie,Casual;Indie;Adventure,5,79,32,0,0-20000,1.59
1019150,Apolune,2019-02-06,Lost Astronaut Studios,windows,0,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support,Action;Casual;Indie,Action;Indie;Casual,22,1,0,0,0-20000,5.19
246920,Bombernauts,2017-12-29,Eyebrow Interactive,windows;mac;linux,0,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Includes level editor,Action;Indie,Action;Indie;Multiplayer,9,113,10,0,20000-50000,6.99
790600,Stormbound,2018-05-15,Kongregate,windows;mac,0,Online Multi-Player;In-App Purchases,Free to Play;Strategy,Free to Play;Strategy;Card Game,17,263,127,54,50000-100000,0.0
880830,Cavesweeper,2018-07-04,Stylus Software,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Adventure;Casual;Indie;Strategy,Casual;Strategy;Indie,41,14,0,0,0-20000,1.99
527250,VilleTown,2016-09-23,Laugical Games,windows,0,Single-player;Steam Trading Cards,Indie;Simulation;Strategy,Strategy;Simulation;Indie,0,13,2,0,0-20000,3.99
528770,Twixel,2016-11-18,Self Published,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Action;Difficult,18,13,2,0,0-20000,1.69
981550,GACHIMUCHI M♂NLY PUZZLE,2018-12-13,M♂NLY,windows,0,Single-player;Steam Achievements,Casual;Indie;Simulation;Strategy,Nudity;Indie;Sexual Content,24,39,5,0,0-20000,0.9
896160,Evil Bank Manager,2018-12-07,Hamsters Gaming,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;Simulation;Strategy,Strategy;Simulation;Indie,57,493,139,0,20000-50000,9.29
759530,Struckd - 3D Game Creator,2018-02-02,Struckd AG,windows,0,Single-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Includes level editor,Action;Adventure;Casual;Racing;RPG;Early Access,Early Access;Free to Play;Action,0,132,79,0,50000-100000,0.0
873850,PASSAGE,2018-11-14,Magic Time Software,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Indie,Action;Adventure;Indie,10,1,3,0,0-20000,4.79
258590,Adventure Time: Finn and Jake's Epic Quest,2014-04-11,Cartoon Network Games,windows,0,Single-player;Steam Achievements;Full controller support,Action;Adventure,Adventure;Action;Cartoon,12,318,107,0,20000-50000,6.99
890920,Glitch,2018-07-18,Ekrcoaster,windows,0,Single-player,Adventure;Casual;Free to Play;Indie;Strategy,Free to Play;Horror;Indie,10,152,150,0,50000-100000,0.0
653770,The First Time I Died,2017-07-05,Ryan Stephen,windows,0,Single-player,Adventure;Indie;RPG,Adventure;Indie;RPG,0,2,0,0,0-20000,1.59
550650,Black Squad,2017-07-28,NS STUDIO,windows,0,Multi-player;Steam Achievements;Steam Trading Cards;In-App Purchases,Action;Free to Play;Early Access,Early Access;Free to Play;FPS,36,33695,11081,1835,5000000-10000000,0.0
464340,Syberia 3,2017-11-13,Microids,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure,Adventure;Puzzle;Story Rich,40,800,822,1302,100000-200000,23.79
329630,Command HQ,2014-11-06,Retroism;Nightdive Studios,windows;mac;linux,0,Single-player,Strategy,Strategy;Retro;1990's,0,32,1,0,20000-50000,4.99
386390,Dad Beat Dads,2015-10-19,Stellar Jay Studios,windows;mac,0,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards,Action,Action;Local Multiplayer;Indie,25,6,0,0,0-20000,4.79
303290,OZMAFIA!!,2016-04-29,MangaGamer,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure,Otome;Visual Novel;Female Protagonist,0,295,40,0,0-20000,26.99
443940,Unknown Battle,2016-03-14,RenPen,windows,0,Single-player;Steam Trading Cards,Action;Adventure;Indie,Indie;Action;Adventure,0,186,429,326,200000-500000,2.79
895650,Save The Cookie,2018-10-30,Chota Games Studio,windows,0,Single-player;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,0,6,1,0,0-20000,0.79
921060,Modern Combat 5,2018-10-24,Gameloft,windows,0,Single-player;Online Multi-Player;In-App Purchases,Action;Free to Play;Massively Multiplayer,Free to Play;Massively Multiplayer;FPS,54,589,774,129,200000-500000,0.0
290300,Rebel Galaxy,2015-10-20,Double Damage Games,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Indie;RPG;Simulation,Space;Sci-fi;Open World,37,5100,881,618,500000-1000000,14.99
507030,Bicyclism EP,2016-11-14,Acid Cat,windows;mac;linux,0,Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Action;Indie;Racing;Simulation;Sports,Racing;Sports;Action,13,13,6,11,0-20000,5.79
12770,Rise of the Argonauts,2009-01-07,Codemasters,windows,0,Single-player;Full controller support,RPG,RPG;Action;Adventure,0,365,178,88,200000-500000,4.99
294810,BlazBlue: Continuum Shift Extend,2014-12-11,"H2 Interactive Co., Ltd.",windows,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,Fighting;Anime;2D Fighter,50,998,88,167,100000-200000,14.99
591470,Dark Realm: Queen of Flames Collector's Edition,2017-02-21,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,1,0,0,0-20000,6.99
837530,Dark Ghost RPG,2018-04-17,Ghost_RUS Games,windows,0,Single-player;Steam Achievements;Partial Controller Support,Nudity;Violent;Gore;Action;Adventure;Indie;RPG;Simulation,Action;Adventure;RPG,3,4,7,0,0-20000,4.79
348980,INIT.,2015-08-19,Narrow Monolith,windows,0,Single-player;Co-op;Shared/Split Screen;Steam Trading Cards;Partial Controller Support;Steam Cloud;Commentary available,Action;Adventure;Casual;Indie;Strategy,Indie;Action;Casual,0,3,13,0,0-20000,1.59
740320,Djilyaro,2017-11-24,HoneyBeeSoftware,windows,0,Single-player;Steam Achievements,Indie,Indie;Psychedelic,0,6,6,0,0-20000,0.79
463530,Empires of the Undergrowth,2017-12-01,Slug Disco Studios,windows;mac;linux,0,Single-player,Indie;Simulation;Strategy;Early Access,Early Access;Strategy;Simulation,0,1117,107,863,50000-100000,15.99
676480,Jettomero: Hero of the Universe,2017-09-15,Ghost Time Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud;Stats,Indie,Indie;Robots,15,69,13,0,0-20000,9.99
965450,OnSpace,2018-10-31,stariy8419,windows,0,Single-player,Action;Casual;Indie,Action;Indie;Casual,0,4,2,0,0-20000,0.79
456920,Gary the Gull,2016-11-22,Limitless Ltd,windows,0,Single-player,Adventure,Adventure;VR,0,13,17,0,0-20000,0.0
848350,Katamari Damacy REROLL,2018-12-06,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Casual,Casual;Action;Great Soundtrack,21,559,58,105,20000-50000,15.99
494090,Dungeon Girl,2018-07-30,Fruitbat Factory,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual,Casual;Anime;Puzzle,29,15,13,0,0-20000,8.99
259640,Guise Of The Wolf,2014-01-24,FUN Creators,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie,Indie;Werewolves;Adventure,20,66,133,0,0-20000,1.99
724120,Rise:30 Minutes to Extinction,2018-09-18,Antarctic Games,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,4,7,0,0,0-20000,7.19
978790,Frantic Dimension,2018-12-28,PsychoFlux Entertainment,windows,0,Single-player;Partial Controller Support;Steam Leaderboards,Action;Free to Play;Indie,Free to Play;Action;Indie,0,18,1,0,0-20000,0.0
974010,Zero spring episode 2,2018-11-29,NS,windows,0,Single-player,Adventure;Indie;RPG,Adventure;RPG;Indie,0,1,1,0,0-20000,0.0
427860,The Next World,2016-03-07,AAD Productions,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Indie,Adventure;Casual;Indie,37,62,25,0,20000-50000,9.99
702320,March of Empires,2017-12-11,Gameloft,windows,0,Online Multi-Player;Steam Achievements;In-App Purchases,Free to Play;Massively Multiplayer;RPG;Strategy,Free to Play;Strategy;RPG,87,163,135,3,50000-100000,0.0
370140,Nebulous,2016-08-29,Namazu Studios,windows;mac,0,Single-player;Full controller support;VR Support;Steam Cloud,Casual;Indie,Indie;Casual,11,3,3,0,0-20000,10.99
769590,Play Cube with Uncle Billy,2018-02-23,bones,windows,0,Single-player,Nudity;Casual;Indie;Strategy,Casual;Nudity;Indie,0,9,5,0,0-20000,0.79
644640,Band of Defenders,2018-04-05,Alda Games,windows,0,Single-player;Online Co-op;Steam Achievements;Steam Trading Cards,Violent;Gore;Action,Action;Gore;Violent,45,163,139,0,50000-100000,10.99
811520,Infinite Fall,2018-12-20,Dexion Games,windows,0,Single-player,Casual;Indie;Strategy,Strategy;Indie;Casual,0,10,7,0,0-20000,0.79
449000,Steno Arcade,2016-03-30,For All To Play,windows;mac;linux,0,Single-player;Captions available,Casual;Free to Play;Indie;Early Access,Early Access;Free to Play;Indie,0,126,42,1,50000-100000,0.0
532120,Header Goal VR: Being Axel Rix,2017-08-16,Codemodeon,windows,0,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Action;Indie;Simulation;Sports,Action;Indie;Simulation,25,15,2,0,0-20000,3.99
996550,"持猫少女凯蒂/Kaidi, armed with a cat",2019-01-13,49肆酒,windows,0,Single-player;Steam Achievements,Adventure;Casual;Indie,Indie;Casual;Adventure,23,18,0,0,0-20000,0.79
862390,FlyInside Flight Simulator,2018-12-20,FlyInside Inc.,windows,0,Single-player;Steam Achievements;Partial Controller Support;Stats,Indie;Simulation;Early Access,Early Access;Indie;Simulation,10,48,14,0,0-20000,27.79
7660,X-COM: Apocalypse,2008-09-04,2K,windows,0,Single-player,Strategy,Strategy;Turn-Based;Tactical,0,417,53,18,500000-1000000,2.99
494040,PuppetsVR,2017-09-27,Expo Virtualis,windows,0,Single-player;Online Multi-Player,Casual;Indie;Simulation;Early Access,Early Access;Indie;Casual,0,5,1,0,0-20000,3.99
856190,Metori,2019-04-03,Enemby Games,windows;mac;linux,0,Single-player,Action;Indie;Strategy,Action;Strategy;Indie,0,1,0,0,0-20000,3.99
513720,Archipelago,2016-08-17,Dima Kiva,windows;linux,0,Single-player,Strategy,Strategy;Pirates,0,28,15,0,0-20000,0.79
429480,Vision Runner,2016-10-19,Snowbit Interactive,windows,0,Single-player;Steam Achievements;Includes level editor,Indie;Early Access,Early Access;Indie;Parkour,5,3,3,0,0-20000,7.19
1004570,blocks,2019-01-25,BlueRichter,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Casual;Indie;Strategy,Indie;Casual;Strategy,38,0,1,0,0-20000,3.99
514500,Atomic Society,2018-10-15,Far Road Games,windows,0,Single-player,Simulation;Strategy;Early Access,Early Access;Strategy;Simulation,0,185,62,0,0-20000,11.99
679780,Lemuria: Lost in Space - VR Edition,2017-08-04,EJRGames,windows,0,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,Action;Adventure;Indie;RPG,Action;Adventure;RPG,21,0,4,0,0-20000,10.99
916050,Clocker 铸时匠,2019-02-14,indienova,windows;mac,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Adventure;Indie;RPG,Indie;Adventure;RPG,13,100,5,0,0-20000,9.29
723790,The Pirate: Plague of the Dead,2017-10-13,Home Net Games,windows;mac;linux,0,Single-player;In-App Purchases;Steam Cloud,Action;Adventure;Free to Play;Indie;Simulation;Strategy,Free to Play;Action;Pirates,0,225,89,11,100000-200000,0.0
359340,Pixel Puzzles Mosaics,2017-06-09,DL Softworks,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie;Simulation;Sports;Strategy,Casual;Indie;Strategy,34,18,3,0,0-20000,6.99
463320,The Sea Eternal,2016-04-22,Choice of Games,windows;mac;linux,0,Single-player;Steam Achievements;Captions available;Steam Cloud,Adventure;Indie;RPG,Indie;Adventure;RPG,34,10,14,0,0-20000,2.89
307340,Platypus,2014-08-15,KISS ltd,windows,0,Single-player;Shared/Split Screen;Steam Trading Cards,Action,Action;Shoot 'Em Up;Local Co-Op,0,280,28,260,50000-100000,4.99
219780,Divinity II: Developer's Cut,2012-10-29,Larian Studios;Focus Home Interactive,windows,0,Single-player,RPG,RPG;Fantasy;Open World,0,2001,441,2511,500000-1000000,14.99
541160,MC Lars: The Video Game,2016-10-14,"Synersteel Studio, LLC",windows;mac,0,Single-player;Steam Achievements;Partial Controller Support,Action;Indie,Action;Indie,20,10,2,0,0-20000,3.99
739050,Deck Casters,2018-01-10,Rock Nano Global,windows,0,Single-player;Online Multi-Player;Steam Achievements;Steam Cloud,Indie;Strategy,Indie;Strategy;Card Game,12,109,8,0,0-20000,12.39
914290,Welcome to Princeland,2018-11-09,Eren Aydin,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Adventure;Casual,Action;Casual;Gore,56,73,11,0,0-20000,3.99
500440,Take the Cake,2017-11-28,Ebenit,windows;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie,Action;Adventure;Indie,6,7,3,0,0-20000,3.99
495580,Divided We Fall: Play For Free,2017-10-02,KAVA Game Studio,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Workshop;Includes level editor,Action;Free to Play;Indie;Strategy,Strategy;Action;Indie,11,89,76,0,0-20000,0.0
259320,Heli Heroes,2013-11-01,Topware Interactive,windows,0,Single-player;Shared/Split Screen;Steam Trading Cards;Steam Cloud,Action;Casual,Action;Casual;Shoot 'Em Up,0,146,174,282,200000-500000,3.99
454180,CrazyCars3D,2016-06-14,Anea_Duo_Dev,windows;mac;linux,0,Single-player;Multi-player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Adventure;Casual;Indie;Racing;Simulation,Simulation;Racing;Action,9,134,69,243,50000-100000,1.99
574070,Space Wars: Interstellar Empires,2017-12-08,ToHeroes Game Studios LLC,windows;mac,0,Online Multi-Player;MMO;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to Play;Massively Multiplayer;Strategy;Early Access,Early Access;Free to Play;Massively Multiplayer,51,116,61,0,50000-100000,0.0
1043020,Dust On Wheels,2019-03-19,SelenaJ,windows,0,Single-player,Action;Racing,Racing;Action,0,0,1,0,0-20000,1.69
588230,Beckett,2018-02-27,The Secret Experiment,windows;mac,0,Single-player;Steam Achievements,Adventure;Indie,Indie;Adventure;Nudity,18,40,0,0,0-20000,7.19
271550,Tribloos 2,2014-01-30,BumpkinBrothers,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Strategy,Casual;Indie;Strategy,22,219,46,243,100000-200000,3.99
894900,Speedy Girls - Dream Team,2018-09-27,Night Dreams Studio,windows;mac,0,Single-player;Steam Achievements,Indie,Sexual Content;Nudity;Indie,15,6,17,0,0-20000,3.99
956000,Su Hack,2018-11-02,EL TECH,windows;linux,0,Multi-player;Online Multi-Player;Steam Achievements;Steam Leaderboards,Indie;Massively Multiplayer;Simulation;Strategy;Early Access,Early Access;Strategy;Indie,9,3,1,0,0-20000,3.99
