appid,name,release_date,english,developer,publisher,platforms,required_age,categories,steamspy_tags,negative_ratings,median_playtime,owners,price
556070,Turret Architect,2016-11-28,1,Red Matter Studio,Red Matter Studio,windows,0,Single-player;Steam Trading Cards,Early Access;Casual;Simulation,24,258,0-20000,0.79
929860,Game Builder,2018-11-01,1,Area 120,Area 120,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Workshop;Includes level editor,Early Access;Free to Play;Indie,20,3,50000-100000,0.0
632830,Aztec Venture,2017-06-01,1,rokaplay,rokaplay,windows,0,Single-player,Casual;Match 3,1,0,0-20000,6.19
672000,System Goose Overload,2017-08-04,1,Joseph Calabro,Joseph Calabro,windows,0,Single-player;Partial Controller Support,Adventure;RPG;Indie,3,0,0-20000,0.0
466110,Shaolin vs Wutang,2018-07-26,1,Jae Lee,Digital Tribe,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Leaderboards,Indie;Casual;Action,38,0,0-20000,10.99
1043510,Hotdog Man,2019-03-20,1,Hot Game,Hot Game,windows,0,Single-player;Steam Achievements,Indie;Casual;Nudity,0,0,0-20000,0.79
340520,Tallowmere,2015-03-03,1,Chris McFarland,Chris McFarland,windows;mac;linux,12,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;Violent,42,487,20000-50000,2.89
409610,One Final Chaos,2015-10-21,1,Pusselbit;Sweet Studio Labs,A Sweet Studio,windows,0,Single-player;Cross-Platform Multiplayer;Partial Controller Support,Action;Indie;Runner,0,0,0-20000,3.99
850230,Women's Soccer Manager,2018-07-16,1,Trophy Games ApS,Trophy Games ApS,windows,0,Online Multi-Player;In-App Purchases,Free to Play;Sports;Strategy,15,0,20000-50000,0.0
274940,Depth,2014-11-03,1,Digital Confectioners,Digital Confectioners,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes level editor,Action;Multiplayer;Gore,3472,486,1000000-2000000,14.99
568910,Ambition of the Slimes,2018-02-15,1,altairworks,Flyhigh Works;CIRCLE Entertainment,windows,0,Single-player;Steam Achievements;Full controller support,Indie;Strategy;RPG,1,0,0-20000,3.99
842310,Zimbo,2018-05-04,1,RS Games,RS Games,windows,0,Single-player;Steam Achievements,Action;Indie;Adventure,72,0,0-20000,0.79
283180,The Samaritan Paradox,2014-04-18,1,Faravid Interactive,Screen 7,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie;Point & Click,34,0,20000-50000,4.99
817370,Marching Simulator,2018-07-29,1,Marching Simulator,Marching Simulator,windows,0,Single-player,Early Access;Free to Play;Simulation,8,0,0-20000,0.0
289620,Collapse,2014-04-11,1,Creoteam,Buka Entertainment,windows,0,Single-player;Full controller support;Steam Trading Cards,Action;Adventure;Hack and Slash,132,114,50000-100000,14.99
374240,Eternal Step,2015-10-16,1,Once More With Gusto,Green Man Gaming Publishing,windows;mac;linux,0,Single-player;Full controller support;Steam Trading Cards;Steam Cloud,Indie;RPG;Action,12,0,0-20000,6.99
584990,The Long Reach,2018-03-14,1,Painted Black Games,Merge Games,windows;mac;linux,0,Single-player;Full controller support,Action;Adventure;Indie,18,0,0-20000,12.99
860090,Erotic Jigsaw Challenge Vol. 1,2018-06-02,1,BarelyEntertainment,BarelyEntertainment,windows,0,Single-player;Steam Achievements,Nudity;Sexual Content;Indie,4,0,0-20000,0.79
636100,Tesla vs Lovecraft,2018-01-26,1,10tons Ltd,10tons Ltd,windows;mac;linux,0,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;Local Co-Op,52,131,20000-50000,10.99
543740,Medieval Story,2017-08-04,1,OddGames,OddGames,windows,0,Single-player;Steam Achievements,Adventure;Indie;Action,2,0,0-20000,9.99
525860,Garden Wars,2016-11-09,1,Morepork Games,Morepork Games,windows,0,Single-player;Multi-player;Steam Achievements,Strategy;Indie;Casual,0,0,0-20000,3.99
806180,Beyond The Heavens,2018-07-02,1,Zane Games,Zane Games,windows,0,Single-player;Partial Controller Support;Steam Cloud,Action;Indie;Space,1,0,0-20000,2.09
751740,Roller Coaster Egypt VR,2018-03-21,1,NetDinamica,NetDinamica,windows,0,Single-player,Action;Adventure;Indie,3,0,0-20000,1.69
476460,Picross Touch,2016-08-24,1,Jon Gallant,jgallant,windows;mac;linux,0,Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Casual;Indie;Free to Play,54,4420,50000-100000,0.0
385380,Planet Centauri,2016-06-03,1,Permadeath,Permadeath,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Trading Cards,Early Access;Sandbox;2D,213,947,50000-100000,11.99
1022010,Oliver's Adventures in the Fairyland,2019-02-18,1,LuchinVladimir,IndieMax,windows,0,Single-player;Steam Achievements,Indie;Adventure;Action,2,0,0-20000,3.99
813590,Solas and the White Winter,2018-04-13,1,Savepoint Studios,Savepoint Studios,windows,0,Single-player;Steam Achievements;Full controller support,Indie;Adventure,7,0,0-20000,7.19
397160,Aurora Dusk: Steam Age,2019-03-08,1,Sylvain Harlaut,Sylvain Harlaut,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards,Strategy;Indie;RPG,29,244,20000-50000,6.99
738920,Sexy Serial Killer,2018-01-29,1,Disturbing Excitement,Disturbing Excitement,windows,0,Single-player;Steam Achievements,Sexual Content;Nudity;Gore,36,0,0-20000,2.09
517990,City VR,2016-09-26,1,"Amber Garage, Inc.","Amber Garage, Inc.",windows,0,Single-player,Early Access;Simulation;VR,6,0,0-20000,10.99
387890,Radial Impact,2015-08-03,1,Devin Sherry,Devin Sherry,windows,0,Single-player,Indie;Casual,7,0,0-20000,0.79
600990,The Gardens Between,2018-09-19,1,The Voxel Agents,The Voxel Agents,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Indie;Adventure;Puzzle,17,0,0-20000,15.49
554280,Time Carnage VR,2018-04-10,1,Wales Interactive,Wales Interactive,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Indie;Violent,10,0,0-20000,14.99
635670,EMPORIUM,2017-05-17,1,Tom Kitchen,Tom Kitchen,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Casual;Indie;Adventure,32,0,0-20000,1.59
1019150,Apolune,2019-02-06,1,Lost Astronaut Studios,Lost Astronaut Studios,windows,0,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support,Action;Indie;Casual,0,0,0-20000,5.19
246920,Bombernauts,2017-12-29,1,Eyebrow Interactive,Eyebrow Interactive,windows;mac;linux,0,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Includes level editor,Action;Indie;Multiplayer,10,0,20000-50000,6.99
790600,Stormbound,2018-05-15,1,Paladin Studios,Kongregate,windows;mac,0,Online Multi-Player;In-App Purchases,Free to Play;Strategy;Card Game,127,54,50000-100000,0.0
880830,Cavesweeper,2018-07-04,1,Stylus Software,Stylus Software,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Casual;Strategy;Indie,0,0,0-20000,1.99
527250,VilleTown,2016-09-23,1,Laugical Games,Laugical Games,windows,0,Single-player;Steam Trading Cards,Strategy;Simulation;Indie,2,0,0-20000,3.99
528770,Twixel,2016-11-18,1,Caesoose Studios,Self Published,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Difficult,2,0,0-20000,1.69
981550,GACHIMUCHI M♂NLY PUZZLE,2018-12-13,1,M♂NLY,M♂NLY,windows,0,Single-player;Steam Achievements,Nudity;Indie;Sexual Content,5,0,0-20000,0.9
896160,Evil Bank Manager,2018-12-07,1,Hamsters Gaming,Hamsters Gaming,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Strategy;Simulation;Indie,139,0,20000-50000,9.29
759530,Struckd - 3D Game Creator,2018-02-02,1,Struckd AG,Struckd AG,windows,0,Single-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Includes level editor,Early Access;Free to Play;Action,79,0,50000-100000,0.0
873850,PASSAGE,2018-11-14,1,Magic Time Software,Magic Time Software,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Indie,3,0,0-20000,4.79
258590,Adventure Time: Finn and Jake's Epic Quest,2014-04-11,1,NGD Studios,Cartoon Network Games,windows,0,Single-player;Steam Achievements;Full controller support,Adventure;Action;Cartoon,107,0,20000-50000,6.99
890920,Glitch,2018-07-18,1,Ekrcoaster,Ekrcoaster,windows,0,Single-player,Free to Play;Horror;Indie,150,0,50000-100000,0.0
653770,The First Time I Died,2017-07-05,1,Ryan Stephen,Ryan Stephen,windows,0,Single-player,Adventure;Indie;RPG,0,0,0-20000,1.59
550650,Black Squad,2017-07-28,1,NS STUDIO,NS STUDIO,windows,0,Multi-player;Steam Achievements;Steam Trading Cards;In-App Purchases,Early Access;Free to Play;FPS,11081,42,5000000-10000000,0.0
464340,Syberia 3,2017-11-13,1,Microids,Microids,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Puzzle;Story Rich,822,1523,100000-200000,23.79
329630,Command HQ,2014-11-06,1,Ozark Softscape,Retroism;Nightdive Studios,windows;mac;linux,0,Single-player,Strategy;Retro;1990's,1,0,20000-50000,4.99
386390,Dad Beat Dads,2015-10-19,1,Stellar Jay Studios,Stellar Jay Studios,windows;mac,0,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards,Action;Local Multiplayer;Indie,0,0,0-20000,4.79
303290,OZMAFIA!!,2016-04-29,1,Poni-Pachet SY,MangaGamer,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Otome;Visual Novel;Female Protagonist,40,0,0-20000,26.99
443940,Unknown Battle,2016-03-14,1,Nikolai Patrakov,RenPen,windows,0,Single-player;Steam Trading Cards,Indie;Action;Adventure,429,376,200000-500000,2.79
895650,Save The Cookie,2018-10-30,1,Chota Games Studio,Chota Games Studio,windows,0,Single-player;Steam Leaderboards,Action;Indie;Casual,1,0,0-20000,0.79
921060,Modern Combat 5,2018-10-24,1,Gameloft,Gameloft,windows,0,Single-player;Online Multi-Player;In-App Purchases,Free to Play;Massively Multiplayer;FPS,774,69,200000-500000,0.0
290300,Rebel Galaxy,2015-10-20,1,Double Damage Games,Double Damage Games,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Space;Sci-fi;Open World,881,912,500000-1000000,14.99
507030,Bicyclism EP,2016-11-14,1,Acid Cat,Acid Cat,windows;mac;linux,0,Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Racing;Sports;Action,6,11,0-20000,5.79
12770,Rise of the Argonauts,2009-01-07,1,Liquid Entertainment,Codemasters,windows,0,Single-player;Full controller support,RPG;Action;Adventure,178,147,200000-500000,4.99
294810,BlazBlue: Continuum Shift Extend,2014-12-11,1,Arc System Works,"H2 Interactive Co., Ltd.",windows,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Fighting;Anime;2D Fighter,88,167,100000-200000,14.99
591470,Dark Realm: Queen of Flames Collector's Edition,2017-02-21,1,Mad Head Games,Big Fish Games,windows,0,Single-player,Adventure;Casual;Hidden Object,0,0,0-20000,6.99
837530,Dark Ghost RPG,2018-04-17,1,"Nikita ""Ghost_RUS""",Ghost_RUS Games,windows,0,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure;RPG,7,0,0-20000,4.79
348980,INIT.,2015-08-19,1,Narrow Monolith,Narrow Monolith,windows,0,Single-player;Co-op;Shared/Split Screen;Steam Trading Cards;Partial Controller Support;Steam Cloud;Commentary available,Indie;Action;Casual,13,0,0-20000,1.59
740320,Djilyaro,2017-11-24,1,HoneyBeeSoftware,HoneyBeeSoftware,windows,0,Single-player;Steam Achievements,Indie;Psychedelic,6,0,0-20000,0.79
463530,Empires of the Undergrowth,2017-12-01,1,Slug Disco Studios,Slug Disco Studios,windows;mac;linux,0,Single-player,Early Access;Strategy;Simulation,107,863,50000-100000,15.99
676480,Jettomero: Hero of the Universe,2017-09-15,1,Ghost Time Games,Ghost Time Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud;Stats,Indie;Robots,13,0,0-20000,9.99
965450,OnSpace,2018-10-31,1,stariy8419,stariy8419,windows,0,Single-player,Action;Indie;Casual,2,0,0-20000,0.79
456920,Gary the Gull,2016-11-22,1,Motional Entertainment;Limitless Ltd,Limitless Ltd,windows,0,Single-player,Adventure;VR,17,0,0-20000,0.0
848350,Katamari Damacy REROLL,2018-12-06,1,MONKEYCRAFT Co. Ltd.,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Casual;Action;Great Soundtrack,58,105,20000-50000,15.99
494090,Dungeon Girl,2018-07-30,1,Inu to Neko,Fruitbat Factory,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Anime;Puzzle,13,0,0-20000,8.99
259640,Guise Of The Wolf,2014-01-24,1,FUN Creators,FUN Creators,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Indie;Werewolves;Adventure,133,0,0-20000,1.99
724120,Rise:30 Minutes to Extinction,2018-09-18,1,Antarctic Games,Antarctic Games,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action;Indie;Casual,0,0,0-20000,7.19
978790,Frantic Dimension,2018-12-28,1,Hijong Park,PsychoFlux Entertainment,windows,0,Single-player;Partial Controller Support;Steam Leaderboards,Free to Play;Action;Indie,1,0,0-20000,0.0
974010,Zero spring episode 2,2018-11-29,1,Sonic-Alpha,NS,windows,0,Single-player,Adventure;RPG;Indie,1,0,0-20000,0.0
427860,The Next World,2016-03-07,1,Illuminated Games,AAD Productions,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Indie,25,0,20000-50000,9.99
702320,March of Empires,2017-12-11,1,Gameloft,Gameloft,windows,0,Online Multi-Player;Steam Achievements;In-App Purchases,Free to Play;Strategy;RPG,135,3,50000-100000,0.0
370140,Nebulous,2016-08-29,1,Namazu Studios,Namazu Studios,windows;mac,0,Single-player;Full controller support;VR Support;Steam Cloud,Indie;Casual,3,0,0-20000,10.99
769590,Play Cube with Uncle Billy,2018-02-23,1,bones;Uwen Peng,bones,windows,0,Single-player,Casual;Nudity;Indie,5,0,0-20000,0.79
644640,Band of Defenders,2018-04-05,1,Alda Games,Alda Games,windows,0,Single-player;Online Co-op;Steam Achievements;Steam Trading Cards,Action;Gore;Violent,139,0,50000-100000,10.99
811520,Infinite Fall,2018-12-20,1,Dexion Games,Dexion Games,windows,0,Single-player,Strategy;Indie;Casual,7,0,0-20000,0.79
449000,Steno Arcade,2016-03-30,1,For All To Play,For All To Play,windows;mac;linux,0,Single-player;Captions available,Early Access;Free to Play;Indie,42,1,50000-100000,0.0
532120,Header Goal VR: Being Axel Rix,2017-08-16,1,Codemodeon,Codemodeon,windows,0,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Action;Indie;Simulation,2,0,0-20000,3.99
996550,"持猫少女凯蒂/Kaidi, armed with a cat",2019-01-13,1,49肆酒,49肆酒,windows,0,Single-player;Steam Achievements,Indie;Casual;Adventure,0,0,0-20000,0.79
862390,FlyInside Flight Simulator,2018-12-20,1,FlyInside Inc.,FlyInside Inc.,windows,0,Single-player;Steam Achievements;Partial Controller Support;Stats,Early Access;Indie;Simulation,14,0,0-20000,27.79
7660,X-COM: Apocalypse,2008-09-04,1,"MicroProse Software, Inc",2K,windows,0,Single-player,Strategy;Turn-Based;Tactical,53,18,500000-1000000,2.99
494040,PuppetsVR,2017-09-27,1,Expo Virtualis,Expo Virtualis,windows,0,Single-player;Online Multi-Player,Early Access;Indie;Casual,1,0,0-20000,3.99
856190,Metori,2019-04-03,1,Enemby Games,Enemby Games,windows;mac;linux,0,Single-player,Action;Strategy;Indie,0,0,0-20000,3.99
513720,Archipelago,2016-08-17,1,Dima Kiva,Dima Kiva,windows;linux,0,Single-player,Strategy;Pirates,15,0,0-20000,0.79
429480,Vision Runner,2016-10-19,1,Snowbit Interactive,Snowbit Interactive,windows,0,Single-player;Steam Achievements;Includes level editor,Early Access;Indie;Parkour,3,0,0-20000,7.19
1004570,blocks,2019-01-25,1,BlueRichter,BlueRichter,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Indie;Casual;Strategy,1,0,0-20000,3.99
514500,Atomic Society,2018-10-15,1,Far Road Games,Far Road Games,windows,0,Single-player,Early Access;Strategy;Simulation,62,0,0-20000,11.99
679780,Lemuria: Lost in Space - VR Edition,2017-08-04,1,EJRGames,EJRGames,windows,0,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,Action;Adventure;RPG,4,0,0-20000,10.99
916050,Clocker 铸时匠,2019-02-14,1,Wild Kid Games,indienova,windows;mac,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Indie;Adventure;RPG,5,0,0-20000,9.29
723790,The Pirate: Plague of the Dead,2017-10-13,1,Home Net Games,Home Net Games,windows;mac;linux,0,Single-player;In-App Purchases;Steam Cloud,Free to Play;Action;Pirates,89,11,100000-200000,0.0
359340,Pixel Puzzles Mosaics,2017-06-09,1,DL Softworks,DL Softworks,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie;Strategy,3,0,0-20000,6.99
463320,The Sea Eternal,2016-04-22,1,Choice of Games,Choice of Games,windows;mac;linux,0,Single-player;Steam Achievements;Captions available;Steam Cloud,Indie;Adventure;RPG,14,0,0-20000,2.89
307340,Platypus,2014-08-15,1,Idigicon,KISS ltd,windows,0,Single-player;Shared/Split Screen;Steam Trading Cards,Action;Shoot 'Em Up;Local Co-Op,28,267,50000-100000,4.99
219780,Divinity II: Developer's Cut,2012-10-29,1,Larian Studios,Larian Studios;Focus Home Interactive,windows,0,Single-player,RPG;Fantasy;Open World,441,70,500000-1000000,14.99
541160,MC Lars: The Video Game,2016-10-14,1,"Synersteel Studio, LLC","Synersteel Studio, LLC",windows;mac,0,Single-player;Steam Achievements;Partial Controller Support,Action;Indie,2,0,0-20000,3.99
739050,Deck Casters,2018-01-10,1,Rock Nano Global,Rock Nano Global,windows,0,Single-player;Online Multi-Player;Steam Achievements;Steam Cloud,Indie;Strategy;Card Game,8,0,0-20000,12.39
914290,Welcome to Princeland,2018-11-09,1,Eren Aydin;Serhat Yucekaya,Eren Aydin,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Casual;Gore,11,0,0-20000,3.99
500440,Take the Cake,2017-11-28,1,Ebenit,Ebenit,windows;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie,3,0,0-20000,3.99
495580,Divided We Fall: Play For Free,2017-10-02,1,KAVA Game Studio,KAVA Game Studio,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Workshop;Includes level editor,Strategy;Action;Indie,76,0,0-20000,0.0
259320,Heli Heroes,2013-11-01,1,Reality Pump,Topware Interactive,windows,0,Single-player;Shared/Split Screen;Steam Trading Cards;Steam Cloud,Action;Casual;Shoot 'Em Up,174,273,200000-500000,3.99
454180,CrazyCars3D,2016-06-14,1,Anea_Duo_Dev,Anea_Duo_Dev,windows;mac;linux,0,Single-player;Multi-player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Simulation;Racing;Action,69,241,50000-100000,1.99
574070,Space Wars: Interstellar Empires,2017-12-08,1,Desert Owl Games LLC,ToHeroes Game Studios LLC,windows;mac,0,Online Multi-Player;MMO;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases,Early Access;Free to Play;Massively Multiplayer,61,0,50000-100000,0.0
1043020,Dust On Wheels,2019-03-19,1,SelenaJ,SelenaJ,windows,0,Single-player,Racing;Action,1,0,0-20000,1.69
588230,Beckett,2018-02-27,1,The Secret Experiment,The Secret Experiment,windows;mac,0,Single-player;Steam Achievements,Indie;Adventure;Nudity,0,0,0-20000,7.19
271550,Tribloos 2,2014-01-30,1,BumpkinBrothers,BumpkinBrothers,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Strategy,46,275,100000-200000,3.99
894900,Speedy Girls - Dream Team,2018-09-27,1,Night Dreams Studio,Night Dreams Studio,windows;mac,0,Single-player;Steam Achievements,Sexual Content;Nudity;Indie,17,0,0-20000,3.99
956000,Su Hack,2018-11-02,1,Eric L.,EL TECH,windows;linux,0,Multi-player;Online Multi-Player;Steam Achievements;Steam Leaderboards,Early Access;Strategy;Indie,1,0,0-20000,3.99
338080,A列車で行こう8,2015-01-08,0,ARTDINK,Degica,windows,0,Single-player,Simulation,2,0,0-20000,29.99
776540,aMAZE Untouchable,2018-01-11,1,Blender Games,Blender Games,windows,0,Single-player;Steam Achievements,Casual;Indie;Puzzle,5,0,0-20000,0.79
348540,Divine Slice of Life,2015-10-22,1,NickySwan,Dharker Studio,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Nudity;Indie;Visual Novel,79,284,20000-50000,7.19
712380,Temple Escape,2017-09-26,1,For Kids,For Kids,windows;mac;linux,0,Single-player;Steam Achievements;Steam Leaderboards,Indie;Casual,6,0,0-20000,1.69
347710,Perils of Man,2015-04-28,1,IF Games;Vertigo Games,Vertigo Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie;Point & Click,31,0,20000-50000,6.99
241620,Inquisitor,2013-08-01,1,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",windows,18,Single-player;Steam Trading Cards,RPG;Indie;Isometric,164,0,100000-200000,6.99
771690,Fimbul,2019-02-28,1,Zaxis,Wild River Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Indie,7,0,0-20000,14.99
320400,Magnifico,2014-12-02,1,Mixel,Slitherine Ltd.,windows,0,Single-player;Steam Trading Cards,Strategy;Casual;Board Game,47,6,50000-100000,3.99
12500,PuzzleQuest: Challenge of the Warlords,2008-01-29,1,Infinite Interactive,"D3Publisher of America, Inc.",windows,0,Single-player;Multi-player;Steam Cloud,Puzzle;Match 3;Casual,80,52,100000-200000,6.99
