owners,appid,english,developer,publisher;platforms,required_age,steamspy_tags,achievements;positive_ratings,negative_ratings,average_playtime
20000-50000,683830,2,SPECTRUM GAMES,Droid Riot;windows,-1,Action;Indie;Casual,0;35476,9,205
0-20000,699790,1,Jérémy Pionnier,Gate Zero;windows,0,Action;VR,0;52116,1,0
0-20000,656740,2,Bourbontank,Bourbontank;windows,0,Action;Indie;RPG,1561;28,1,2473
0-20000,556070,1,Red Matter Studio,Red Matter Studio;windows,0,Early Access;Casual;Simulation,0;25,24,254
50000-100000,929860,0,Area 120,Area 120;windows;mac,0,Early Access;Free to Play;Indie,1528;39938,20,3
0-20000,632830,2,rokaplay,rokaplay;windows,0,Casual;Match 3,0;7,1,0
0-20000,672000,1,Joseph Calabro,Joseph Calabro;windows,0,Adventure;RPG;Indie,1332;40,3,0
0-20000,466110,2,Jae Lee,Digital Tribe;windows,-3,Indie;Casual;Action,12;573,38,0
0-20000,1043510,1,Hot Game,Hot Game;windows,0,Indie;Casual;Nudity,14;2,0,0
20000-50000,340520,2,Chris McFarland,Chris McFarland;windows;mac;linux,12,Action;Indie;Violent,28;581,42,420
0-20000,409610,1,Pusselbit;Sweet Studio Labs,A Sweet Studio;windows,0,Action;Indie;Runner,8;9,0,0
20000-50000,850230,2,Trophy Games ApS,Trophy Games ApS;windows,0,Free to Play;Sports;Strategy,0;43,15,10223
1000000-2000000,274940,1,Digital Confectioners,Digital Confectioners;windows,0,Action;Multiplayer;Gore,40;22385,3472,791
0-20000,568910,0,altairworks,Flyhigh Works;CIRCLE Entertainment;windows,0,Indie;Strategy;RPG,1554;12,1,0
0-20000,842310,1,RS Games,RS Games;windows,0,Action;Indie;Adventure,5;46,72,0
20000-50000,283180,0,Faravid Interactive,Screen 7;windows,0,Adventure;Indie;Point & Click,17;-100,34,0
0-20000,817370,2,Marching Simulator,Marching Simulator;windows,8,Early Access;Free to Play;Simulation,0;25,8,0
50000-100000,289620,1,Creoteam,Buka Entertainment;windows,-2,Action;Adventure;Hack and Slash,0;342,132,114
0-20000,374240,1,Once More With Gusto,Green Man Gaming Publishing;windows;mac;linux,11,Indie;RPG;Action,1657;30,12,0
0-20000,584990,1,Painted Black Games,Merge Games;windows;mac;linux,0,Action;Adventure;Indie,-49;129,18,0
0-20000,860090,0,BarelyEntertainment,BarelyEntertainment;windows,-2,Nudity;Sexual Content;Indie,6;17,4,0
20000-50000,636100,2,10tons Ltd,10tons Ltd;windows;mac;linux,0,Action;Indie;Local Co-Op,20;-3426,52,3290
0-20000,543740,1,OddGames,OddGames;windows,0,Adventure;Indie;Action,7;2,2,-180
0-20000,525860,2,Morepork Games,Morepork Games;windows,10,Strategy;Indie;Casual,22;2,0,1648
0-20000,806180,1,Zane Games,Zane Games;windows,0,Action;Indie;Space,0;1,1,0
0-20000,751740,1,NetDinamica,NetDinamica;windows,0,Action;Adventure;Indie,0;44579,3,-1033
50000-100000,476460,0,Jon Gallant,jgallant;windows;mac;linux,0,Casual;Indie;Free to Play,-661;576,54,682
50000-100000,385380,1,Permadeath,Permadeath;windows;mac;linux,0,Early Access;Sandbox;2D,1975;947,213,947
0-20000,1022010,1,LuchinVladimir,IndieMax;windows,0,Indie;Adventure;Action,1296;18,2,-256
0-20000,813590,1,Savepoint Studios,Savepoint Studios;windows,0,Indie;Adventure,6;14,7,0
20000-50000,397160,1,Sylvain Harlaut,Sylvain Harlaut;windows,0,Strategy;Indie;RPG,27;148,29,244
0-20000,738920,1,Disturbing Excitement,Disturbing Excitement;windows,12,Sexual Content;Nudity;Gore,4;37,36,492
0-20000,517990,1,"Amber Garage, Inc.","Amber Garage, Inc.;windows",-3,Early Access;Simulation;VR,0;34184,6,0
0-20000,387890,1,Devin Sherry,Devin Sherry;windows,0,Indie;Casual,0;0,7,0
0-20000,600990,1,The Voxel Agents,The Voxel Agents;windows;mac;linux,0,Indie;Adventure;Puzzle,17;252,17,1593
0-20000,554280,2,Wales Interactive,Wales Interactive;windows,0,Action;Indie;Violent,1717;40,10,0
0-20000,635670,1,Tom Kitchen,Tom Kitchen;windows,3,Casual;Indie;Adventure,5;79,32,0
0-20000,1019150,1,Lost Astronaut Studios,Lost Astronaut Studios;windows,0,Action;Indie;Casual,1331;1,0,0
20000-50000,246920,1,Eyebrow Interactive,Eyebrow Interactive;windows;mac;linux,0,Action;Indie;Multiplayer,9;113,10,8386
50000-100000,790600,1,Paladin Studios,Kongregate;windows;mac,0,Free to Play;Strategy;Card Game,17;-8494,127,2435
0-20000,880830,1,Stylus Software,Stylus Software;windows,0,Casual;Strategy;Indie,2058;14,0,0
0-20000,527250,1,Laugical Games,Laugical Games;windows,0,Strategy;Simulation;Indie,0;13,2,0
0-20000,528770,1,Caesoose Studios,Self Published;windows;mac,0,Action;Difficult,18;13,2,0
0-20000,981550,1,M♂NLY,M♂NLY;windows,5,Nudity;Indie;Sexual Content,24;39,5,0
20000-50000,896160,2,Hamsters Gaming,Hamsters Gaming;windows,0,Strategy;Simulation;Indie,57;493,139,0
50000-100000,759530,1,Struckd AG,Struckd AG;windows,-3,Early Access;Free to Play;Action,1727;132,79,0
0-20000,873850,1,Magic Time Software,Magic Time Software;windows,0,Action;Adventure;Indie,10;-16952,3,0
20000-50000,258590,1,NGD Studios,Cartoon Network Games;windows,0,Adventure;Action;Cartoon,12;45284,107,0
50000-100000,890920,1,Ekrcoaster,Ekrcoaster;windows,8,Free to Play;Horror;Indie,10;51334,150,0
0-20000,653770,1,Ryan Stephen,Ryan Stephen;windows,0,Adventure;Indie;RPG,0;2,0,9251
5000000-10000000,550650,1,NS STUDIO,NS STUDIO;windows,3,Early Access;Free to Play;FPS,1784;33695,11081,1835
100000-200000,464340,1,Microids,Microids;windows;mac,0,Adventure;Puzzle;Story Rich,40;800,822,-1109
20000-50000,329630,1,Ozark Softscape,Retroism;Nightdive Studios;windows;mac;linux,0,Strategy;Retro;1990's,0;32,1,0
0-20000,386390,1,Stellar Jay Studios,Stellar Jay Studios;windows;mac,0,Action;Local Multiplayer;Indie,25;6,0,0
0-20000,303290,2,Poni-Pachet SY,MangaGamer;windows,0,Otome;Visual Novel;Female Protagonist,0;295,40,0
200000-500000,443940,1,Nikolai Patrakov,RenPen;windows,0,Indie;Action;Adventure,0;-17591,429,326
0-20000,895650,1,Chota Games Studio,Chota Games Studio;windows,12,Action;Indie;Casual,1422;6,1,0
200000-500000,921060,1,Gameloft,Gameloft;windows,11,Free to Play;Massively Multiplayer;FPS,-431;589,774,522
500000-1000000,290300,1,Double Damage Games,Double Damage Games;windows;mac,0,Space;Sci-fi;Open World,37;5100,881,618
0-20000,507030,1,Acid Cat,Acid Cat;windows;mac;linux,11,Racing;Sports;Action,13;13,6,-2711
200000-500000,12770,1,Liquid Entertainment,Codemasters;windows,0,RPG;Action;Adventure,0;365,178,88
100000-200000,294810,1,Arc System Works,"H2 Interactive Co., Ltd.;windows",-2,Fighting;Anime;2D Fighter,50;998,88,167
0-20000,591470,1,Mad Head Games,Big Fish Games;windows,0,Adventure;Casual;Hidden Object,0;1,0,3140
0-20000,837530,1,"Nikita ""Ghost_RUS""",Ghost_RUS Games;windows,-3,Action;Adventure;RPG,3;4,7,4500
0-20000,348980,0,Narrow Monolith,Narrow Monolith;windows,0,Indie;Action;Casual,0;3,13,0
0-20000,740320,1,HoneyBeeSoftware,HoneyBeeSoftware;windows,10,Indie;Psychedelic,0;1555,6,0
50000-100000,463530,2,Slug Disco Studios,Slug Disco Studios;windows;mac;linux,0,Early Access;Strategy;Simulation,0;1117,107,1636
0-20000,676480,1,Ghost Time Games,Ghost Time Games;windows;mac;linux,1,Indie;Robots,15;69,13,0
0-20000,965450,1,stariy8419,stariy8419;windows,0,Action;Indie;Casual,1324;41938,2,0
0-20000,456920,1,Motional Entertainment;Limitless Ltd,Limitless Ltd;windows,8,Adventure;VR,0;13,17,0
20000-50000,848350,1,MONKEYCRAFT Co. Ltd.,BANDAI NAMCO Entertainment;windows,0,Casual;Action;Great Soundtrack,21;559,58,105
0-20000,494090,1,Inu to Neko,Fruitbat Factory;windows,0,Casual;Anime;Puzzle,29;54542,13,0
0-20000,259640,0,FUN Creators,FUN Creators;windows,0,Indie;Werewolves;Adventure,297;66,133,0
0-20000,724120,1,Antarctic Games,Antarctic Games;windows,0,Action;Indie;Casual,4;7,0,12672
0-20000,978790,1,Hijong Park,PsychoFlux Entertainment;windows,12,Free to Play;Action;Indie,0;-644,1,6444
0-20000,974010,1,Sonic-Alpha,NS;windows,9,Adventure;RPG;Indie,0;1,1,0
20000-50000,427860,1,Illuminated Games,AAD Productions;windows;mac;linux,-6,Adventure;Casual;Indie,37;62,25,0
50000-100000,702320,1,Gameloft,Gameloft;windows,0,Free to Play;Strategy;RPG,87;163,135,3
0-20000,370140,1,Namazu Studios,Namazu Studios;windows;mac,0,Indie;Casual,11;10227,3,0
0-20000,769590,1,bones;Uwen Peng,bones;windows,8,Casual;Nudity;Indie,-273;9,5,11161
50000-100000,644640,1,Alda Games,Alda Games;windows,8,Action;Gore;Violent,45;163,139,1197
0-20000,811520,1,Dexion Games,Dexion Games;windows,0,Strategy;Indie;Casual,0;10,7,0
50000-100000,449000,1,For All To Play,For All To Play;windows;mac;linux,8,Early Access;Free to Play;Indie,0;126,42,1
0-20000,532120,1,Codemodeon,Codemodeon;windows,0,Action;Indie;Simulation,25;15,2,12760
0-20000,996550,1,49肆酒,49肆酒;windows,0,Indie;Casual;Adventure,23;18,0,11255
0-20000,862390,1,FlyInside Inc.,FlyInside Inc.;windows,0,Early Access;Indie;Simulation,10;48,14,0
500000-1000000,7660,2,"MicroProse Software, Inc",2K;windows,0,Strategy;Turn-Based;Tactical,0;417,53,18
0-20000,494040,1,Expo Virtualis,Expo Virtualis;windows,-1,Early Access;Indie;Casual,0;5,1,0
0-20000,856190,1,Enemby Games,Enemby Games;windows;mac;linux,0,Action;Strategy;Indie,0;1,0,0
0-20000,513720,1,Dima Kiva,Dima Kiva;windows;linux,10,Strategy;Pirates,0;28,15,0
0-20000,429480,1,Snowbit Interactive,Snowbit Interactive;windows,0,Early Access;Indie;Parkour,5;3,3,0
0-20000,1004570,1,BlueRichter,BlueRichter;windows;mac;linux,3,Indie;Casual;Strategy,38;0,1,0
0-20000,514500,1,Far Road Games,Far Road Games;windows,12,Early Access;Strategy;Simulation,199;185,62,0
0-20000,679780,1,EJRGames,EJRGames;windows,1,Action;Adventure;RPG,21;0,4,0
0-20000,916050,1,Wild Kid Games,indienova;windows;mac,-2,Indie;Adventure;RPG,13;100,5,0
100000-200000,723790,1,Home Net Games,Home Net Games;windows;mac;linux,2,Free to Play;Action;Pirates,0;50095,89,1176
0-20000,359340,0,DL Softworks,DL Softworks;windows,0,Casual;Indie;Strategy,34;34800,3,0
0-20000,463320,1,Choice of Games,Choice of Games;windows;mac;linux,5,Indie;Adventure;RPG,34;10,14,0
50000-100000,307340,1,Idigicon,KISS ltd;windows,0,Action;Shoot 'Em Up;Local Co-Op,1624;280,28,9703
500000-1000000,219780,0,Larian Studios,Larian Studios;Focus Home Interactive;windows,0,RPG;Fantasy;Open World,-400;2001,441,10803
0-20000,541160,1,"Synersteel Studio, LLC","Synersteel Studio, LLC;windows;mac",0,Action;Indie,20;10,2,9874
0-20000,739050,1,Rock Nano Global,Rock Nano Global;windows,0,Indie;Strategy;Card Game,12;109,8,0
0-20000,914290,1,Eren Aydin;Serhat Yucekaya,Eren Aydin;windows,0,Action;Casual;Gore,56;73,11,11640
0-20000,500440,1,Ebenit,Ebenit;windows;linux,0,Action;Adventure;Indie,1750;49750,3,0
0-20000,495580,1,KAVA Game Studio,KAVA Game Studio;windows;mac;linux,-1,Strategy;Action;Indie,11;89,76,3030
200000-500000,259320,2,Reality Pump,Topware Interactive;windows,0,Action;Casual;Shoot 'Em Up,0;36915,174,282
50000-100000,454180,1,Anea_Duo_Dev,Anea_Duo_Dev;windows;mac;linux,11,Simulation;Racing;Action,154;19609,69,243
50000-100000,574070,1,Desert Owl Games LLC,ToHeroes Game Studios LLC;windows;mac,0,Early Access;Free to Play;Massively Multiplayer,51;52153,61,0
0-20000,1043020,1,SelenaJ,SelenaJ;windows,0,Racing;Action,0;0,1,-799
0-20000,588230,1,The Secret Experiment,The Secret Experiment;windows;mac,-3,Indie;Adventure;Nudity,1628;40,0,0
100000-200000,271550,0,BumpkinBrothers,BumpkinBrothers;windows,0,Casual;Indie;Strategy,22;219,46,-1865
0-20000,894900,2,Night Dreams Studio,Night Dreams Studio;windows;mac,2,Sexual Content;Nudity;Indie,49;6,17,0
0-20000,956000,1,Eric L.,EL TECH;windows;linux,0,Early Access;Strategy;Indie,9;3,1,0
0-20000,338080,0,ARTDINK,Degica;windows,0,Simulation,0;4,2,1082
0-20000,776540,1,Blender Games,Blender Games;windows,0,Casual;Indie;Puzzle,150;24,5,0
20000-50000,348540,1,NickySwan,Dharker Studio;windows;mac;linux,0,Nudity;Indie;Visual Novel,-181;182,79,284
0-20000,712380,1,For Kids,For Kids;windows;mac;linux,0,Indie;Casual,-335;34,6,0
20000-50000,347710,1,IF Games;Vertigo Games,Vertigo Games;windows;mac;linux,0,Adventure;Indie;Point & Click,14;125,31,0
100000-200000,241620,1,"CINEMAX, s.r.o.","CINEMAX, s.r.o.;windows",18,RPG;Indie;Isometric,-83;2695,164,0
0-20000,771690,0,Zaxis,Wild River Games;windows,0,Action;Adventure;Indie,13;14,7,0
50000-100000,320400,1,Mixel,Slitherine Ltd.;windows,0,Strategy;Casual;Board Game,0;64,47,6
100000-200000,12500,1,Infinite Interactive,"D3Publisher of America, Inc.;windows",0,Puzzle;Match 3;Casual,0;561,80,52
100000-200000,232970,1,Most Wanted Entertainment,HandyGames;windows,0,Action;Indie;Casual,2042;377,61,-3238
0-20000,571500,1,Wolf In Motion Ltd,Wolf In Motion Ltd;windows,0,Early Access;Adventure;Simulation,0;4,0,10730
0-20000,564420,1,Drunk Robot Games;Effinvance,Cerulean Games;windows;mac;linux,0,Action;Indie;Gore,-214;9,1,0
0-20000,746050,1,Triple-Star Studio,Rock Path Collective;windows;mac;linux,0,Action;Casual;Indie,0;4,0,0
20000-50000,528820,1,Aterdux Entertainment,Aterdux Entertainment;windows,0,RPG;Strategy;Adventure,11;69,56,-29
0-20000,630310,1,WayForward,WayForward;windows,2,Action;Adventure;Metroidvania,37;1092,44,299
0-20000,661560,1,Insanity Interactive,Insanity Interactive;windows,8,Indie,21;1,2,8741
0-20000,534460,1,Framestore VR Studio,Framestore VR Studio;windows,12,Simulation;VR,0;2357,11,0
50000-100000,495350,1,Fabio Ferrara,Chubby Pixel;windows;mac;linux,9,Adventure;Action;Massively Multiplayer,-11;179,69,381
0-20000,938870,1,HronosGame,HronosGame;windows,0,Adventure;Indie;Puzzle,151;1,1,0
0-20000,445840,1,Peaksel D.O.O. Nis,Peaksel D.O.O. Nis;windows;mac,0,Casual;Indie;Action,0;15,27,12034
0-20000,964210,1,Heero,SakuraGame;windows,0,Early Access;Casual;Action,0;22,2,0
0-20000,358000,1,On The Level Game Studios,On The Level Game Studios;windows,0,Action;Indie;Adventure,0;15,13,0
0-20000,511690,1,Andreas Aust,Andreas Aust;windows,0,Indie;Adventure;Casual,0;8,1,0
0-20000,663370,1,Ploosh GmbH,Ploosh GmbH;windows;mac,11,Adventure;Casual;Indie,32;33,1,0
20000-50000,418120,1,VDO Games,VDO Games;windows,0,Indie;Action;Female Protagonist,64;349,77,221
0-20000,673570,2,RSK Entertainment,Strategy First;windows,0,Action;Indie;Simulation,2048;1,4,0
0-20000,857240,1,Aerolab Studios LTD,Aerolab Studios LTD;windows,0,Early Access;Action;Violent,1621;33,56,0
0-20000,804900,1,橘喵喵,橘喵喵;windows,0,Casual;Indie;Strategy,24;22,11,0
0-20000,666730,1,Inexplicable Games,Inexplicable Games;windows,0,Early Access;Strategy;RPG,0;25,9,0
0-20000,300630,2,Ripstone,Ripstone;windows,0,Strategy;Indie;Simulation,13;66,32,-1852
0-20000,743340,1,Titan Forged Games,Titan Forged Games;windows,0,Action;Casual;Zombies,2080;4,1,0
50000-100000,784150,1,3Division,3Division;windows,9,Early Access;City Builder;Strategy,0;1369,311,3935
200000-500000,217690,1,Dreampainters,Kalypso Media Digital;windows;mac;linux,0,Horror;Adventure;Indie,35;878,489,-891
0-20000,652360,1,ASA Studio,ASA Studio;windows;mac;linux,0,Indie;Casual;4 Player Local,40;-9299,3,0
0-20000,799530,1,DarkEvilGames,DarkEvilGames;windows,0,Action;Adventure;Violent,-15;15,7,0
0-20000,961460,2,NeXToNe,NeXToNe;windows;mac,8,Nudity;Sexual Content;Indie,15;33629,6,1782
0-20000,513770,1,SimplexGameStudio,SimplexGameStudio;windows,0,Action;Indie;Casual,0;8,14,2256
0-20000,666660,1,Quicksilver Software,interplay;windows;mac,-2,Strategy;Adventure,1431;2,3,0
0-20000,648780,1,Snap Finger Click,Vision Games Publishing LTD;windows,0,Casual;Indie;Strategy,38;36,12,0
50000-100000,529150,0,Taylor Stapleton,Taylor Stapleton;windows,0,Strategy;Indie;VR,4;383,11,681
20000-50000,348470,1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.;windows",-2,Action;Hack and Slash;Historical,54;757,215,0
20000-50000,567160,2,Creobit;Workroom7,8Floor;windows,9,Casual;Strategy;Management,-66;-13767,6,-2297
0-20000,684400,0,Andrea Mancuso;Graziano Ferraro,Ferman Studio;windows,0,Indie;Action;Massively Multiplayer,0;3,1,12498
100000-200000,739000,0,C.U.M原创游戏;幽兰工房,SakuraGame;windows,11,Indie;Adventure;Casual,0;410,143,143
0-20000,566560,2,FLYNET STUDIOS,FLYNET STUDIOS;windows,8,Action;Indie;Adventure,0;2,12,0
0-20000,709340,1,ERS G Studios,Big Fish Games;windows,0,Adventure;Casual;Hidden Object,0;1,0,0
0-20000,593250,1,SAT-BOX,SAT-BOX;windows,11,Action;Indie;VR,324;12,0,0
0-20000,716150,1,Anxious Neck Games,Anxious Neck Games;windows,0,Action;Adventure;Indie,0;18,4,0
0-20000,457770,1,Skydome Studios,Skydome Studios;windows,3,Action;VR,25;20,3,0
0-20000,782210,1,Pixel Fyzz,Pixel Fyzz;windows,0,Early Access;Action;Indie,-114;5,0,0
0-20000,696400,1,BJGameInd,BJGameInd;windows,8,Indie;Strategy;Casual,961;13,23,1
0-20000,1032240,1,Final Game Studio,Final Game Studio;windows;mac,0,Indie;Casual;Puzzle,38;1,1,0
0-20000,895120,1,D4 Laboratory,D4 Laboratory;windows,0,Casual;Strategy;Indie,258;13,2,0
50000-100000,542480,1,Virtys,Virtys;windows,0,Free to Play;RPG;Massively Multiplayer,0;224,100,1
200000-500000,3540,2,"PopCap Games, Inc.","PopCap Games, Inc.;windows;mac",0,Casual;Puzzle;Singleplayer,0;368,24,237
50000-100000,513230,0,Mehsoft,Mehsoft;windows;mac,0,Indie;Story Rich;Memes,28;1087,216,102
200000-500000,18700,1,Broken Rules,Broken Rules;windows;mac;linux,10,Platformer;Indie;Puzzle,30;735,327,17
0-20000,887900,2,Curious Visions,Curious Visions;windows;mac,11,Action;Indie;Casual,0;54182,2,0
0-20000,446460,1,United Independent Entertainment GmbH,United Independent Entertainment GmbH;windows,0,Strategy;RTS,0;53707,9,0
0-20000,687870,2,CINEMUR,CINEMUR;windows,8,Utilities;VR;Simulation,606;13,16,0
0-20000,715210,1,Bishop Armstrong,Bishop Armstrong;windows,0,Gore;Action;Indie,2072;25,2,9506
0-20000,592040,1,Mark Sowders,Mark Sowders;windows,0,Casual;Action;Indie,10;46391,1,11217
0-20000,893490,2,Team A.R.G.;Blake W. Ford,Radical Piece;windows;linux,0,Indie;Casual,2002;11491,0,0
0-20000,293160,1,Orphic Software,Orphic Software;windows;mac,0,RPG;Strategy;Indie,0;-17249,53,9915
20000-50000,305920,1,ShaunJS,ShaunJS;Digerati Distribution;windows,0,Indie;Adventure;Platformer,609;252,37,0
0-20000,567480,1,"Creature of the Rise co.,ltd.","Creature of the Rise co.,ltd.;windows",0,Indie;Action;Adventure,24;-6376,5,10034
0-20000,920810,1,MyDreamForever,Atriagames;windows,0,Sexual Content;Nudity;Simulation,0;53,20,12980
0-20000,820790,1,FairyPeople,FairyPeople;windows,0,Free to Play;Indie;Adventure,0;55,18,0
100000-200000,571260,1,SNK CORPORATION;Abstraction Games,SNK CORPORATION;windows,0,Fighting;Arcade;Multiplayer,-49;1531,365,381
0-20000,951130,1,第一點心;DimSumOneStudio,第一點心;DimSumOneStudio;windows;mac,0,RPG;Indie;Casual,1357;57,14,2962
0-20000,436870,1,Phung Games,Phung Games;windows,0,Action;Casual;RPG,573;52629,11,0
0-20000,392290,1,Hanged Bunny Studio,Hanged Bunny Studio;windows;mac;linux,0,Early Access;Action;Indie,0;44626,0,0
0-20000,438090,0,Sixth Line Studios,Sixth Line Studios;windows,0,Indie;Action;Casual,35;42253,3,0
0-20000,823800,1,Cats Who Play,Cats Who Play;windows,2,Indie;Adventure,462;48725,3,0
0-20000,754340,1,Agent Mega,Agent Mega;windows;mac;linux,0,RPG;Indie;Rogue-like,22;16,6,0
0-20000,668300,1,Dawei Liu,Dawei Liu;windows,0,Action;RPG;Indie,0;18,15,0
0-20000,516550,2,TomCGames,TomCGames;windows,1,Action;Adventure;Indie,0;10,1,4175
0-20000,655730,1,Doomster Entertainment,Doomster Entertainment;windows;mac,0,Indie;Adventure;Action,-282;44843,36,0
0-20000,762360,1,GamesByLD,GamesByLD;windows,0,Indie;Casual,1933;1,0,0
0-20000,755580,1,Wojciech Krupinski,KrupinskiArt;windows,1,Action;Indie;Casual,1985;51335,7,-696
0-20000,421630,1,Hosted Games,Hosted Games;windows;mac;linux,0,Indie;RPG;Steampunk,1318;128,4,0
50000-100000,205830,1,MumboJumbo,MumboJumbo;windows,0,Casual;Action;Indie,33;196,18,94
0-20000,644530,2,KoheiGallery,KoheiGallery;windows,0,Action;Indie;Anime,-170;9,7,0
0-20000,684320,0,Wildgrass,Wildgrass;windows;mac;linux,0,Casual;Colorful;Arcade,32;20,1,0
0-20000,341390,1,DarkArts Studios,DarkArts Studios;windows;linux,0,RPG;Rogue-like;Procedural Generation,-193;102,45,13714
500000-1000000,308040,1,Bedtime Digital Games,Bedtime Digital Games;windows;mac;linux,0,Indie;Puzzle;Casual,98;1497,342,242
0-20000,939200,1,Etqan Company,Etqan Company;windows,0,Casual;Puzzle;Singleplayer,1445;1,2,0
0-20000,647990,1,Polygon Dust Entertainment Ltd.,Polygon Dust Entertainment Ltd.;windows,0,Casual;Simulation;Funny,29;16,1,0
0-20000,903760,1,cbinfosystems,cbinfosystems;windows,0,Adventure;Free to Play;VR,-329;3,4,0
0-20000,969230,1,"Nikita ""Ghost_RUS""",Ghost_RUS Games;windows,0,Action;Indie;Adventure,1581;1,8,10263
0-20000,887960,1,Eipix Entertainment,Big Fish Games;windows,0,Casual;Adventure;Hidden Object,0;6,1,8673
0-20000,568040,1,Siactro,Siactro;windows,0,Action;Indie;3D Platformer,0;78,13,-1303
0-20000,720320,1,Galulugame,Galulugame;windows,0,Action;Adventure;Indie,53;29,6,0
0-20000,942300,0,KG Game Studuo;hede,hede;windows;mac,0,Action;Indie;Stylized,1624;9,5,0
50000-100000,746910,0,Jakal Studios,Jakal Studios;windows,0,Free to Play;Indie;Casual,88;147,62,43
20000-50000,366270,1,SNK CORPORATION;DotEmu,SNK CORPORATION;windows,0,Action;Arcade;Retro,15;58,15,12794
100000-200000,671510,1,Nearga,HypeTrain Digital;windows,0,Survival;Multiplayer;Horror,72;2564,1094,-3157
0-20000,652610,2,Pedro Castro Menezes,Pedro Castro Menezes;windows;linux,0,Indie;Platformer;2D,0;6,1,1042
0-20000,977900,1,RewindApp,RewindApp;windows,0,Casual;Action;Indie,0;1,4,0
200000-500000,535760,2,Amaterasu Software,Amaterasu Software;windows,0,Adventure;Indie;RPG,0;-9231,100,243
0-20000,340380,1,Alex Jedraszczak,Alex Jedraszczak;windows,0,Action;Indie,43;39482,2,0
1000000-2000000,242700,1,NetherRealm Studios;High Voltage Software,Warner Bros. Interactive Entertainment;windows,16,Fighting;Superhero;Action,50;46966,1473,288
50000-100000,616720,1,Pavo Studio,Pavo Studio;windows;mac,0,Early Access;Animation & Modeling;Utilities,0;665,91,55
200000-500000,445720,1,DR Studios,505 Games;windows,0,Free to Play;Strategy;Action,1922;53479,388,10
0-20000,439490,0,Stellar Circle,Stellar Circle;windows;mac;linux,0,Shoot 'Em Up;Indie;Action,1649;233,2,0
20000-50000,294580,1,Humongous Entertainment,Humongous Entertainment;Nightdive Studios;windows;mac;linux,0,Casual;Adventure;Family Friendly,0;46569,6,0
0-20000,577120,1,Walkie Entertainment,Walkie Entertainment;windows,-3,Indie;Casual;Story Rich,0;-609,1,9410
0-20000,654020,1,Wraith Studio,Wraith Studio;windows,0,Action;Adventure;Indie,27;16,2,0
0-20000,972740,1,anotherworld GmbH,anotherworld GmbH;windows,-1,Adventure;VR;Horror,0;43341,9,0
0-20000,471270,2,Kaio Interactive,Kaio Interactive;windows,0,Action;Indie;Casual,39;8,2,0
