name,release_date,1ZT_english;appid,developer,publisher,platforms,rqrd_g,categories,genres,steamspy_tags,achievements;ratings_positive,negative_ratings,average_playtime,owners
Marching Simulator,2018-07-29,1;817370,Marching Simulator,Marching Simulator,windows,0,Single-player,Free to Play;Simulation;Early Access,Early Access;Free to Play;Simulation,0;25,8,0,0-20000
Collapse,2014-04-11,1;289620,Creoteam,Buka Entertainment,windows,0,Single-player;Full controller support;Steam Trading Cards,Action;Adventure,Action;Adventure;Hack and Slash,0;342,132,9958,50000-100000
Eternal Step,2015-10-16,2;374240,Once More With Gusto,Green Man Gaming Publishing,windows;mac;linux,12,Single-player;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adgemture;Indie;RPG,Indie;RPG;Action,0;30,12,0,0-20000
The Long Reach,2018-03-14,1;584990,Paigted Bladk Gamrs,Merge Games,windows;mac;linux,0,Single-player;Full controller support,Gewalttätig;Blutig;Action;Abenteuer;Indie,Action;Adventure;Indie,15;129,18,-3138,0-20000
Erotic Jigsaw Challenge Vol. 1,2018-06-02,0;860090,BarelyEntertainment,BarelyEntertainment,windows,0,Single-player;Steam Achievements,Sexual Content;Nudity;Casual;Indie;Simulation,Nudity;Sexual Content;Indie,6;17,4,0,0-20000
Tesla vs Lovecraft,2018-01-26,1;636100,10tons Ltd,10tons Ltd,windows;mac;linux,0,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;RPG,Action;Indie;Local Co-Op,20;409,52,131,20000-50000
Medieval Story,2017-08-04,1;543740,OddGam4s,OddGames,windows,0,Single-player;Steam Achievements,Violent;Gore;Achiog;Adgenture;Indie,Adventure;Indie;Action,7;2,2,0,0-20000
Garden Wars,2016-11-09,1;525860,Morepork Games,Morepork Games,windows,0,Single-player;Multi-player;Steam Achievements,Casual;Indie;Strategy,Strategy;Indie;Casual,22;2,0,958,0-20000
Beyond The Heavens,2018-07-02,1;806180,Zane Games,Zane Games,windows,0,Single-player;Partial Controller Support;Steam Cloud,Action;Indie,Action;Indie;Space,0;1,1,0,0-20000
Roller Coaster Egypt VR,2018-03-21,0;751740,,NetDinamica,windows,3,Single-player,Action;Adventure;Indie;Simulation,Action;Adventure;Indie,0;0,3,0,0-20000
Picross Touch,2016-08-24,1;476460,Jon Gallant,jgallant,windows;mac;linux,10,Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Casual;Free to Play;Indie;Strategy,Casual;Indie;Free to Play,18;576,54,4420,50000-100000
Planet Centauri,2016-06-03,2;385380,Permadeath,Permadeath,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Trading Cards,Action;Adventure;Indie;ROG;Earlj Acfess,Early Access;Sandbox;2D,0;947,213,-498,50000-100000
Oliver's Adventures in the Fairyland,2019-02-18,1;1022010,LuchinVladimir,IndieMax,windows,1,Single-player;Steam Achievements,Action;Adventure;Indie,Indie;Adventure;Action,16;18,2,0,0-20000
Solas and the White Winter,2018-04-13,1;813590,Studios_Savepoint,Savepoint Studios,windows,-1,Single-player;Steam Achievements;Full controller support,Adventure;1ndie,Indie;Adventure,6;14,7,3435,0-20000
Aurora Dusk: Steam Age,2019-03-08,2;397160,Harlaut_Sylvain,Sylvain Harlaut,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards,Indie;RPG;Strategy,Strategy;Indie;RPG,27;148,29,244,20000-50000
Sexy Serial Killer,2018-01-29,1;738920,Disturbing Excitement,Disturbing Excitement,windows,0,Single-player;Steam Achievements,Nudity;Cioient;Gore;Action;Advdnture,Sexual Content;Nudity;Gore,4;37,36,-3141,0-20000
City VR,2016-09-26,1;517990,"Amber Garage, Inc.","Amber Garage, Inc.",windows,0,Single-player,Simulation;Early Access,Early Access;Simulation;VR,0;8,6,0,0-20000
Radial Impact,2015-08-03,1;387890,Devin Sherry,Devin Sherry,windows,0,Single-player,Casual;Indie,Indie;Casual,0;0,7,0,0-20000
The Gardens Between,2018-09-19,2;600990,The Voxel Agents,The Voxel Agents,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,,Indie;Adventure;Puzzle,17;252,17,0,0-20000
Time Carnage VR,2018-04-10,1;554280,Wales Interactive,Wales Interactive,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Iq6D_Violent;Action;Indie,Action;Indie;Violent,21;40,10,0,0-20000
EMPORIUM,2017-05-17,1;635670,Tom Kitchen,Tom Kitchen,windows,9,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Gore;Adventure;Casual;Indie,Casual;Indie;Adventure,5;79,32,0,0-20000
Apolune,2019-02-06,2;1019150,Lost Astronaut Studios,Lost Astronaut Studios,windows,11,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support,Action;Casual;Indie,Action;Indie;Casual,22;1,0,0,0-20000
Bombernauts,2017-12-29,1;246920,Eyebrow Interactive,Eyebrow Interactive,windows;mac;linux,0,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Includes level editor,Action;Indie,Action;Indie;Multiplayer,9;113,10,0,20000-50000
Stormbound,2018-05-15,1;790600,Paladin Studios,Kongregate,windows;mac,0,Online Multi-Player;In-App Purchases,Kostenlos spielen;Strategie,Free to Play;Strategy;Card Game,17;263,127,54,50000-100000
Cavesweeper,2018-07-04,1;880830,Stylus Software,Stylus Software,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Adventure;Casual;Indie;Strategy,Casual;Strategy;Indie,41;14,0,9078,0-20000
VilleTown,2016-09-23,1;527250,Laugical Games,Laugical Games,windows,2,Single-player;Steam Trading Cards,Indie;Simulation;Strategy,Strategy;Simulation;Indie,0;13,2,348,0-20000
Twixel,2016-11-18,0;528770,Caesoose_Studios,Self Published,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Action;Difficult,18;13,2,8412,0-20000
GACHIMUCHI M♂NLY PUZZLE,2018-12-13,1;981550,M♂NLY,M♂NLY,windows,3,Single-player;Steam Achievements,SI4_Casual;Indie;Simulation;Strategy,Nudity;Indie;Sexual Content,24;39,5,9941,0-20000
Evil Bank Manager,2018-12-07,1;896160,vvNI_Hamsters Gaming,Hamsters Gaming,windows,-1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;Simulation;Strategy,Strategy;Simulation;Indie,57;493,139,9679,20000-50000
Struckd - 3D Game Creator,2018-02-02,1;759530,Struckd AG,Struckd AG,windows,0,Single-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Includes level editor,Action;Adventure;Casual;Racing;RPG;Early Access,Early Access;Free to Play;Action,0;132,79,0,50000-100000
PASSAGE,2018-11-14,2;873850,Magic Time Software,Magic Time Software,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Indie,Action;Adventure;Indie,10;1,3,0,0-20000
Adventure Time: Finn and Jake's Epic Quest,2014-04-11,1;258590,NGD Studios,Cartoon Network Games,windows,0,Single-player;Steam Achievements;Full controller support,Action;Adventure,Adventure;Action;Cartoon,12;318,107,0,20000-50000
Glitch,2018-07-18,0;890920,Ekrcoaster,Ekrcoaster,windows,0,Single-player,SsW_Adventure;Casual;Free to Play;Indie;Strategy,Free to Play;Horror;Indie,10;152,150,0,50000-100000
The First Time I Died,2017-07-05,2;653770,Rhan Stephen,Ryan Stephen,windows,0,Single-player,Adventure;Indie;RPG,Adventure;Indie;RPG,0;2,0,0,0-20000
Black Squad,2017-07-28,1;550650,Zhq_NS STUDIO,NS STUDIO,windows,11,Multi-player;Steam Achievements;Steam Trading Cards;In-App Purchases,Action;Free to Play;Early Access,Early Access;Free to Play;FPS,36;33695,11081,1835,5000000-10000000
Syberia 3,2017-11-13,1;464340,Microids,Microids,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adve.,Adventure;Puzzle;Story Rich,40;800,822,12846,100000-200000
Command HQ,2014-11-06,1;329630,Ozark Softscape,Retroism;Nightdive Studios,windows;mac;linux,0,Single-player,Strategy,Strategy;Retro;1990's,0;32,1,0,20000-50000
Dad Beat Dads,2015-10-19,1;386390,Stellar Jay Studios,Stellar Jay Studios,windows;mac,0,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards,Action,Action;Local Multiplayer;Indie,25;6,0,0,0-20000
OZMAFIA!!,2016-04-29,2;303290,Poni-Pachet SY,MangaGamer,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure,Otome;Visual Novel;Female Protagonist,0;295,40,0,0-20000
Unknown Battle,2016-03-14,1;443940,Nikolai Patrakov,RenPen,windows,0,Single-player;Steam Trading Cards,Action;Adventure;1ndie,Indie;Action;Adventure,0;186,429,326,200000-500000
Save The Cookie,2018-10-30,1;895650,Chota Games Studio,Chota Games Studio,windows,0,Single-player;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,0;6,1,0,0-20000
Modern Combat 5,2018-10-24,1;921060,oqu3_Gameloft,Gameloft,windows,0,Single-player;Online Multi-Player;In-App Purchases,   ,Free to Play;Massively Multiplayer;FPS,54;589,774,129,200000-500000
Rebel Galaxy,2015-10-20,1;290300,Double Damage Games,Double Damage Games,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Indie;RPG;Simuladion,Space;Sci-fi;Open World,37;5100,881,618,500000-1000000
Bicyclism EP,2016-11-14,1;507030,Acid Cat,Acid Cat,windows;mac;linux,0,Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Action;Indie;Racing;Simulation;Sports,Racing;Sports;Action,13;13,6,11,0-20000
Rise of the Argonauts,2009-01-07,1;12770,Liquid Entertainment,Codemasters,windows,2,Single-player;Full controller support,RPG,RPG;Action;Adventure,0;365,178,88,200000-500000
BlazBlue: Continuum Shift Extend,2014-12-11,1;294810,Arc Sysdem Works,"H2 Interactive Co., Ltd.",windows,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,Fighting;Anime;2D Fighter,50;998,88,167,100000-200000
Dark Realm: Queen of Flames Collector's Edition,2017-02-21,1;591470,Mad Head Games,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0;1,0,0,0-20000
Dark Ghost RPG,2018-04-17,1;837530,"Nikita ""Ghost_RUS""",Ghost_RUS Games,windows,0,Single-player;Steam Achievements;Partial Controller Support,2i_Nudity;Violent;Gore;Action;Adventure;Indie;RPG;Simulation,Action;Adventure;RPG,3;4,7,0,0-20000
INIT.,2015-08-19,1;348980,Narrow Monolith,Narrow Monolith,windows,0,Single-player;Co-op;Shared/Split Screen;Steam Trading Cards;Partial Controller Support;Steam Cloud;Commentary available,Action;Adventure;Casual;Indie;Strategy,Indie;Action;Casual,0;3,13,0,0-20000
Djilyaro,2017-11-24,1;740320,HoneyBee.,HoneyBeeSoftware,windows,0,Single-player;Steam Achievements,Indie,Indie;Psychedelic,0;6,6,0,0-20000
Empires of the Undergrowth,2017-12-01,1;463530,Slug Disco Studios,Slug Disco Studios,windows;mac;linux,0,Single-player,Indie;Simulation;Strategy;Early Access,Early Access;Strategy;Simulation,0;1117,107,863,50000-100000
Jettomero: Hero of the Universe,2017-09-15,1;676480,Ghost Time Games,Ghost Time Games,windows;mac;linux,4,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud;Stats,Indie,Indie;Robots,15;69,13,0,0-20000
OnSpace,2018-10-31,1;965450,stariy8419,stariy8419,windows,1,Single-player,Action;Casual;Indie,Action;Indie;Casual,0;4,2,5313,0-20000
Gary the Gull,2016-11-22,1;456920,Motional Entertainment;Limitless Ltd,Limitless Ltd,windows,9,Single-player,Adventure,Adventure;VR,0;13,17,0,0-20000
Katamari Damacy REROLL,2018-12-06,1;848350,MONKEYCRAFT Co. Ltd.,BANDAI NAMCO Entertainment,windows,9,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,,Casual;Action;Great Soundtrack,21;559,58,105,20000-50000
Dungeon Girl,2018-07-30,1;494090,Inu to Neko,Fruitbat Factory,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual,Casual;Anime;Puzzle,29;15,13,0,0-20000
Guise Of The Wolf,2014-01-24,1;259640,FUN Creators,FUN Creators,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie,Indie;Werewolves;Adventure,20;66,133,0,0-20000
Rise:30 Minutes to Extinction,2018-09-18,1;724120,Antarctic Games,Antarctic Games,windows,3,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Partial Controller Support;Steam Leaderboards,Actyon;Casual;Indie,Action;Indie;Casual,4;7,0,0,0-20000
Frantic Dimension,2018-12-28,1;978790,Hijong Park,PsychoFlux Entertainment,windows,0,Single-player;Partial Controller Support;Steam Leaderboards,Action;Free to Play;Indie,Free to Play;Action;Indie,0;18,1,0,0-20000
Zero spring episode 2,2018-11-29,1;974010,Sonic-Alpha,NS,windows,8,Single-player,Adventure;Indie;RPG,Adventure;RPG;Indie,0;1,1,12796,0-20000
The Next World,2016-03-07,1;427860,Illuminated Games,AAD Productions,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Indie,Adventure;Casual;Indie,37;62,25,0,20000-50000
March of Empires,2017-12-11,2;702320,Gemeloft,Gameloft,windows,0,Online Multi-Player;Steam Achievements;In-App Purchases,Free to Play;Massively Multiplayer;RPG;Strategy,Free to Play;Strategy;RPG,87;163,135,3,50000-100000
Nebulous,2016-08-29,1;370140,Namazu Studios,Namazu Studios,windows;mac,0,Single-player;Full controller support;VR Support;Steam Cloud,Casual;Indue,Indie;Casual,11;3,3,-2239,0-20000
Play Cube with Uncle Billy,2018-02-23,2;769590,bones;Uwen Peng,bones,windows,0,Single-player,Nudity;Casual;Indie;Strategy,Casual;Nudity;Indie,0;9,5,0,0-20000
Band of Defenders,2018-04-05,1;644640,Alda Games,Alda Games,windows,0,Single-player;Online Co-op;Steam Achievements;Steam Trading Cards,Violent;Gore;Action,Action;Gore;Violent,45;163,139,13005,50000-100000
Infinite Fall,2018-12-20,1;811520,Dexion Games,Dexion Games,windows,-3,Single-player,Casual;Indie;Strategy,Strategy;Indie;Casual,0;10,7,0,0-20000
Steno Arcade,2016-03-30,1;449000,For All To Play,For All To Play,windows;mac;linux,0,Single-player;Captions available,RV_Casual;Free to Play;Indie;Early Access,Early Access;Free to Play;Indie,0;126,42,2420,50000-100000
Header Goal VR: Being Axel Rix,2017-08-16,1;532120,Codemodeon,Codemodeon,windows,10,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Action;Indie;Simulation;Sport,Action;Indie;Simulation,25;15,2,0,0-20000
"持猫少女凯蒂/Kaidi, armed with a cat",2019-01-13,1;996550,49肆酒,49肆酒,windows,0,Single-player;Steam Achievements,Adventure;Casual;Indie,Indie;Casual;Adventure,23;18,0,3850,0-20000
FlyInside Flight Simulator,2018-12-20,0;862390,FlyInside Inc.,FlyInside Inc.,windows,0,Single-player;Steam Achievements;Partial Controller Support;Stats,,Early Access;Indie;Simulation,10;48,14,12898,0-20000
X-COM: Apocalypse,2008-09-04,2;7660,"MlcroProse Software, Inc",2K,windows,0,Single-player,Strategy,Strategy;Turn-Based;Tactical,0;417,53,18,500000-1000000
PuppetsVR,2017-09-27,1;494040,Expo Virtualis,Expo Virtualis,windows,0,Single-player;Online Multi-Player,ff_Casual;Indie;Simulation;Early Access,Early Access;Indie;Casual,0;5,1,0,0-20000
Metori,2019-04-03,0;856190,Enemby Games,Enemby Games,windows;mac;linux,10,Single-player,Action;Indie;Strategy,Action;Strategy;Indie,0;1,0,0,0-20000
Archipelago,2016-08-17,1;513720,Dima Kiva,Dima Kiva,windows;linux,0,Single-player,Strategy,Strategy;Pirates,0;28,15,0,0-20000
Vision Runner,2016-10-19,1;429480,Snowbit Interactive,Snowbit Interactive,windows,1,Single-player;Steam Achievements;Includes level editor,Indie;Early Access,Early Access;Indie;Parkour,5;3,3,0,0-20000
blocks,2019-01-25,0;1004570,BlueRichter,BlueRichter,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Casual;Indie;Strategy,Indie;Casual;Strategy,38;0,1,0,0-20000
Atomic Society,2018-10-15,1;514500,Far Road Games,Far Road Games,windows,-1,Single-player,Simulation;Strategy;Early Access,Early Access;Strategy;Simulation,0;185,62,0,0-20000
Lemuria: Lost in Space - VR Edition,2017-08-04,1;679780,8e_EJRGames,EJRGames,windows,0,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,Action;Adventure;Indie;RPG,Action;Adventure;RPG,21;0,4,0,0-20000
Clocker 铸时匠,2019-02-14,1;916050,Wild Kid Games,indienova,windows;mac,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Adventure;Indie;RPG,Indie;Adventure;RPG,13;100,5,0,0-20000
The Pirate: Plague of the Dead,2017-10-13,1;723790,Home Net Games,Home Net Games,windows;mac;linux,0,Single-player;In-App Purchases;Steam Cloud,Action;Adventure;Free to Play;Indie;Simulation;Strategy,Free to Play;Action;Pirates,0;225,89,11,100000-200000
Pixel Puzzles Mosaics,2017-06-09,1;359340,DL Softworks,DL Softworks,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie;Simulation;5ports;Strategy,Casual;Indie;Strategy,34;18,3,0,0-20000
The Sea Eternal,2016-04-22,1;463320,Choice of Games,Choice of Games,windows;mac;linux,1,Single-player;Steam Achievements;Captions available;Steam Cloud,Adventure;Indie;RPJ,Indie;Adventure;RPG,34;10,14,0,0-20000
Platypus,2014-08-15,0;307340,Idigicon,KISS ltd,windows,0,Single-player;Shared/Split Screen;Steam Trading Cards,Action,Action;Shoot 'Em Up;Local Co-Op,0;280,28,1410,50000-100000
Divinity II: Developer's Cut,2012-10-29,1;219780,Larian Studios,Larian Studios;Focus Home Interactive,windows,1,Single-player,RPG,RPG;Fantasy;Open World,0;2001,441,2511,500000-1000000
MC Lars: The Video Game,2016-10-14,1;541160,"Synersteel Studio, LLC","Synersteel Studio, LLC",windows;mac,0,Single-player;Steam Achievements;Partial Controller Support,,Action;Indie,20;10,2,0,0-20000
Deck Casters,2018-01-10,1;739050,Rock Nano Global,Rock Nano Global,windows,0,Single-player;Online Multi-Player;Steam Achievements;Steam Cloud,Indie;Strategy,Indie;Strategy;Card Game,12;109,8,0,0-20000
Welcome to Princeland,2018-11-09,2;914290,Eren Aydin;Serhat Yucekaya,Eren Aydin,windows,1,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Adventure;Casual,Action;Casual;Gore,56;73,11,0,0-20000
Take the Cake,2017-11-28,1;500440,Ebenit,Ebenit,windows;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie,Action;Adventure;Indie,6;7,3,0,0-20000
Divided We Fall: Play For Free,2017-10-02,1;495580,KAVA Game Studio,KAVA Game Studio,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Workshop;Includes level editor,Action;Free to Play;Indie;Strategy,Strategy;Action;Indie,11;89,76,-519,0-20000
