appid,V9_name,release_date,english,developer,publisher,platforms,genres,SteTa,Ach,positive_ratings,negative_ratings,average_playtime,M.P.,owners,v_price
929860,Game Builder,2018-11-01,1,Area 120,Area 120,windows;mac,Free to Play;Indie;Simulation;Early Access,Early Access;Free to Play;Indie,0,160,20,3,3,50000-100000,0.0
632830,Aztec Venture,2017-06-01,1,rokaplay,rokaplay,windows,Casual,Casual;Match 3,0,7,1,0,0,0-20000,6.19
672000,System Goose Overload,2017-08-04,1,Joseph Calabro,Joseph Calabro,windows,Adventure;Indie;RPG,Adventure;RPG;Indie,0,40,3,0,0,0-20000,0.0
466110,Shaolin vs Wutang,2018-07-26,1,Jae Lee,Digital Tribe,windows,Action;Casual;Indie,Indie;Casual;Action,12,573,38,0,0,0-20000,10.99
1043510,Hotdog Man,2019-03-20,1,Hot Game,Hot Game,windows,Casual;Indie;Simulation,Indie;Casual;Nudity,14,2,0,0,0,0-20000,0.79
340520,Tallowmere,2015-03-03,1,Chris McFarland,Chris McFarland,windows;mac;linux,Action;Indie,Action;Indie;Violent,28,581,42,420,487,20000-50000,2.89
409610,One Final Chaos,2015-10-21,1,Pusselbit;Sweet Studio Labs,A Sweet Studio,windows,Action;Indie,Action;Indie;Runner,8,9,0,0,0,0-20000,3.99
850230,Women's Soccer Manager,2018-07-16,1,Trophy Games ApS,Trophy Games ApS,windows,Free to Play;Sports;Strategy,Free to Play;Sports;Strategy,0,43,15,0,0,20000-50000,0.0
274940,Depth,2014-11-03,1,Digital Confectioners,Digital Confectioners,windows,Action;Indie,Action;Multiplayer;Gore,40,22385,3472,791,486,1000000-2000000,14.99
568910,Ambition of the Slimes,2018-02-15,1,altairworks,Flyhigh Works;CIRCLE Entertainment,windows,Indie;RPG;Simulation;Strategy,Indie;Strategy;RPG,13,12,1,0,0,0-20000,3.99
842310,Zimbo,2018-05-04,1,RS Games,RS Games,windows,Action;Adventure;Casual;Indie;Racing;Simulation;Sports,Action;Indie;Adventure,5,46,72,0,0,0-20000,0.79
283180,The Samaritan Paradox,2014-04-18,1,Faravid Interactive,Screen 7,windows,Adventure;Indie,Adventure;Indie;Point & Click,17,103,34,0,0,20000-50000,4.99
817370,Marching Simulator,2018-07-29,1,Marching Simulator,Marching Simulator,windows,Free to Play;Simulation;Early Access,Early Access;Free to Play;Simulation,0,25,8,0,0,0-20000,0.0
289620,Collapse,2014-04-11,1,Creoteam,Buka Entertainment,windows,Action;Adventure,Action;Adventure;Hack and Slash,0,342,132,114,114,50000-100000,14.99
374240,Eternal Step,2015-10-16,1,Once More With Gusto,Green Man Gaming Publishing,windows;mac;linux,Action;Adventure;Indie;RPG,Indie;RPG;Action,0,30,12,0,0,0-20000,6.99
584990,The Long Reach,2018-03-14,1,Painted Black Games,Merge Games,windows;mac;linux,Violent;Gore;Action;Adventure;Indie,Action;Adventure;Indie,15,129,18,0,0,0-20000,12.99
860090,Erotic Jigsaw Challenge Vol. 1,2018-06-02,1,BarelyEntertainment,BarelyEntertainment,windows,Sexual Content;Nudity;Casual;Indie;Simulation,Nudity;Sexual Content;Indie,6,17,4,0,0,0-20000,0.79
636100,Tesla vs Lovecraft,2018-01-26,1,10tons Ltd,10tons Ltd,windows;mac;linux,Action;Indie;RPG,Action;Indie;Local Co-Op,20,409,52,131,131,20000-50000,10.99
543740,Medieval Story,2017-08-04,1,OddGames,OddGames,windows,Violent;Gore;Action;Adventure;Indie,Adventure;Indie;Action,7,2,2,0,0,0-20000,9.99
525860,Garden Wars,2016-11-09,1,Morepork Games,Morepork Games,windows,Casual;Indie;Strategy,Strategy;Indie;Casual,22,2,0,0,0,0-20000,3.99
806180,Beyond The Heavens,2018-07-02,1,Zane Games,Zane Games,windows,Action;Indie,Action;Indie;Space,0,1,1,0,0,0-20000,2.09
751740,Roller Coaster Egypt VR,2018-03-21,1,NetDinamica,NetDinamica,windows,Action;Adventure;Indie;Simulation,Action;Adventure;Indie,0,0,3,0,0,0-20000,1.69
476460,Picross Touch,2016-08-24,1,Jon Gallant,jgallant,windows;mac;linux,Casual;Free to Play;Indie;Strategy,Casual;Indie;Free to Play,18,576,54,4420,4420,50000-100000,0.0
385380,Planet Centauri,2016-06-03,1,Permadeath,Permadeath,windows;mac;linux,Action;Adventure;Indie;RPG;Early Access,Early Access;Sandbox;2D,0,947,213,947,947,50000-100000,11.99
1022010,Oliver's Adventures in the Fairyland,2019-02-18,1,LuchinVladimir,IndieMax,windows,Action;Adventure;Indie,Indie;Adventure;Action,16,18,2,0,0,0-20000,3.99
813590,Solas and the White Winter,2018-04-13,1,Savepoint Studios,Savepoint Studios,windows,Adventure;Indie,Indie;Adventure,6,14,7,0,0,0-20000,7.19
397160,Aurora Dusk: Steam Age,2019-03-08,1,Sylvain Harlaut,Sylvain Harlaut,windows,Indie;RPG;Strategy,Strategy;Indie;RPG,27,148,29,244,244,20000-50000,6.99
738920,Sexy Serial Killer,2018-01-29,1,Disturbing Excitement,Disturbing Excitement,windows,Nudity;Violent;Gore;Action;Adventure,Sexual Content;Nudity;Gore,4,37,36,0,0,0-20000,2.09
517990,City VR,2016-09-26,1,"Amber Garage, Inc.","Amber Garage, Inc.",windows,Simulation;Early Access,Early Access;Simulation;VR,0,8,6,0,0,0-20000,10.99
387890,Radial Impact,2015-08-03,1,Devin Sherry,Devin Sherry,windows,Casual;Indie,Indie;Casual,0,0,7,0,0,0-20000,0.79
600990,The Gardens Between,2018-09-19,1,The Voxel Agents,The Voxel Agents,windows;mac;linux,Adventure;Indie,Indie;Adventure;Puzzle,17,252,17,0,0,0-20000,15.49
554280,Time Carnage VR,2018-04-10,1,Wales Interactive,Wales Interactive,windows,Violent;Action;Indie,Action;Indie;Violent,21,40,10,0,0,0-20000,14.99
635670,EMPORIUM,2017-05-17,1,Tom Kitchen,Tom Kitchen,windows,Gore;Adventure;Casual;Indie,Casual;Indie;Adventure,5,79,32,0,0,0-20000,1.59
1019150,Apolune,2019-02-06,1,Lost Astronaut Studios,Lost Astronaut Studios,windows,Action;Casual;Indie,Action;Indie;Casual,22,1,0,0,0,0-20000,5.19
246920,Bombernauts,2017-12-29,1,Eyebrow Interactive,Eyebrow Interactive,windows;mac;linux,Action;Indie,Action;Indie;Multiplayer,9,113,10,0,0,20000-50000,6.99
790600,Stormbound,2018-05-15,1,Paladin Studios,Kongregate,windows;mac,Free to Play;Strategy,Free to Play;Strategy;Card Game,17,263,127,54,54,50000-100000,0.0
880830,Cavesweeper,2018-07-04,1,Stylus Software,Stylus Software,windows,Adventure;Casual;Indie;Strategy,Casual;Strategy;Indie,41,14,0,0,0,0-20000,1.99
527250,VilleTown,2016-09-23,1,Laugical Games,Laugical Games,windows,Indie;Simulation;Strategy,Strategy;Simulation;Indie,0,13,2,0,0,0-20000,3.99
528770,Twixel,2016-11-18,1,Caesoose Studios,Self Published,windows;mac,Action,Action;Difficult,18,13,2,0,0,0-20000,1.69
981550,GACHIMUCHI M♂NLY PUZZLE,2018-12-13,1,M♂NLY,M♂NLY,windows,Casual;Indie;Simulation;Strategy,Nudity;Indie;Sexual Content,24,39,5,0,0,0-20000,0.9
896160,Evil Bank Manager,2018-12-07,1,Hamsters Gaming,Hamsters Gaming,windows,Indie;Simulation;Strategy,Strategy;Simulation;Indie,57,493,139,0,0,20000-50000,9.29
759530,Struckd - 3D Game Creator,2018-02-02,1,Struckd AG,Struckd AG,windows,Action;Adventure;Casual;Racing;RPG;Early Access,Early Access;Free to Play;Action,0,132,79,0,0,50000-100000,0.0
873850,PASSAGE,2018-11-14,1,Magic Time Software,Magic Time Software,windows,Action;Adventure;Indie,Action;Adventure;Indie,10,1,3,0,0,0-20000,4.79
258590,Adventure Time: Finn and Jake's Epic Quest,2014-04-11,1,NGD Studios,Cartoon Network Games,windows,Action;Adventure,Adventure;Action;Cartoon,12,318,107,0,0,20000-50000,6.99
890920,Glitch,2018-07-18,1,Ekrcoaster,Ekrcoaster,windows,Adventure;Casual;Free to Play;Indie;Strategy,Free to Play;Horror;Indie,10,152,150,0,0,50000-100000,0.0
653770,The First Time I Died,2017-07-05,1,Ryan Stephen,Ryan Stephen,windows,Adventure;Indie;RPG,Adventure;Indie;RPG,0,2,0,0,0,0-20000,1.59
550650,Black Squad,2017-07-28,1,NS STUDIO,NS STUDIO,windows,Action;Free to Play;Early Access,Early Access;Free to Play;FPS,36,33695,11081,1835,42,5000000-10000000,0.0
464340,Syberia 3,2017-11-13,1,Microids,Microids,windows;mac,Adventure,Adventure;Puzzle;Story Rich,40,800,822,1302,1523,100000-200000,23.79
329630,Command HQ,2014-11-06,1,Ozark Softscape,Retroism;Nightdive Studios,windows;mac;linux,Strategy,Strategy;Retro;1990's,0,32,1,0,0,20000-50000,4.99
386390,Dad Beat Dads,2015-10-19,1,Stellar Jay Studios,Stellar Jay Studios,windows;mac,Action,Action;Local Multiplayer;Indie,25,6,0,0,0,0-20000,4.79
303290,OZMAFIA!!,2016-04-29,1,Poni-Pachet SY,MangaGamer,windows,Adventure,Otome;Visual Novel;Female Protagonist,0,295,40,0,0,0-20000,26.99
443940,Unknown Battle,2016-03-14,1,Nikolai Patrakov,RenPen,windows,Action;Adventure;Indie,Indie;Action;Adventure,0,186,429,326,376,200000-500000,2.79
895650,Save The Cookie,2018-10-30,1,Chota Games Studio,Chota Games Studio,windows,Action;Casual;Indie,Action;Indie;Casual,0,6,1,0,0,0-20000,0.79
921060,Modern Combat 5,2018-10-24,1,Gameloft,Gameloft,windows,Action;Free to Play;Massively Multiplayer,Free to Play;Massively Multiplayer;FPS,54,589,774,129,69,200000-500000,0.0
290300,Rebel Galaxy,2015-10-20,1,Double Damage Games,Double Damage Games,windows;mac,Action;Adventure;Indie;RPG;Simulation,Space;Sci-fi;Open World,37,5100,881,618,912,500000-1000000,14.99
507030,Bicyclism EP,2016-11-14,1,Acid Cat,Acid Cat,windows;mac;linux,Action;Indie;Racing;Simulation;Sports,Racing;Sports;Action,13,13,6,11,11,0-20000,5.79
12770,Rise of the Argonauts,2009-01-07,1,Liquid Entertainment,Codemasters,windows,RPG,RPG;Action;Adventure,0,365,178,88,147,200000-500000,4.99
294810,BlazBlue: Continuum Shift Extend,2014-12-11,1,Arc System Works,"H2 Interactive Co., Ltd.",windows,Action,Fighting;Anime;2D Fighter,50,998,88,167,167,100000-200000,14.99
591470,Dark Realm: Queen of Flames Collector's Edition,2017-02-21,1,Mad Head Games,Big Fish Games,windows,Adventure;Casual,Adventure;Casual;Hidden Object,0,1,0,0,0,0-20000,6.99
837530,Dark Ghost RPG,2018-04-17,1,"Nikita ""Ghost_RUS""",Ghost_RUS Games,windows,Nudity;Violent;Gore;Action;Adventure;Indie;RPG;Simulation,Action;Adventure;RPG,3,4,7,0,0,0-20000,4.79
348980,INIT.,2015-08-19,1,Narrow Monolith,Narrow Monolith,windows,Action;Adventure;Casual;Indie;Strategy,Indie;Action;Casual,0,3,13,0,0,0-20000,1.59
740320,Djilyaro,2017-11-24,1,HoneyBeeSoftware,HoneyBeeSoftware,windows,Indie,Indie;Psychedelic,0,6,6,0,0,0-20000,0.79
463530,Empires of the Undergrowth,2017-12-01,1,Slug Disco Studios,Slug Disco Studios,windows;mac;linux,Indie;Simulation;Strategy;Early Access,Early Access;Strategy;Simulation,0,1117,107,863,863,50000-100000,15.99
676480,Jettomero: Hero of the Universe,2017-09-15,1,Ghost Time Games,Ghost Time Games,windows;mac;linux,Indie,Indie;Robots,15,69,13,0,0,0-20000,9.99
965450,OnSpace,2018-10-31,1,stariy8419,stariy8419,windows,Action;Casual;Indie,Action;Indie;Casual,0,4,2,0,0,0-20000,0.79
456920,Gary the Gull,2016-11-22,1,Motional Entertainment;Limitless Ltd,Limitless Ltd,windows,Adventure,Adventure;VR,0,13,17,0,0,0-20000,0.0
848350,Katamari Damacy REROLL,2018-12-06,1,MONKEYCRAFT Co. Ltd.,BANDAI NAMCO Entertainment,windows,Action;Casual,Casual;Action;Great Soundtrack,21,559,58,105,105,20000-50000,15.99
494090,Dungeon Girl,2018-07-30,1,Inu to Neko,Fruitbat Factory,windows,Casual,Casual;Anime;Puzzle,29,15,13,0,0,0-20000,8.99
259640,Guise Of The Wolf,2014-01-24,1,FUN Creators,FUN Creators,windows,Action;Adventure;Indie,Indie;Werewolves;Adventure,20,66,133,0,0,0-20000,1.99
724120,Rise:30 Minutes to Extinction,2018-09-18,1,Antarctic Games,Antarctic Games,windows,Action;Casual;Indie,Action;Indie;Casual,4,7,0,0,0,0-20000,7.19
978790,Frantic Dimension,2018-12-28,1,Hijong Park,PsychoFlux Entertainment,windows,Action;Free to Play;Indie,Free to Play;Action;Indie,0,18,1,0,0,0-20000,0.0
974010,Zero spring episode 2,2018-11-29,1,Sonic-Alpha,NS,windows,Adventure;Indie;RPG,Adventure;RPG;Indie,0,1,1,0,0,0-20000,0.0
427860,The Next World,2016-03-07,1,Illuminated Games,AAD Productions,windows;mac;linux,Adventure;Casual;Indie,Adventure;Casual;Indie,37,62,25,0,0,20000-50000,9.99
702320,March of Empires,2017-12-11,1,Gameloft,Gameloft,windows,Free to Play;Massively Multiplayer;RPG;Strategy,Free to Play;Strategy;RPG,87,163,135,3,3,50000-100000,0.0
370140,Nebulous,2016-08-29,1,Namazu Studios,Namazu Studios,windows;mac,Casual;Indie,Indie;Casual,11,3,3,0,0,0-20000,10.99
769590,Play Cube with Uncle Billy,2018-02-23,1,bones;Uwen Peng,bones,windows,Nudity;Casual;Indie;Strategy,Casual;Nudity;Indie,0,9,5,0,0,0-20000,0.79
644640,Band of Defenders,2018-04-05,1,Alda Games,Alda Games,windows,Violent;Gore;Action,Action;Gore;Violent,45,163,139,0,0,50000-100000,10.99
811520,Infinite Fall,2018-12-20,1,Dexion Games,Dexion Games,windows,Casual;Indie;Strategy,Strategy;Indie;Casual,0,10,7,0,0,0-20000,0.79
449000,Steno Arcade,2016-03-30,1,For All To Play,For All To Play,windows;mac;linux,Casual;Free to Play;Indie;Early Access,Early Access;Free to Play;Indie,0,126,42,1,1,50000-100000,0.0
532120,Header Goal VR: Being Axel Rix,2017-08-16,1,Codemodeon,Codemodeon,windows,Action;Indie;Simulation;Sports,Action;Indie;Simulation,25,15,2,0,0,0-20000,3.99
996550,"持猫少女凯蒂/Kaidi, armed with a cat",2019-01-13,1,49肆酒,49肆酒,windows,Adventure;Casual;Indie,Indie;Casual;Adventure,23,18,0,0,0,0-20000,0.79
862390,FlyInside Flight Simulator,2018-12-20,1,FlyInside Inc.,FlyInside Inc.,windows,Indie;Simulation;Early Access,Early Access;Indie;Simulation,10,48,14,0,0,0-20000,27.79
7660,X-COM: Apocalypse,2008-09-04,1,"MicroProse Software, Inc",2K,windows,Strategy,Strategy;Turn-Based;Tactical,0,417,53,18,18,500000-1000000,2.99
494040,PuppetsVR,2017-09-27,1,Expo Virtualis,Expo Virtualis,windows,Casual;Indie;Simulation;Early Access,Early Access;Indie;Casual,0,5,1,0,0,0-20000,3.99
856190,Metori,2019-04-03,1,Enemby Games,Enemby Games,windows;mac;linux,Action;Indie;Strategy,Action;Strategy;Indie,0,1,0,0,0,0-20000,3.99
513720,Archipelago,2016-08-17,1,Dima Kiva,Dima Kiva,windows;linux,Strategy,Strategy;Pirates,0,28,15,0,0,0-20000,0.79
429480,Vision Runner,2016-10-19,1,Snowbit Interactive,Snowbit Interactive,windows,Indie;Early Access,Early Access;Indie;Parkour,5,3,3,0,0,0-20000,7.19
1004570,blocks,2019-01-25,1,BlueRichter,BlueRichter,windows;mac;linux,Casual;Indie;Strategy,Indie;Casual;Strategy,38,0,1,0,0,0-20000,3.99
514500,Atomic Society,2018-10-15,1,Far Road Games,Far Road Games,windows,Simulation;Strategy;Early Access,Early Access;Strategy;Simulation,0,185,62,0,0,0-20000,11.99
679780,Lemuria: Lost in Space - VR Edition,2017-08-04,1,EJRGames,EJRGames,windows,Action;Adventure;Indie;RPG,Action;Adventure;RPG,21,0,4,0,0,0-20000,10.99
916050,Clocker 铸时匠,2019-02-14,1,Wild Kid Games,indienova,windows;mac,Adventure;Indie;RPG,Indie;Adventure;RPG,13,100,5,0,0,0-20000,9.29
723790,The Pirate: Plague of the Dead,2017-10-13,1,Home Net Games,Home Net Games,windows;mac;linux,Action;Adventure;Free to Play;Indie;Simulation;Strategy,Free to Play;Action;Pirates,0,225,89,11,11,100000-200000,0.0
359340,Pixel Puzzles Mosaics,2017-06-09,1,DL Softworks,DL Softworks,windows,Casual;Indie;Simulation;Sports;Strategy,Casual;Indie;Strategy,34,18,3,0,0,0-20000,6.99
463320,The Sea Eternal,2016-04-22,1,Choice of Games,Choice of Games,windows;mac;linux,Adventure;Indie;RPG,Indie;Adventure;RPG,34,10,14,0,0,0-20000,2.89
307340,Platypus,2014-08-15,1,Idigicon,KISS ltd,windows,Action,Action;Shoot 'Em Up;Local Co-Op,0,280,28,260,267,50000-100000,4.99
219780,Divinity II: Developer's Cut,2012-10-29,1,Larian Studios,Larian Studios;Focus Home Interactive,windows,RPG,RPG;Fantasy;Open World,0,2001,441,2511,70,500000-1000000,14.99
541160,MC Lars: The Video Game,2016-10-14,1,"Synersteel Studio, LLC","Synersteel Studio, LLC",windows;mac,Action;Indie,Action;Indie,20,10,2,0,0,0-20000,3.99
739050,Deck Casters,2018-01-10,1,Rock Nano Global,Rock Nano Global,windows,Indie;Strategy,Indie;Strategy;Card Game,12,109,8,0,0,0-20000,12.39
914290,Welcome to Princeland,2018-11-09,1,Eren Aydin;Serhat Yucekaya,Eren Aydin,windows,Action;Adventure;Casual,Action;Casual;Gore,56,73,11,0,0,0-20000,3.99
500440,Take the Cake,2017-11-28,1,Ebenit,Ebenit,windows;linux,Action;Adventure;Indie,Action;Adventure;Indie,6,7,3,0,0,0-20000,3.99
495580,Divided We Fall: Play For Free,2017-10-02,1,KAVA Game Studio,KAVA Game Studio,windows;mac;linux,Action;Free to Play;Indie;Strategy,Strategy;Action;Indie,11,89,76,0,0,0-20000,0.0
259320,Heli Heroes,2013-11-01,1,Reality Pump,Topware Interactive,windows,Action;Casual,Action;Casual;Shoot 'Em Up,0,146,174,282,273,200000-500000,3.99
454180,CrazyCars3D,2016-06-14,1,Anea_Duo_Dev,Anea_Duo_Dev,windows;mac;linux,Action;Adventure;Casual;Indie;Racing;Simulation,Simulation;Racing;Action,9,134,69,243,241,50000-100000,1.99
574070,Space Wars: Interstellar Empires,2017-12-08,1,Desert Owl Games LLC,ToHeroes Game Studios LLC,windows;mac,Free to Play;Massively Multiplayer;Strategy;Early Access,Early Access;Free to Play;Massively Multiplayer,51,116,61,0,0,50000-100000,0.0
1043020,Dust On Wheels,2019-03-19,1,SelenaJ,SelenaJ,windows,Action;Racing,Racing;Action,0,0,1,0,0,0-20000,1.69
588230,Beckett,2018-02-27,1,The Secret Experiment,The Secret Experiment,windows;mac,Adventure;Indie,Indie;Adventure;Nudity,18,40,0,0,0,0-20000,7.19
271550,Tribloos 2,2014-01-30,1,BumpkinBrothers,BumpkinBrothers,windows,Casual;Indie;Strategy,Casual;Indie;Strategy,22,219,46,243,275,100000-200000,3.99
894900,Speedy Girls - Dream Team,2018-09-27,1,Night Dreams Studio,Night Dreams Studio,windows;mac,Indie,Sexual Content;Nudity;Indie,15,6,17,0,0,0-20000,3.99
956000,Su Hack,2018-11-02,1,Eric L.,EL TECH,windows;linux,Indie;Massively Multiplayer;Simulation;Strategy;Early Access,Early Access;Strategy;Indie,9,3,1,0,0,0-20000,3.99
338080,A列車で行こう8,2015-01-08,0,ARTDINK,Degica,windows,Simulation,Simulation,0,4,2,0,0,0-20000,29.99
776540,aMAZE Untouchable,2018-01-11,1,Blender Games,Blender Games,windows,Casual;Indie,Casual;Indie;Puzzle,150,24,5,0,0,0-20000,0.79
348540,Divine Slice of Life,2015-10-22,1,NickySwan,Dharker Studio,windows;mac;linux,Adventure;Casual;Indie,Nudity;Indie;Visual Novel,1,182,79,284,284,20000-50000,7.19
712380,Temple Escape,2017-09-26,1,For Kids,For Kids,windows;mac;linux,Casual;Indie,Indie;Casual,40,34,6,0,0,0-20000,1.69
347710,Perils of Man,2015-04-28,1,IF Games;Vertigo Games,Vertigo Games,windows;mac;linux,Adventure;Indie,Adventure;Indie;Point & Click,14,125,31,0,0,20000-50000,6.99
241620,Inquisitor,2013-08-01,1,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",windows,Violent;Gore;Indie;RPG,RPG;Indie;Isometric,0,330,164,0,0,100000-200000,6.99
771690,Fimbul,2019-02-28,1,Zaxis,Wild River Games,windows,Action;Adventure;Indie,Action;Adventure;Indie,13,14,7,0,0,0-20000,14.99
320400,Magnifico,2014-12-02,1,Mixel,Slitherine Ltd.,windows,Casual;Strategy,Strategy;Casual;Board Game,0,64,47,6,6,50000-100000,3.99
12500,PuzzleQuest: Challenge of the Warlords,2008-01-29,1,Infinite Interactive,"D3Publisher of America, Inc.",windows,Casual,Puzzle;Match 3;Casual,0,561,80,52,52,100000-200000,6.99
232970,Thunder Wolves,2013-05-15,1,Most Wanted Entertainment,HandyGames,windows,Action;Casual;Indie,Action;Indie;Casual,20,377,61,0,0,100000-200000,7.99
571500,Magic Hour,2016-12-20,1,Wolf In Motion Ltd,Wolf In Motion Ltd,windows,Adventure;Simulation;Early Access,Early Access;Adventure;Simulation,0,4,0,0,0,0-20000,0.0
564420,Santa's Special Delivery,2016-12-11,1,Drunk Robot Games;Effinvance,Cerulean Games,windows;mac;linux,Violent;Gore;Action;Indie,Action;Indie;Gore,0,9,1,0,0,0-20000,1.99
746050,MORE SWEATER? OK! (Standalone),2017-12-29,1,Triple-Star Studio,Rock Path Collective,windows;mac;linux,Action;Casual;Indie;RPG;Simulation,Action;Casual;Indie,0,4,0,0,0,0-20000,1.69
528820,Eisenwald: Blood of November,2016-11-01,1,Aterdux Entertainment,Aterdux Entertainment,windows,Adventure;Indie;RPG;Strategy,RPG;Strategy;Adventure,11,69,56,0,0,20000-50000,5.99
630310,The Mummy Demastered,2017-10-24,1,WayForward,WayForward,windows,Action;Adventure,Action;Adventure;Metroidvania,37,178,44,299,299,0-20000,15.49
661560,Audioship,2017-07-25,1,Insanity Interactive,Insanity Interactive,windows,Indie,Indie,21,1,2,0,0,0-20000,2.09
534460,Let Hawaii Happen VR,2016-10-22,1,Framestore VR Studio,Framestore VR Studio,windows,Simulation,Simulation;VR,0,14,11,0,0,0-20000,0.0
495350,Woodle Tree 2: Worlds,2016-09-16,1,Fabio Ferrara,Chubby Pixel,windows;mac;linux,Action;Adventure;Massively Multiplayer,Adventure;Action;Massively Multiplayer,10,179,69,381,381,50000-100000,2.79
938870,Chronon,2018-10-02,1,HronosGame,HronosGame,windows,Adventure;Indie,Adventure;Indie;Puzzle,0,1,1,0,0,0-20000,8.29
445840,Undead vs Plants,2016-02-25,1,Peaksel D.O.O. Nis,Peaksel D.O.O. Nis,windows;mac,Action;Adventure;Casual;Indie,Casual;Indie;Action,0,15,27,0,0,0-20000,4.99
964210,Mr Husky,2019-01-10,1,Heero,SakuraGame,windows,Action;Adventure;Casual;Indie;Simulation;Early Access,Early Access;Casual;Action,0,22,2,0,0,0-20000,1.69
